Country,Page,Range,Type,Provider
GE,18,995514XXXXXX,mobile,Geocell
GE,18,995568XXXXXX,mobile,Mobitel (Beeline)
GE,18,995557XXXXXX,mobile,Geocell
GE,18,995558XXXXXX,mobile,Geocell
GE,18,995555XXXXXX,mobile,Geocell
GE,18,995550XXXXXX,mobile,Magti GSM
GE,18,995551XXXXXX,mobile,Magti GSM
GE,19,995578XXXXXX,mobile,Silqnet (CDMA)
GE,19,995579XXXXXX,mobile,Mobitel (Beeline)
GE,19,995574XXXXXX,mobile,Mobitel (Beeline)
GE,19,995577XXXXXX,mobile,Geocell
GE,19,995571XXXXXX,mobile,Mobitel (Beeline)
GE,19,995596XXXXXX,mobile,Magti GSM
GE,20,995597XXXXXX,mobile,Mobitel (Beeline)
GE,20,995598XXXXXX,mobile,Magti GSM
GE,20,995599XXXXXX,mobile,Magti GSM
GE,19,995592XXXXXX,mobile,Mobitel (Beeline)
GE,19,995593XXXXXX,mobile,Geocell
GE,19,995595XXXXXX,mobile,Magti GSM
GE,19,995591XXXXXX,mobile,Magti GSM
