Country,Page,Range,Type,Provider
GF,6,59469403XXXX,mobile,Outremer Telecom
GF,6,59469402XXXX,mobile,Outremer Telecom
GF,6,59469401XXXX,mobile,Outremer Telecom
GF,6,59469400XXXX,mobile,Outremer Telecom
GF,7,59469409XXXX,mobile,Digicel Antilles Françaises Guyane
GF,7,59469408XXXX,mobile,Digicel Antilles Françaises Guyane
GF,7,59469407XXXX,mobile,Outremer Telecom
GF,7,59469406XXXX,mobile,Outremer Telecom
GF,7,59469405XXXX,mobile,Outremer Telecom
GF,7,59469404XXXX,mobile,Outremer Telecom
GF,9,59469425XXXX,mobile,Orange Caraïbe
GF,9,59469424XXXX,mobile,Orange Caraïbe
GF,8,59469423XXXX,mobile,Orange Caraïbe
GF,8,59469422XXXX,mobile,Orange Caraïbe
GF,8,59469421XXXX,mobile,Orange Caraïbe
GF,8,59469420XXXX,mobile,Orange Caraïbe
GF,9,59469429XXXX,mobile,Orange Caraïbe
GF,9,59469428XXXX,mobile,Orange Caraïbe
GF,9,59469427XXXX,mobile,Orange Caraïbe
GF,9,59469426XXXX,mobile,Orange Caraïbe
GF,8,59469414XXXX,mobile,Digicel Antilles Françaises Guyane
GF,7,59469413XXXX,mobile,Digicel Antilles Françaises Guyane
GF,7,59469412XXXX,mobile,Digicel Antilles Françaises Guyane
GF,7,59469411XXXX,mobile,GUYANE TELEPHONE MOBILE
GF,7,59469410XXXX,mobile,GUYANE TELEPHONE MOBILE
GF,8,59469419XXXX,mobile,Outremer Telecom
GF,8,59469418XXXX,mobile,Outremer Telecom
GF,8,59469417XXXX,mobile,Outremer Telecom
GF,8,59469416XXXX,mobile,Digicel Antilles Françaises Guyane
GF,8,59469415XXXX,mobile,Digicel Antilles Françaises Guyane
GF,10,59469447XXXX,mobile,Outremer Telecom
GF,10,59469446XXXX,mobile,Outremer Telecom
GF,10,59469445XXXX,mobile,Orange Caraïbe
GF,10,59469444XXXX,mobile,Orange Caraïbe
GF,10,59469443XXXX,mobile,Orange Caraïbe
GF,10,59469442XXXX,mobile,Orange Caraïbe
GF,10,59469441XXXX,mobile,Orange Caraïbe
GF,10,59469440XXXX,mobile,Orange Caraïbe
GF,11,59469449XXXX,mobile,Orange Caraïbe
GF,11,59469448XXXX,mobile,Orange Caraïbe
GF,10,59469434XXXX,mobile,Orange Caraïbe
GF,9,59469433XXXX,mobile,Orange Caraïbe
GF,9,59469432XXXX,mobile,Orange Caraïbe
GF,9,59469431XXXX,mobile,Orange Caraïbe
GF,9,59469430XXXX,mobile,Orange Caraïbe
GF,10,59469438XXXX,mobile,Orange Caraïbe
GF,12,59469499XXXX,mobile,Digicel Antilles Françaises Guyane
GF,12,59469498XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469497XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469496XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469495XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469494XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469493XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469492XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469491XXXX,mobile,Digicel Antilles Françaises Guyane
GF,11,59469490XXXX,mobile,Digicel Antilles Françaises Guyane
