Country,Page,Range,Type,Provider
GG,1,+441481XXXXXX,geographic,
GG,1,+44148120XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148121XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148122XXXX,geographic,Newtel (Guernsey) Limited
GG,2,+44148170XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148123XXXX,geographic,Sure (Guernsey) Limited
GG,2,+44148171XXXX,geographic,Sure (Guernsey) Limited
GG,3,+44148182XXXX,geographic,Sure (Guernsey) Limited
GG,6,+448000780XXX,freephone,Newtel (Guernsey) Limited
GG,1,+44148124XXXX,geographic,Sure (Guernsey) Limited
GG,2,+44148172XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148125XXXX,geographic,Sure (Guernsey) Limited
GG,3,+44148183XXXX,geographic,Sure (Guernsey) Limited
GG,2,+44148173XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148126XXXX,geographic,Sure (Guernsey) Limited
GG,3,+4477810XXXXX,mobile,Sure (Guernsey) Limited
GG,6,+44800976XXXX,freephone,Sure (Guernsey) Limited
GG,3,+4477810XXXXX,mobile,Sure (Guernsey) Limited
GG,3,+4477811XXXXX,mobile,Sure (Guernsey) Limited
GG,2,+44148174XXXX,geographic,Sure (Guernsey) Limited
GG,1,+44148152XXXX,geographic,Guernsey Airtel Limited
GG,3,+44148188XXXX,geographic,JT (Guernsey) Limited
GG,2,+44148175XXXX,geographic,Sure (Guernsey) Limited
GG,6,+448089011XXX,internetserviceprovider,Newtel (Guernsey) Limited
GG,3,+4477811XXXXX,mobile,Sure (Guernsey) Limited
GG,3,+4477812XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477812XXXXX,mobile,Sure (Guernsey) Limited
GG,1,+44148166XXXX,geographic,Business Telecom Limited
GG,2,+44148176XXXX,geographic,Sure (Guernsey) Limited
GG,4,+4477813XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477813XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477814XXXXX,mobile,Sure (Guernsey) Limited
GG,3,+44148189XXXX,geographic,Sure (Guernsey) Limited
GG,2,+44148177XXXX,geographic,Gamma Telecom Holdings Ltd
GG,4,+4477814XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477815XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477815XXXXX,mobile,Sure (Guernsey) Limited
GG,3,+44148199XXXX,geographic,Sure (Guernsey) Limited
GG,6,+44906713XXXX,premiumrate,Sure (Guernsey) Limited
GG,2,+44148180XXXX,geographic,Sure (Guernsey) Limited
GG,4,+4477816XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477816XXXXX,mobile,Sure (Guernsey) Limited
GG,4,+4477817XXXXX,mobile,Sure (Guernsey) Limited
GG,5,+4477817XXXXX,mobile,Sure (Guernsey) Limited
GG,2,+44148181XXXX,geographic,JT (Guernsey) Limited
GG,5,+4477818XXXXX,mobile,Sure (Guernsey) Limited
GG,5,+4477818XXXXX,mobile,Sure (Guernsey) Limited
GG,5,+4477819XXXXX,mobile,Sure (Guernsey) Limited
GG,5,+4477819XXXXX,mobile,Sure (Guernsey) Limited
GG,5,+4478391XXXXX,mobile,Guernsey Airtel Limited
GG,5,+4478391XXXXX,mobile,Guernsey Airtel Limited
GG,5,+4478392XXXXX,mobile,Guernsey Airtel Limited
GG,5,+4478392XXXXX,mobile,Guernsey Airtel Limited
GG,5,+4478397XXXXX,mobile,Guernsey Airtel Limited
GG,6,+4478397XXXXX,mobile,Guernsey Airtel Limited
GG,6,+4478398XXXXX,mobile,Sure (Guernsey) Limited
GG,6,+4478398XXXXX,mobile,Sure (Guernsey) Limited
GG,6,+4479111XXXXX,mobile,JT (Guernsey) Limited
GG,6,+4479117XXXXX,mobile,JT (Guernsey) Limited
