Country,Page,Range,Type,Provider
GG,6,4479111XXXXX,mobile,JT (Guernsey) Limited
GG,6,4479117XXXXX,mobile,JT (Guernsey) Limited
GG,5,4478392XXXXX,mobile,Guernsey Airtel Limited
GG,6,4478398XXXXX,mobile,Sure (Guernsey) Limited
GG,6,4478397XXXXX,mobile,Guernsey Airtel Limited
GG,5,4478391XXXXX,mobile,Guernsey Airtel Limited
GG,5,4477817XXXXX,mobile,Sure (Guernsey) Limited
GG,4,4477816XXXXX,mobile,Sure (Guernsey) Limited
GG,4,4477815XXXXX,mobile,Sure (Guernsey) Limited
GG,4,4477814XXXXX,mobile,Sure (Guernsey) Limited
GG,5,4477819XXXXX,mobile,Sure (Guernsey) Limited
GG,5,4477818XXXXX,mobile,Sure (Guernsey) Limited
GG,4,4477813XXXXX,mobile,Sure (Guernsey) Limited
GG,4,4477812XXXXX,mobile,Sure (Guernsey) Limited
GG,3,4477811XXXXX,mobile,Sure (Guernsey) Limited
GG,3,4477810XXXXX,mobile,Sure (Guernsey) Limited
