Country,Page,Range,Type,Provider
GH,18,23334XXXXXXX,geographic,
GH,12,2333221233XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,10,23332XXXXXXX,geographic,
GH,10,23332XXXXXXX,geographic,
GH,12,2333222XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,13,2333225232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,13,2333225233XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,10,23332XXXXXXX,geographic,
GH,19,23334XXXXXXX,geographic,
GH,20,233342322XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,10,23332XXXXXXX,geographic,
GH,11,233322031XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,13,2333225234XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,20,2333424XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,19,2333420XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,12,2333222232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,14,23333XXXXXXX,geographic,
GH,13,233327XXXXXX,geographic,Zain Communications (Ghana) Ltd
GH,10,23332XXXXXXX,geographic,
GH,11,233322032XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,20,233342422XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,15,2333320XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,12,2333222233XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,13,23332800XXXX,geographic,ScanCom Ltd (MTN)
GH,19,233342022XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,15,2333320232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,17,23334XXXXXXX,geographic,
GH,11,233322033XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,12,2333223XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,19,2333420222XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,18,23334XXXXXXX,geographic,
GH,14,23333XXXXXXX,geographic,
GH,15,2333320233XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,13,23333XXXXXXX,geographic,
GH,18,23334XXXXXXX,geographic,
GH,12,23332232XXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,19,233342023XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,10,23332XXXXXXX,geographic,
GH,17,23334XXXXXXX,geographic,
GH,1,233,proper,
GH,13,23333XXXXXXX,geographic,
GH,16,2333322232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,24,2333520232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,14,23333XXXXXXX,geographic,
GH,19,233342024XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,20,233342422XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,15,2333320234XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,25,2333521XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,10,23332XXXXXXX,geographic,
GH,12,2333224XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,25,2333521XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,22,2333431XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,12,2333224232XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,19,233342025XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,20,2333425XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,30,23336800XXXX,geographic,ScanCom Ltd (MTN)
GH,11,233322034XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,10,2333220XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,13,23333XXXXXXX,geographic,
GH,12,2333224233XX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,25,2333522XXXXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,29,233362422XXX,geographic,Ghana Telecom / Vodafone (Ghana)
GH,11,23332204XXXX,geographic,Ghana Telecom / Vodafone (Ghana)
