Country,Page,Range,Type,Provider
GH,34,233553XXXXXX,mobile,ScanCom Ltd (MTN)
GH,34,233554XXXXXX,mobile,ScanCom Ltd (MTN)
GH,35,233555XXXXXX,mobile,ScanCom Ltd (MTN)
GH,35,233556XXXXXX,mobile,ScanCom Ltd (MTN)
GH,35,233557XXXXXX,mobile,ScanCom Ltd (MTN)
GH,35,233558XXXXXX,mobile,ScanCom Ltd (MTN)
GH,1,23323XXXXXXX,mobile,Glo Ghana
GH,1,23324XXXXXXX,mobile,ScanCom Ltd (MTN)
GH,1,23326XXXXXXX,mobile,Zain Communications (Ghana) Ltd
GH,1,23327XXXXXXX,mobile,Millicom Ghana Ltd (tiGO)
GH,1,23328XXXXXXX,mobile,Kasapa Telecom Ltd (CDMA)
GH,1,23320XXXXXXX,mobile,Ghana Telecom / Vodafone (Ghana)
GH,35,23357XXXXXXX,mobile,Millicom Ghana Ltd (tiGO)
GH,34,23350XXXXXXX,mobile,Ghana Telecom / Vodafone (Ghana)
GH,34,23354XXXXXXX,mobile,ScanCom Ltd (MTN)
