Country,Page,Range,Type,Provider
GI,13,3508548,premiumrate,Gibtelecom (SMS)
GI,10,3508518,premiumrate,Gibtelecom (SMS)
GI,17,3508932,premiumrate,Gibtelecom
GI,13,3508549,premiumrate,Gibtelecom (SMS)
GI,17,3508933,premiumrate,Gibtelecom
GI,12,3508538,premiumrate,Gibtelecom (SMS)
GI,12,3508539,premiumrate,Gibtelecom (SMS)
GI,10,3508519,premiumrate,Gibtelecom (SMS)
GI,12,3508540,premiumrate,Gibtelecom (SMS)
GI,10,3508520,premiumrate,Gibtelecom (SMS)
GI,11,3508528,premiumrate,Gibtelecom (SMS)
GI,17,3508934,premiumrate,Gibtelecom
GI,15,3508911,premiumrate,Gibtelecom
GI,13,+35086XX,internetserviceprovider,
GI,21,3508976,premiumrate,Gibtelecom
GI,19,3508953,premiumrate,Gibtelecom
GI,11,3508529,premiumrate,Gibtelecom (SMS)
GI,16,3508921,premiumrate,Gibtelecom
GI,21,3508977,premiumrate,Gibtelecom
GI,14,3508901,premiumrate,Gibtelecom
GI,10,3508521,premiumrate,Gibtelecom (SMS)
GI,13,3508686,internetserviceprovider,Gibtelecom (CompuServe)
GI,16,3508923,premiumrate,Gibtelecom
GI,15,3508912,premiumrate,Gibtelecom
GI,11,3508530,premiumrate,Gibtelecom (SMS)
GI,12,3508541,premiumrate,Gibtelecom (SMS)
GI,21,3508978,premiumrate,Gibtelecom
GI,1,+350856095XXX,geographic,Xtra Telecom#comma S.l.
GI,14,3508902,premiumrate,Gibtelecom
GI,18,3508943,premiumrate,Gibtelecom
GI,21,3508979,premiumrate,Gibtelecom
GI,16,3508924,premiumrate,Gibtelecom
GI,3,+35020055XXX,geographic,UK Ministry of Defence
GI,13,+35087XX,localrate,
GI,10,3508522,premiumrate,Gibtelecom (SMS)
GI,15,3508913,premiumrate,Gibtelecom
GI,19,3508954,premiumrate,Gibtelecom
GI,21,3508981,premiumrate,Gibtelecom
GI,1,+3508566039XX,geographic,Telefónica Móviles España#comma S.a.u.
GI,18,3508944,premiumrate,Gibtelecom
GI,17,3508935,premiumrate,Gibtelecom
GI,22,3508987,premiumrate,Gibtelecom
GI,19,3508955,premiumrate,Gibtelecom
GI,14,3508903,premiumrate,Gibtelecom
GI,1,350,proper,
GI,11,3508531,premiumrate,Gibtelecom (SMS)
GI,15,3508914,premiumrate,Gibtelecom
GI,16,3508925,premiumrate,Gibtelecom
GI,3,+35020059XXX,geographic,Gibtelecom
GI,10,3508523,premiumrate,Gibtelecom (SMS)
GI,22,3508988,premiumrate,Gibtelecom
GI,12,3508542,premiumrate,Gibtelecom (SMS)
GI,18,3508945,premiumrate,Gibtelecom
GI,19,3508956,premiumrate,Gibtelecom
GI,1,+350200XXXXX,geographic,
GI,17,3508936,premiumrate,Gibtelecom
GI,13,+35088XX,premiumrate,
GI,11,3508532,premiumrate,Gibtelecom (SMS)
GI,21,3508982,premiumrate,Gibtelecom
GI,14,3508904,premiumrate,Gibtelecom
GI,4,+35054XXXXXX,mobile,Gibtelecom
GI,19,3508957,premiumrate,Gibtelecom
GI,12,3508543,premiumrate,Gibtelecom (SMS)
GI,3,+3502007XXXX,geographic,
GI,16,3508926,premiumrate,Gibtelecom
GI,5,+35080XX,freephone,
GI,13,3508800,premiumrate,Gibtelecom (USA Direct)
GI,22,3508989,premiumrate,Gibtelecom
GI,14,3508905,premiumrate,Gibtelecom
GI,4,+35056XXXXXX,mobile,Gibtelecom
GI,15,3508915,premiumrate,Gibtelecom
GI,8,3508400,premiumrate,Gibtelecom (UK Direct)
GI,4,+35057XXXXXX,mobile,Gibtelecom
GI,1,+3502004XXXX,geographic,
GI,12,3508544,premiumrate,Gibtelecom (SMS)
GI,7,3508025,freephone,Gibtelecom
GI,20,3508966,premiumrate,Gibtelecom
GI,14,3508906,premiumrate,Gibtelecom
GI,11,3508533,premiumrate,Gibtelecom (SMS)
GI,17,3508937,premiumrate,Gibtelecom
GI,8,+35085XX,premiumrate,
GI,21,3508983,premiumrate,Gibtelecom
GI,10,3508524,premiumrate,Gibtelecom (SMS)
GI,3,+35020070XXX,geographic,Gibtelecom
GI,16,3508927,premiumrate,Gibtelecom
GI,5,3508000,freephone,Gibtelecom
GI,11,3508534,premiumrate,Gibtelecom (SMS)
GI,4,+35020077XXX,geographic,Gibtelecom
GI,18,3508946,premiumrate,Gibtelecom
GI,2,+35020045XXX,geographic,Gibtelecom
GI,20,3508967,premiumrate,Gibtelecom
GI,12,3508545,premiumrate,Gibtelecom (SMS)
GI,17,3508938,premiumrate,Gibtelecom
GI,1,+35020040XXX,geographic,Gibtelecom
GI,21,3508984,premiumrate,Gibtelecom
GI,9,3508508,premiumrate,Gibtelecom (SMS)
GI,5,3508001,freephone,Gibtelecom
GI,13,3508855,premiumrate,Gibtelecom (Marconi Portugal)
GI,4,+35020078XXX,geographic,Gibtelecom
GI,7,3508030,freephone,Gibtelecom
GI,16,3508928,premiumrate,Gibtelecom
GI,3,+35020071XXX,geographic,Gibtelecom
GI,18,3508947,premiumrate,Gibtelecom
GI,8,3508500,premiumrate,Gibtelecom (SMS)
GI,4,+35020079XXX,geographic,Gibtelecom
GI,22,3508990,premiumrate,Gibtelecom
GI,17,3508939,premiumrate,Gibtelecom
GI,11,3508535,premiumrate,Gibtelecom (SMS)
GI,21,3508985,premiumrate,Gibtelecom
GI,15,3508916,premiumrate,Gibtelecom
GI,4,+35058XXXXXX,mobile,Gibtelecom
GI,13,+35089XX,premiumrate,
GI,12,3508546,premiumrate,Gibtelecom (SMS)
GI,10,3508525,premiumrate,Gibtelecom (SMS)
GI,19,3508958,premiumrate,Gibtelecom
GI,20,3508968,premiumrate,Gibtelecom
GI,18,3508948,premiumrate,Gibtelecom
GI,4,+350219XXXXX,geographic,Limba
GI,16,3508929,premiumrate,Gibtelecom
GI,11,3508536,premiumrate,Gibtelecom (SMS)
GI,13,3508900,premiumrate,Gibtelecom
GI,5,3508002,freephone,Gibtelecom
GI,14,3508907,premiumrate,Gibtelecom
GI,1,+35020041XXX,geographic,Gibtelecom
GI,9,3508509,premiumrate,Gibtelecom (SMS)
GI,15,3508917,premiumrate,Gibtelecom
GI,12,3508547,premiumrate,Gibtelecom (SMS)
GI,7,3508031,freephone,Gibtelecom
GI,10,3508526,premiumrate,Gibtelecom (SMS)
GI,21,3508986,premiumrate,Gibtelecom
GI,22,3508991,premiumrate,Gibtelecom
GI,8,3508501,premiumrate,Gibtelecom (SMS)
GI,5,+35060XXXXXX,mobile,Gibtelecom
GI,5,+35062XXXXXX,mobile,Eazi Telecom Ltd (Limba)
GI,17,3508940,premiumrate,Gibtelecom
GI,4,+350222XXXXX,geographic,U-Mee
GI,2,+35020046XXX,geographic,Gibtelecom
GI,16,3508930,premiumrate,Gibtelecom
GI,1,+35020042XXX,geographic,Gibtelecom
GI,5,3508003,freephone,Gibtelecom
GI,3,+35020072XXX,geographic,Gibtelecom
GI,11,3508537,premiumrate,Gibtelecom (SMS)
GI,20,3508969,premiumrate,Gibtelecom
GI,15,3508918,premiumrate,Gibtelecom
GI,18,3508949,premiumrate,Gibtelecom
GI,14,3508908,premiumrate,Gibtelecom
GI,8,3508502,premiumrate,Gibtelecom (SMS)
GI,22,3508998,premiumrate,Gibtelecom
GI,9,3508510,premiumrate,Gibtelecom (SMS)
GI,19,3508959,premiumrate,Gibtelecom
GI,3,+35020073XXX,geographic,Gibtelecom
GI,14,3508909,premiumrate,Gibtelecom
GI,5,3508004,freephone,Gibtelecom
GI,8,3508503,premiumrate,Gibtelecom (SMS)
GI,4,+350225XXXXX,geographic,Gibfibrespeed
GI,16,3508931,premiumrate,Gibtelecom
