Country,Page,Range,Type,Provider
GM,5,2205531XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,5,2205540XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,4,220448XXXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,5,2205541XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,220,proper,
GM,6,220566XXXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,4,2204480XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,10,2208XXXXXX,wirelessgeographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,5,2205542XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,7,220567XXXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,10,220810XXXX,wirelessgeographic,Katchaa
GM,5,2205543XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,4,2204485XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,22020XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,8,2205735XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,22021XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,6,220566XXXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,22022XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,4,2204486XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,10,220820XXXX,wirelessgeographic,West Telecom
GM,1,22023XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,7,2205672XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,22024XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,5,2205544XXX,geographic,Gambia Telecommunications Co. Ltd (GAMTEL)
GM,1,22025XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22026XXXXX,mobile,Africell (Gambia) Co. Ltd
