Country,Page,Range,Type,Provider
GM,1,22025XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22026XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22027XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22028XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,2,22029XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22020XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22021XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22022XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22023XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,1,22024XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,2,22036XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22037XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22038XXXXX,mobile,Qcell Gambia Co. Ltd
GM,3,22039XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22030XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22031XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22032XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22033XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22034XXXXX,mobile,Qcell Gambia Co. Ltd
GM,2,22035XXXXX,mobile,Qcell Gambia Co. Ltd
GM,9,22070XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22071XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22069XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22061XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22062XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22063XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22064XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22065XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22066XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,9,22067XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,9,22068XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,8,22060XXXXX,mobile,Comium Moblile (Gambia) Ltd
GM,4,22050XXXXX,mobile,Qcell Gambia Co. Ltd
GM,4,22051XXXXX,mobile,Qcell Gambia Co. Ltd
GM,10,22090XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,10,22091XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,10,22092XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22093XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,9,22072XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22073XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22074XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22075XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,9,22076XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,10,22077XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,10,22078XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,10,22079XXXXX,mobile,Africell (Gambia) Co. Ltd
GM,11,22094XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22095XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22096XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22097XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22098XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
GM,11,22099XXXXX,mobile,Gambia Telecommunications Cellular Co. Ltd (GAMCEL)
