Country,Page,Range,Type,Provider
GN,8,224657XXXXXX,mobile,Cellcom Guinée S.A
GN,8,224655XXXXXX,mobile,Cellcom Guinée S.A
GN,8,224669XXXXXX,mobile,Areeba Guinée (MTN)
GN,8,224666XXXXXX,mobile,Areeba Guinée (MTN)
GN,8,224664XXXXXX,mobile,Areeba Guinée (MTN)
GN,8,224662XXXXXX,mobile,Areeba Guinée (MTN)
GN,7,224631XXXXXX,mobile,INTERCEL Guinée (Telecel)
GN,7,224628XXXXXX,mobile,Orange Guinée S.A.
GN,7,224622XXXXXX,mobile,Orange Guinée S.A.
GN,7,224621XXXXXX,mobile,Orange Guinée S.A.
GN,5,224601XXXXXX,mobile,Sotelgui
