Country,Page,Range,Type,Provider
GP,3,59059031XXXX,geographic,IP Directions
GP,6,59059086XXXX,geographic,Orange
GP,7,59069000XXXX,mobile,Outremer Telecom
GP,6,59059088XXXX,geographic,Orange
GP,7,59069001XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069002XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069003XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069004XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069005XXXX,mobile,Outremer Telecom
GP,8,59069006XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069007XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069008XXXX,mobile,Digicel Antilles Françaises Guyane
GP,18,5907005XXXXX,internetserviceprovider,
GP,8,59069009XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069010XXXX,mobile,United telecommunication services Caraïbe
GP,8,59069011XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069012XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069013XXXX,mobile,Digicel Antilles Françaises Guyane
GP,5,59059068XXXX,geographic,Orange
GP,8,59069014XXXX,mobile,Digicel Antilles Françaises Guyane
GP,3,59059032XXXX,geographic,Orange
GP,8,59069015XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069016XXXX,mobile,Digicel Antilles Françaises Guyane
GP,6,59059089XXXX,geographic,Orange
GP,18,590976XXXXXX,VoIPtelephony,
GP,9,59069017XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069018XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069019XXXX,mobile,Digicel Antilles Françaises Guyane
GP,1,590,proper,
GP,9,59069020XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069021XXXX,mobile,Digicel Antilles Françaises Guyane
GP,3,59059038XXXX,geographic,Orange
GP,7,59059097XXXX,geographic,Orange
GP,9,59069022XXXX,mobile,Dauphin telecom
GP,9,59069023XXXX,mobile,Digicel Antilles Françaises Guyane
GP,7,59059098XXXX,geographic,Orange
GP,9,59069024XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069025XXXX,mobile,Digicel Antilles Françaises Guyane
GP,5,59059069XXXX,geographic,BJT Partners
GP,10,59069026XXXX,mobile,Orange Caraïbe
GP,10,59069027XXXX,mobile,Orange Caraïbe
GP,10,59069028XXXX,mobile,Orange Caraïbe
GP,10,59069029XXXX,mobile,Orange Caraïbe
GP,10,59069030XXXX,mobile,Orange Caraïbe
GP,6,59059090XXXX,geographic,Orange
GP,17,590691XXXXXX,mobile,
GP,10,59069031XXXX,mobile,Orange Caraïbe
GP,2,59059011XXXX,geographic,Outremer Telecom
GP,1,590590XXXXXX,geographic,
GP,10,59069032XXXX,mobile,Orange Caraïbe
GP,10,59069033XXXX,mobile,Orange Caraïbe
GP,7,59059099XXXX,geographic,Orange
GP,3,59059039XXXX,geographic,Prosodie
GP,10,59069034XXXX,mobile,Orange Caraïbe
GP,10,59069035XXXX,mobile,Orange Caraïbe
GP,5,59059070XXXX,geographic,Keyyo
GP,11,59069036XXXX,mobile,Digicel Antilles Françaises Guyane
GP,11,59069037XXXX,mobile,Orange Caraïbe
GP,7,590690XXXXXX,mobile,
GP,11,59069038XXXX,mobile,Orange Caraïbe
GP,11,59069039XXXX,mobile,Orange Caraïbe
GP,11,59069040XXXX,mobile,Orange Caraïbe
GP,6,59059091XXXX,geographic,Orange
GP,11,59069041XXXX,mobile,Orange Caraïbe
GP,11,59069042XXXX,mobile,Digicel Antilles Françaises Guyane
GP,2,59059012XXXX,geographic,Outremer Telecom
GP,11,59069043XXXX,mobile,Digicel Antilles Françaises Guyane
GP,3,59059040XXXX,geographic,Idom technologies
GP,11,59069044XXXX,mobile,Digicel Antilles Françaises Guyane
GP,11,59069045XXXX,mobile,Digicel Antilles Françaises Guyane
GP,6,59059092XXXX,geographic,Orange
GP,12,59069046XXXX,mobile,Digicel Antilles Françaises Guyane
GP,12,59069047XXXX,mobile,Orange Caraïbe
GP,12,59069048XXXX,mobile,Orange Caraïbe
GP,12,59069049XXXX,mobile,Orange Caraïbe
GP,12,59069050XXXX,mobile,Orange Caraïbe
GP,1,59059001XXXX,geographic,Digicel Antilles Françaises Guyane
GP,4,59059047XXXX,geographic,Orange
GP,12,59069051XXXX,mobile,Orange Caraïbe
GP,12,59069052XXXX,mobile,Orange Caraïbe
GP,12,59069053XXXX,mobile,Orange Caraïbe
GP,5,59059078XXXX,geographic,Diabolocom SAS
GP,12,59069054XXXX,mobile,Orange Caraïbe
GP,3,59059041XXXX,geographic,Orange
GP,12,59069055XXXX,mobile,Orange Caraïbe
GP,6,59059093XXXX,geographic,Orange
GP,13,59069056XXXX,mobile,Orange Caraïbe
GP,13,59069057XXXX,mobile,Orange Caraïbe
GP,13,59069058XXXX,mobile,Orange Caraïbe
GP,2,59059020XXXX,geographic,Orange
GP,3,59059042XXXX,geographic,Outremer Telecom
GP,13,59069059XXXX,mobile,Orange Caraïbe
GP,13,59069060XXXX,mobile,Orange Caraïbe
GP,13,59069061XXXX,mobile,Orange Caraïbe
GP,13,59069062XXXX,mobile,Orange Caraïbe
GP,13,59069063XXXX,mobile,Orange Caraïbe
GP,13,59069064XXXX,mobile,Orange Caraïbe
GP,5,59059080XXXX,geographic,Orange
GP,13,59069065XXXX,mobile,Orange Caraïbe
GP,14,59069066XXXX,mobile,Dauphin telecom
GP,14,59069067XXXX,mobile,Orange Caraïbe
GP,14,59069068XXXX,mobile,Orange Caraïbe
GP,6,59059094XXXX,geographic,Orange
GP,4,59059048XXXX,geographic,Orange
GP,14,59069069XXXX,mobile,Digicel Antilles Françaises Guyane
GP,6,59059095XXXX,geographic,Orange
GP,1,59059002XXXX,geographic,NC Numericable
GP,14,59069070XXXX,mobile,Orange Caraïbe
GP,14,59069071XXXX,mobile,Orange Caraïbe
GP,5,59059081XXXX,geographic,Orange
GP,14,59069072XXXX,mobile,Orange Caraïbe
GP,14,59069073XXXX,mobile,Orange Caraïbe
GP,2,59059021XXXX,geographic,Orange
GP,14,59069074XXXX,mobile,Orange Caraïbe
GP,14,59069075XXXX,mobile,Orange Caraïbe
GP,15,59069076XXXX,mobile,Orange Caraïbe
GP,15,59069077XXXX,mobile,Dauphin telecom
GP,15,59069078XXXX,mobile,Outremer Telecom
GP,15,59069079XXXX,mobile,Outremer Telecom
GP,4,59059049XXXX,geographic,Alnilam
GP,15,59069080XXXX,mobile,Digicel Antilles Françaises Guyane
