Country,Page,Range,Type,Provider
GP,9,59069019XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069015XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069016XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069017XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069018XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069011XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069012XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069013XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069014XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069010XXXX,mobile,United telecommunication services Caraïbe
GP,10,59069026XXXX,mobile,Orange Caraïbe
GP,10,59069027XXXX,mobile,Orange Caraïbe
GP,10,59069028XXXX,mobile,Orange Caraïbe
GP,10,59069029XXXX,mobile,Orange Caraïbe
GP,9,59069022XXXX,mobile,Dauphin telecom
GP,9,59069023XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069024XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069025XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069020XXXX,mobile,Digicel Antilles Françaises Guyane
GP,9,59069021XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069008XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069009XXXX,mobile,Digicel Antilles Françaises Guyane
GP,7,59069004XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069005XXXX,mobile,Outremer Telecom
GP,8,59069006XXXX,mobile,Digicel Antilles Françaises Guyane
GP,8,59069007XXXX,mobile,Digicel Antilles Françaises Guyane
GP,7,59069000XXXX,mobile,Outremer Telecom
GP,7,59069001XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069002XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,7,59069003XXXX,mobile,GUADELOUPE TELEPHONE MOBILE
GP,13,59069059XXXX,mobile,Orange Caraïbe
GP,12,59069055XXXX,mobile,Orange Caraïbe
GP,13,59069056XXXX,mobile,Orange Caraïbe
GP,13,59069057XXXX,mobile,Orange Caraïbe
GP,13,59069058XXXX,mobile,Orange Caraïbe
GP,12,59069051XXXX,mobile,Orange Caraïbe
GP,12,59069052XXXX,mobile,Orange Caraïbe
GP,12,59069053XXXX,mobile,Orange Caraïbe
GP,12,59069054XXXX,mobile,Orange Caraïbe
GP,12,59069050XXXX,mobile,Orange Caraïbe
GP,14,59069066XXXX,mobile,Dauphin telecom
GP,14,59069067XXXX,mobile,Orange Caraïbe
GP,14,59069068XXXX,mobile,Orange Caraïbe
GP,14,59069069XXXX,mobile,Digicel Antilles Françaises Guyane
GP,13,59069062XXXX,mobile,Orange Caraïbe
GP,13,59069063XXXX,mobile,Orange Caraïbe
GP,13,59069064XXXX,mobile,Orange Caraïbe
GP,13,59069065XXXX,mobile,Orange Caraïbe
GP,13,59069060XXXX,mobile,Orange Caraïbe
GP,13,59069061XXXX,mobile,Orange Caraïbe
GP,11,59069037XXXX,mobile,Orange Caraïbe
GP,11,59069038XXXX,mobile,Orange Caraïbe
GP,11,59069039XXXX,mobile,Orange Caraïbe
GP,10,59069033XXXX,mobile,Orange Caraïbe
GP,10,59069034XXXX,mobile,Orange Caraïbe
GP,10,59069035XXXX,mobile,Orange Caraïbe
GP,11,59069036XXXX,mobile,Digicel Antilles Françaises Guyane
GP,10,59069030XXXX,mobile,Orange Caraïbe
GP,10,59069031XXXX,mobile,Orange Caraïbe
GP,10,59069032XXXX,mobile,Orange Caraïbe
GP,12,59069048XXXX,mobile,Orange Caraïbe
GP,12,59069049XXXX,mobile,Orange Caraïbe
GP,11,59069044XXXX,mobile,Digicel Antilles Françaises Guyane
GP,11,59069045XXXX,mobile,Digicel Antilles Françaises Guyane
GP,12,59069046XXXX,mobile,Digicel Antilles Françaises Guyane
GP,12,59069047XXXX,mobile,Orange Caraïbe
GP,11,59069040XXXX,mobile,Orange Caraïbe
GP,11,59069041XXXX,mobile,Orange Caraïbe
GP,11,59069042XXXX,mobile,Digicel Antilles Françaises Guyane
GP,11,59069043XXXX,mobile,Digicel Antilles Françaises Guyane
GP,17,59069099XXXX,mobile,Outremer Telecom
GP,16,59069095XXXX,mobile,Outremer Telecom
GP,17,59069096XXXX,mobile,Outremer Telecom
GP,17,59069097XXXX,mobile,Outremer Telecom
GP,17,59069098XXXX,mobile,Outremer Telecom
GP,16,59069091XXXX,mobile,Outremer Telecom
GP,16,59069092XXXX,mobile,Outremer Telecom
GP,16,59069093XXXX,mobile,Outremer Telecom
GP,16,59069094XXXX,mobile,Outremer Telecom
GP,16,59069090XXXX,mobile,Outremer Telecom
GP,15,59069077XXXX,mobile,Dauphin telecom
GP,15,59069078XXXX,mobile,Outremer Telecom
GP,15,59069079XXXX,mobile,Outremer Telecom
GP,14,59069073XXXX,mobile,Orange Caraïbe
GP,14,59069074XXXX,mobile,Orange Caraïbe
GP,14,59069075XXXX,mobile,Orange Caraïbe
GP,15,59069076XXXX,mobile,Orange Caraïbe
GP,14,59069070XXXX,mobile,Orange Caraïbe
GP,14,59069071XXXX,mobile,Orange Caraïbe
GP,14,59069072XXXX,mobile,Orange Caraïbe
GP,16,59069088XXXX,mobile,Dauphin telecom
GP,16,59069089XXXX,mobile,Outremer Telecom
GP,15,59069084XXXX,mobile,Digicel Antilles Françaises Guyane
GP,15,59069085XXXX,mobile,Digicel Antilles Françaises Guyane
GP,16,59069086XXXX,mobile,Digicel Antilles Françaises Guyane
GP,16,59069087XXXX,mobile,United telecommunication services Caraïbe
GP,15,59069080XXXX,mobile,Digicel Antilles Françaises Guyane
GP,15,59069081XXXX,mobile,Digicel Antilles Françaises Guyane
GP,15,59069082XXXX,mobile,Digicel Antilles Françaises Guyane
GP,15,59069083XXXX,mobile,Digicel Antilles Françaises Guyane
GP,17,59069132XXXX,mobile,Orange Caraïbe
GP,18,59069133XXXX,mobile,Orange Caraïbe
GP,18,59069134XXXX,mobile,Orange Caraïbe
GP,18,59069135XXXX,mobile,Orange Caraïbe
GP,17,59069130XXXX,mobile,Digicel Antilles Françaises Guyane
GP,17,59069131XXXX,mobile,Orange Caraïbe
GP,17,59069129XXXX,mobile,Digicel Antilles Françaises Guyane
GP,17,59069122XXXX,mobile,Dauphin telecom
