Country,Page,Range,Type,Provider
GQ,5,+24033309XXXX,geographic,Orange (GETESA)
GQ,5,+24033309XXXX,geographic,Orange (GETESA)
GQ,5,+24035XXXXXXX,geographic,HiTs G.E. S.A.
GQ,1,240,proper,
GQ,4,+24033304XXXX,wirelessgeographic,Orange (CDMA)
GQ,1,+24022220XXXX,mobile,Orange (GETESA)
GQ,5,+2405XXXXXXXX,mobile,
GQ,1,+24022221XXXX,mobile,Orange (GETESA)
GQ,1,+2402XXXXXXXX,mobile,
GQ,1,+24022222XXXX,mobile,Orange (GETESA)
GQ,4,+24033306XXXX,wirelessgeographic,Orange (CDMA)
GQ,1,+24022223XXXX,mobile,Orange (GETESA)
GQ,1,+24022224XXXX,mobile,Orange (GETESA)
GQ,1,+24022225XXXX,mobile,Orange (GETESA)
GQ,1,+24022226XXXX,mobile,Orange (GETESA)
GQ,1,+240222XXXXXX,mobile,Orange (GETESA)
GQ,2,+24022227XXXX,mobile,Orange (GETESA)
GQ,2,+24022228XXXX,mobile,Orange (GETESA)
GQ,5,+2408XXXXXXXX,mobile,
GQ,2,+24022229XXXX,mobile,Orange (GETESA)
GQ,2,+24022250XXXX,mobile,Orange (GETESA)
GQ,2,+24022251XXXX,mobile,Orange (GETESA)
GQ,2,+24022252XXXX,mobile,Orange (GETESA)
GQ,2,+24022253XXXX,mobile,Orange (GETESA)
GQ,5,+2409XXXXXXXX,mobile,
GQ,2,+24022254XXXX,mobile,Orange (GETESA)
GQ,2,+24022255XXXX,mobile,Orange (GETESA)
GQ,2,+24022256XXXX,mobile,Orange (GETESA)
GQ,3,+24022257XXXX,mobile,Orange (GETESA)
GQ,3,+24022258XXXX,mobile,Orange (GETESA)
GQ,3,+24022259XXXX,mobile,Orange (GETESA)
GQ,4,+24033307XXXX,geographic,Orange (GETESA)
GQ,3,+24022260XXXX,mobile,Orange (GETESA)
GQ,3,+24022261XXXX,mobile,Orange (GETESA)
GQ,4,+24033307XXXX,geographic,Orange (GETESA)
GQ,3,+24022262XXXX,mobile,Orange (GETESA)
GQ,3,+24022263XXXX,mobile,Orange (GETESA)
GQ,4,+24033307XXXX,geographic,Orange (GETESA)
GQ,3,+24022264XXXX,mobile,Orange (GETESA)
GQ,3,+24022265XXXX,mobile,Orange (GETESA)
GQ,3,+24022266XXXX,mobile,Orange (GETESA)
GQ,4,+24022267XXXX,mobile,Orange (GETESA)
GQ,4,+24033308XXXX,geographic,Orange (GETESA)
GQ,4,+24022268XXXX,mobile,Orange (GETESA)
GQ,4,+24022269XXXX,mobile,Orange (GETESA)
GQ,5,+24055XXXXXXX,mobile,HiTs G.E. S.A.
GQ,4,+24033308XXXX,geographic,Orange (GETESA)
