Country,Page,Range,Type,Provider
GR,104,30231XXXXXXX,geographic,
GR,100,30229502XXXX,geographic,OTE Î‘.Î•.
GR,104,30231XXXXXXX,geographic,
GR,100,30229503XXXX,geographic,OTE Î‘.Î•.
GR,106,30231035XXXX,geographic,OTE Î‘.Î•.
GR,104,30231000XXXX,geographic,OTE Î‘.Î•.
GR,103,302299XXXXXX,geographic,
GR,100,30229504XXXX,geographic,OTE Î‘.Î•.
GR,106,30231036XXXX,geographic,OTE Î‘.Î•.
GR,103,30229902XXXX,geographic,OTE Î‘.Î•.
GR,103,30229904XXXX,geographic,OTE Î‘.Î•.
GR,100,30229505XXXX,geographic,OTE Î‘.Î•.
GR,103,30229906XXXX,geographic,OTE Î‘.Î•.
GR,104,30231001XXXX,geographic,OTE Î‘.Î•.
GR,100,30229506XXXX,geographic,OTE Î‘.Î•.
GR,101,30229603XXXX,geographic,OTE Î‘.Î•.
GR,10,30210331XXXX,geographic,OTE Î‘.Î•.
GR,106,30231037XXXX,geographic,OTE Î‘.Î•.
GR,105,30231025XXXX,geographic,OTE Î‘.Î•.
GR,103,30229907XXXX,geographic,OTE Î‘.Î•.
GR,111,30231085XXXX,geographic,OTE Î‘.Î•.
GR,10,30210332XXXX,geographic,OTE Î‘.Î•.
GR,111,30231086XXXX,geographic,OTE Î‘.Î•.
GR,100,30229507XXXX,geographic,OTE Î‘.Î•.
GR,117,30232308XXXX,geographic,OTE Î‘.Î•.
GR,10,30210333XXXX,geographic,OTE Î‘.Î•.
GR,114,302321000XXX,geographic,OTE Î‘.Î•.
GR,102,30229706XXXX,geographic,OTE Î‘.Î•.
GR,101,30229604XXXX,geographic,OTE Î‘.Î•.
GR,110,30231075XXXX,geographic,OTE Î‘.Î•.
GR,100,30229508XXXX,geographic,OTE Î‘.Î•.
GR,10,30210334XXXX,geographic,OTE Î‘.Î•.
GR,117,30232309XXXX,geographic,OTE Î‘.Î•.
GR,104,30231002XXXX,geographic,OTE Î‘.Î•.
GR,108,30231055XXXX,geographic,OTE Î‘.Î•.
GR,106,30231038XXXX,geographic,OTE Î‘.Î•.
GR,101,30229605XXXX,geographic,OTE Î‘.Î•.
GR,102,30229707XXXX,geographic,OTE Î‘.Î•.
GR,106,30231039XXXX,geographic,OTE Î‘.Î•.
GR,111,30231087XXXX,geographic,OTE Î‘.Î•.
GR,114,302321001XXX,geographic,OTE Î‘.Î•.
GR,10,30210335XXXX,geographic,OTE Î‘.Î•.
GR,104,30231020XXXX,geographic,OTE Î‘.Î•.
GR,103,30229908XXXX,geographic,OTE Î‘.Î•.
