Country,Page,Range,Type,Provider
GT,20,+502300XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,20,+502300XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,20,+502301XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,20,+502301XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022417XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,10,+5022358XXXX,geographic,HBC de Guatemala#comma S. A.
GT,20,+5023020XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022418XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,10,+5022359XXXX,geographic,HYDROWEST de Guatemala#comma Ltda. 
GT,20,+5023020XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022419XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,15,+5022426XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,10,+502236XXXXX,geographic,Telefónica#comma S.A.
GT,14,+502242XXXXX,geographic,Telefónica#comma S.A.
GT,20,+5023021XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,10,+5022360XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,20,+5023021XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022420XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,16,+5022435XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,15,+5022427XXXX,geographic,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,18,+5022461XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,20,+5023022XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,+5023022XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,11,+5022367XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,10,+5022361XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,15,+5022428XXXX,geographic,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022421XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,21,+5023023XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,1,502,proper,
GT,14,+5022422XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,10,+5022362XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,21,+5023023XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,+5023024XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,18,+5022462XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,21,+5023024XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,+5023025XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,16,+5022436XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,21,+5023025XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,+5023026XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,11,+5022368XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,18,+5022463XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,21,+5023026XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022423XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,21,+5023027XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,+5023027XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,+5023028XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,15,+5022429XXXX,geographic,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,+5023028XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,10,+5022363XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,12,+5022380XXXX,geographic,Cablenet#comma S.A. (Telecomunique)
GT,16,+5022437XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,11,+5022369XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,22,+502400XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,+502401XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,19,+5022475XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,22,+502402XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,14,+5022424XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,22,+502403XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,2,+5022229XXXX,geographic,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,4,+5022259XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,22,+502404XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,10,+5022364XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,22,+502405XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,16,+5022438XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,11,+502237XXXXX,geographic,Telefónica#comma S.A.
GT,23,+502406XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,23,+502407XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,23,+502408XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,19,+5022476XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,1,+50219XXXXXXXXX,premiumrate,
GT,18,+5022464XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A. (TELGUA)
GT,14,+5022425XXXX,geographic,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
