Country,Page,Range,Type,Provider
GT,21,5023026XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,5023025XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,5023028XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,22,5023027XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,5023022XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,20,5023021XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,5023024XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,21,5023023XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,20,5023020XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024778XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024779XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024776XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024777XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024774XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024775XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024772XXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,31,5024773XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,31,5024770XXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,31,5024771XXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,33,5024828XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,33,5024829XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,33,5024826XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,33,5024827XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,32,5024824XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,32,5024825XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,32,5024822XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,32,5024823XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,32,5024820XXXX,mobile,Universal de Telecomunicaciones#comma S.A. (UNITEL)
GT,32,5024821XXXX,mobile,Universal de Telecomunicaciones#comma S.A. (UNITEL)
GT,28,5024479XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,27,5024477XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,27,5024478XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,27,5024475XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,27,5024476XXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,27,5024473XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,27,5024474XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,27,5024471XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,27,5024472XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,27,5024470XXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,51,502587XXXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,51,502588XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,51,502589XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,49,502580XXXXX,mobile,Comunicaciones Celulares#comma S.A. (COMCEL)
GT,49,502581XXXXX,mobile,Telefónica Móviles Guatemala#comma S.A. (movistar)
GT,50,502582XXXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,50,502583XXXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
GT,50,502584XXXXX,mobile,Telecomunicaciones de Guatemala#comma S.A.  (Claro)
