Country,Page,Range,Type,Provider
GU,3,1671479XXXX,geographic,Gta Telecom#comma LLC
GU,5,1671646XXXX,geographic,Gta Telecom#comma LLC
GU,5,1671647XXXX,geographic,Gta Telecom#comma LLC
GU,7,1671797XXXX,geographic,Pti Pacifica Inc.
GU,5,1671648XXXX,geographic,Gta Telecom#comma LLC
GU,2,1671366XXXX,geographic,Gta Telecom#comma LLC
GU,2,1671456XXXX,geographic,Pti Pacifica Inc.
GU,3,1671486XXXX,geographic,Gta Telecom#comma LLC
GU,5,1671649XXXX,geographic,Gta Telecom#comma LLC
GU,7,1671828XXXX,geographic,Gta Telecom#comma LLC
GU,2,1671476XXXX,mobile,Guam Cellular & Paging
GU,2,1671471XXXX,geographic,Gta Telecom#comma LLC
GU,3,1671482XXXX,mobile,Pulse Mobile LLC
GU,5,1671653XXXX,geographic,Gta Telecom#comma LLC
GU,3,1671483XXXX,mobile,Pulse Mobile LLC
GU,2,1671472XXXX,geographic,Gta Telecom#comma LLC
GU,3,1671487XXXX,mobile,Pulse Mobile LLC
GU,3,1671488XXXX,mobile,Pulse Mobile LLC
GU,6,1671707XXXX,geographic,Pti Pacifica Inc.
GU,4,1671588XXXX,mobile,Pulse Mobile LLC
GU,5,1671686XXXX,mobile,Guam Cellular & Paging
GU,2,1671473XXXX,geographic,Gta Telecom#comma LLC
GU,5,1671687XXXX,mobile,Guam Cellular & Paging
GU,5,1671688XXXX,mobile,Guam Cellular & Paging
GU,1,1,proper,
GU,3,1671562XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671689XXXX,mobile,Guam Cellular & Paging
GU,6,1671727XXXX,geographic,Pti Pacifica Inc.
GU,3,1671563XXXX,geographic,Gta Telecom#comma LLC
GU,1,1671XXXXXXX,geographic,
GU,6,1671726XXXX,mobile,It&e Overseas#comma Inc. Pcs
GU,5,1671654XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671787XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,2,1671474XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671788XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,6,1671734XXXX,geographic,Gta Telecom#comma LLC
GU,5,1671678XXXX,geographic,Pti Pacifica Inc.
GU,7,1671838XXXX,mobile,Wave Runner#comma LLC
GU,7,1671848XXXX,mobile,Wave Runner#comma LLC
GU,1,1671300XXXX,geographic,Pacific Data Systems - Gu
GU,7,1671858XXXX,mobile,Wave Runner#comma LLC
GU,7,1671868XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671878XXXX,mobile,Choice Phone LLC Dba Iconn
GU,2,1671475XXXX,geographic,Gta Telecom#comma LLC
GU,7,1671888XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671898XXXX,mobile,Choice Phone LLC Dba Iconn
GU,4,1671632XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671735XXXX,geographic,Gta Telecom#comma LLC
GU,8,1671922XXXX,mobile,It&e Overseas#comma Inc. - Gu
GU,8,1671929XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,8,1671969XXXX,mobile,It&e Overseas#comma Inc. - Gu
GU,3,1671564XXXX,geographic,Gta Telecom#comma LLC
GU,8,1671988XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,1,1671333XXXX,geographic,Gta Telecom#comma LLC
GU,2,1671477XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671777XXXX,geographic,Pti Pacifica Inc.
GU,1,1671339XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671633XXXX,geographic,Gta Telecom#comma LLC
GU,3,1671565XXXX,geographic,Gta Telecom#comma LLC
GU,8,1671987XXXX,geographic,Pti Pacifica Inc.
GU,1,1671343XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671634XXXX,geographic,Gta Telecom#comma LLC
GU,2,1671478XXXX,geographic,Gta Telecom#comma LLC
GU,1,1671344XXXX,geographic,Gta Telecom#comma LLC
GU,7,1671864XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671635XXXX,geographic,Gta Telecom#comma LLC
GU,6,1671789XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671637XXXX,geographic,Gta Telecom#comma LLC
GU,1,1671349XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671638XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671642XXXX,geographic,Gta Telecom#comma LLC
GU,1,1671355XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671644XXXX,geographic,Gta Telecom#comma LLC
GU,1,1671362XXXX,geographic,Gta Telecom#comma LLC
GU,4,1671645XXXX,geographic,Gta Telecom#comma LLC
