Country,Page,Range,Type,Provider
GU,8,1671969XXXX,mobile,It&e Overseas#comma Inc. - Gu
GU,8,1671988XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,8,1671922XXXX,mobile,It&e Overseas#comma Inc. - Gu
GU,8,1671929XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,4,1671588XXXX,mobile,Pulse Mobile LLC
GU,6,1671689XXXX,mobile,Guam Cellular & Paging
GU,5,1671688XXXX,mobile,Guam Cellular & Paging
GU,5,1671687XXXX,mobile,Guam Cellular & Paging
GU,5,1671686XXXX,mobile,Guam Cellular & Paging
GU,6,1671726XXXX,mobile,It&e Overseas#comma Inc. Pcs
GU,6,1671788XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,6,1671787XXXX,mobile,Guam Wireless Telephone Company#comma LLC
GU,7,1671858XXXX,mobile,Wave Runner#comma LLC
GU,7,1671848XXXX,mobile,Wave Runner#comma LLC
GU,7,1671878XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671868XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671898XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671888XXXX,mobile,Choice Phone LLC Dba Iconn
GU,7,1671838XXXX,mobile,Wave Runner#comma LLC
GU,2,1671476XXXX,mobile,Guam Cellular & Paging
GU,3,1671483XXXX,mobile,Pulse Mobile LLC
GU,3,1671482XXXX,mobile,Pulse Mobile LLC
GU,3,1671488XXXX,mobile,Pulse Mobile LLC
GU,3,1671487XXXX,mobile,Pulse Mobile LLC
