Country,Page,Range,Type,Provider
GW,7,2459692XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,7,2459691XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,7,2459690XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459652XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,5,2459651XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,5,2459650XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459660XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,7,2459669XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459664XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459663XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459662XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459661XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459668XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459667XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459666XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,6,2459665XXXXX,mobile,Spacetel Guiné-Bissau S.A. (MTN)
GW,7,2459770XXXXX,mobile,Guinétel S.A.
GW,8,2459779XXXXX,mobile,Guinétel S.A.
GW,7,2459774XXXXX,mobile,Guinétel S.A.
GW,7,2459773XXXXX,mobile,Guinétel S.A.
GW,7,2459772XXXXX,mobile,Guinétel S.A.
GW,7,2459771XXXXX,mobile,Guinétel S.A.
GW,8,2459778XXXXX,mobile,Guinétel S.A.
GW,8,2459777XXXXX,mobile,Guinétel S.A.
GW,8,2459776XXXXX,mobile,Guinétel S.A.
GW,8,2459775XXXXX,mobile,Guinétel S.A.
GW,4,24595XXXXXXX,mobile,Orange Bissau S.A.
