Country,Page,Range,Type,Provider
GY,11,+5922260XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922261XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,10,+5922251XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922262XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,10,+5922252XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922263XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,13,+5922279XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,12,+592227XXXX,geographic,
GY,11,+5922264XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,13,+592228XXXX,geographic,
GY,11,+5922265XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+592233XXXX,geographic,
GY,13,+592228XXXX,geographic,
GY,15,+592231XXXX,geographic,
GY,10,+5922253XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+592233XXXX,geographic,
GY,14,+592229XXXX,geographic,
GY,28,+5922653XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,29,+5922663XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922310XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+5922330XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,10,+5922254XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,28,+5922654XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,22,+5922589XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922291XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,2,+592159XXXX,audiotext,
GY,29,+5922664XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+592261XXXX,geographic,
GY,13,+5922280XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+5922539XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922292XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,10,+5922255XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922266XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+5922332XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,12,+5922270XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,22,+592259XXXX,geographic,
GY,28,+5922655XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922610XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,16,+5922319XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922311XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,13,+5922281XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922293XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+592254XXXX,geographic,
GY,30,+592268XXXX,geographic,
GY,2,+59216XXX,audiotext,
GY,10,+5922256XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922267XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+5922333XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,12,+5922271XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922611XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,28,+5922656XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,22,+592259XXXX,geographic,
GY,30,+5922680XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,21,+592257XXXX,geographic,
GY,10,+5922257XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922312XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+5922540XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,29,+5922665XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,2,+59217XXX,audiotext,
GY,14,+5922294XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,18,+5922339XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,20,+5922559XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,17,+5922335XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,13,+5922282XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,31,+5922692XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,16,+592232XXXX,geographic,
GY,22,+5922590XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,11,+5922268XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,28,+5922659XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,10,+5922258XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,30,+5922681XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922295XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,21,+5922570XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,12,+5922272XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+5922541XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922313XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,1,592,proper,
GY,24,+5922612XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,2,+59218XXX,audiotext,
GY,23,+592260XXXX,geographic,
GY,17,+5922336XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,29,+5922669XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,22,+5922591XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,32,+5922706XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,26,+5922630XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,20,+5922559XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,27,+5922640XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,30,+5922682XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,17,+5922337XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922314XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,28,+592266XXXX,geographic,
GY,31,+5922699XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,2,+59219XXX,audiotext,
GY,13,+5922283XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,32,+5922707XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,23,+5922600XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,22,+5922592XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,20,+592256XXXX,geographic,
GY,16,+592232XXXX,geographic,
GY,29,+5922669XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922613XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,2,+592216XXXX,geographic,
GY,1,5920444,voicemail(mobile),Voicemail
GY,10,+5922259XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,26,+5922634XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,41,+5923281XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,30,+5922683XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922315XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,31,+592270XXXX,geographic,
GY,22,+5922593XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,20,+592256XXXX,geographic,
GY,27,+5922641XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,21,+5922573XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,16,+592232XXXX,geographic,
GY,18,+592234XXXX,geographic,
GY,2,+5922160XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,29,+592267XXXX,geographic,
GY,11,+5922269XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922296XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,13,+5922285XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922614XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+5922542XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,20,+5922560XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,32,+5922708XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,28,+592266XXXX,geographic,
GY,17,+5922339XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,12,+5922273XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,25,+5922619XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922615XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,22,+5922599XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,41,+5923284XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922316XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922297XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,38,+592325XXXX,geographic,
GY,17,+5922339XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,1,5920767,voicemail(mobile),Voicemail
GY,13,+5922289XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,32,+5922709XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,16,+5922320XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,33,+5922719XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,28,+5922660XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,34,+5922751XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,20,+5922563XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,26,+5922635XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922616XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,38,+5923250XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,27,+5922642XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,30,+5922684XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,18,+5922340XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922317XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,1,592079,voicemail(geographic),Voice Mail
GY,16,+5922320XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,2,+5922161XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,12,+5922274XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,41,+5923287XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,32,+5922709XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,22,+5922599XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,10,+592226XXXX,geographic,
GY,23,+5922601XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,35,+5922769XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,31,+592270XXXX,geographic,
GY,36,+5922779XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,21,+5922579XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,47,+592337XXXX,geographic,
GY,20,+5922565XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,34,+5922759XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,26,+5922636XXX,wirelessgeographic,Guyana Telephone & Telegraph Co. Ltd
GY,25,+5922619XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,3,+5922164XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,19,+5922549XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,30,+5922689XXX,payphone,
GY,29,+5922670XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,52,+5924443XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,14,+5922298XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,33,+592272XXXX,geographic,
GY,28,+5922661XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,41,+5923289XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,1,5921048,audiotext,
GY,12,+5922275XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,32,+592271XXXX,geographic,
GY,25,+5922619XXX,payphone,Guyana Telephone & Telegraph Co. Ltd
GY,27,+5922643XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,23,+5922602XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,24,+5922617XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,15,+5922318XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,16,+5922323XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
GY,36,+592279XXXX,geographic,
GY,39,+5923260XXX,geographic,Guyana Telephone & Telegraph Co. Ltd
