Country,Page,Range,Type,Provider
GY,53,592604XXXX,mobile,Digicel Guyana Inc
GY,53,592603XXXX,mobile,Digicel Guyana Inc
GY,53,592602XXXX,mobile,Digicel Guyana Inc
GY,53,592601XXXX,mobile,Digicel Guyana Inc
GY,53,592600XXXX,mobile,Digicel Guyana Inc
GY,53,592609XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592615XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592614XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592613XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592612XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592611XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592610XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592619XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592618XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592617XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,54,592616XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,57,592648XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592647XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592646XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592645XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592644XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592643XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592642XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592641XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592649XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592640XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,58,592659XXXX,mobile,Digicel Guyana Inc
GY,58,592658XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592657XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592656XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592655XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592654XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592653XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592652XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592651XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,57,592650XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,55,592626XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592625XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592624XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592623XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592622XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592621XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592620XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592629XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592628XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,55,592627XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (TDMA)
GY,56,592639XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,56,592638XXXX,mobile,Guyana Telephone & Telegraph Co. Ltd (GSM)
GY,61,592689XXXX,mobile,Digicel Guyana Inc
GY,61,592688XXXX,mobile,Digicel Guyana Inc
GY,60,592687XXXX,mobile,Digicel Guyana Inc
GY,60,592686XXXX,mobile,Digicel Guyana Inc
GY,60,592685XXXX,mobile,Digicel Guyana Inc
GY,60,592684XXXX,mobile,Digicel Guyana Inc
GY,60,592683XXXX,mobile,Digicel Guyana Inc
GY,60,592682XXXX,mobile,Digicel Guyana Inc
GY,60,592681XXXX,mobile,Digicel Guyana Inc
GY,60,592680XXXX,mobile,Digicel Guyana Inc
GY,62,592699XXXX,mobile,Digicel Guyana Inc
GY,62,592698XXXX,mobile,Digicel Guyana Inc
GY,61,592697XXXX,mobile,Digicel Guyana Inc
GY,61,592696XXXX,mobile,Digicel Guyana Inc
GY,61,592695XXXX,mobile,Digicel Guyana Inc
GY,61,592694XXXX,mobile,Digicel Guyana Inc
GY,61,592693XXXX,mobile,Digicel Guyana Inc
GY,61,592692XXXX,mobile,Digicel Guyana Inc
GY,61,592691XXXX,mobile,Digicel Guyana Inc
GY,61,592690XXXX,mobile,Digicel Guyana Inc
GY,59,592669XXXX,mobile,Digicel Guyana Inc
GY,59,592668XXXX,mobile,Digicel Guyana Inc
GY,58,592667XXXX,mobile,Digicel Guyana Inc
GY,58,592666XXXX,mobile,Digicel Guyana Inc
GY,58,592665XXXX,mobile,Digicel Guyana Inc
GY,58,592664XXXX,mobile,Digicel Guyana Inc
GY,58,592663XXXX,mobile,Digicel Guyana Inc
GY,58,592662XXXX,mobile,Digicel Guyana Inc
GY,58,592661XXXX,mobile,Digicel Guyana Inc
GY,58,592660XXXX,mobile,Digicel Guyana Inc
GY,60,592679XXXX,mobile,Digicel Guyana Inc
GY,60,592678XXXX,mobile,Digicel Guyana Inc
GY,59,592677XXXX,mobile,Digicel Guyana Inc
GY,59,592676XXXX,mobile,Digicel Guyana Inc
GY,59,592675XXXX,mobile,Digicel Guyana Inc
GY,59,592674XXXX,mobile,Digicel Guyana Inc
GY,59,592673XXXX,mobile,Digicel Guyana Inc
GY,59,592672XXXX,mobile,Digicel Guyana Inc
GY,59,592671XXXX,mobile,Digicel Guyana Inc
GY,59,592670XXXX,mobile,Digicel Guyana Inc
