Country,Page,Range,Type,Provider
HK,12,+8523079XXXX,geographic,PCCW - HKT Telephone Ltd
HK,14,+852345XXXXX,geographic,
HK,14,+852346XXXXX,geographic,Hong Kong Cable Television
HK,12,+85231XXXXXX,geographic,
HK,12,+852310XXXXX,geographic,Wharf T&T Ltd
HK,18,+8523751XXXX,geographic,
HK,12,+852311XXXXX,geographic,New World Telecommunications Ltd
HK,15,+852354XXXXX,geographic,Hutchison Global Communications Ltd
HK,14,+852347XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,21,+8523972XXXX,geographic,Wharf T&T Ltd
HK,18,+8523752XXXX,geographic,
HK,12,+852312XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,14,+852348XXXXX,geographic,SmarTone Communications Ltd
HK,21,+8523973XXXX,geographic,Wharf T&T Ltd
HK,15,+852355XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,18,+8523753XXXX,geographic,
HK,12,+852313XXXXX,geographic,
HK,16,+852363XXXXX,geographic,
HK,15,+852356XXXXX,geographic,Hong Kong Broadbank Network Ltd
HK,14,+852349XXXXX,geographic,Hong Kong Broadbank Network Ltd
HK,21,+8523974XXXX,geographic,Wharf T&T Ltd
HK,16,+852364XXXXX,geographic,Wharf T&T Ltd
HK,19,+85239XXXXXX,geographic,
HK,15,+852357XXXXX,geographic,Wharf T&T Ltd
HK,12,+852314XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,21,+852398XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,18,+8523754XXXX,geographic,
HK,14,+85235XXXXXX,geographic,
HK,11,+8523069XXXX,geographic,New World Telecommunications Ltd
HK,14,+852350XXXXX,geographic,CM TEL
HK,12,+852315XXXXX,geographic,Hutchison Global Communications Ltd
HK,16,+852365XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,17,+8523721XXXX,geographic,New World Telecommunications Ltd
HK,19,+8523900XXXX,geographic,Hutchison Global Communications Ltd
HK,16,+852366XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,18,+8523755XXXX,geographic,Wharf T&T Ltd
HK,21,+852399XXXXX,geographic,Hong Kong Broadbank Network Ltd
HK,1,852,proper,
HK,12,+852316XXXXX,geographic,Hutchison Global Communications Ltd
HK,1,+852170XXXX,mobile,Peoples Telephone Company
HK,15,+852358XXXXX,geographic,Wharf T&T Ltd
HK,18,+8523756XXXX,geographic,Wharf T&T Ltd
HK,15,+852359XXXXX,geographic,Hong Kong Broadbank Network Ltd
HK,11,+8523070XXXX,geographic,Wharf T&T Ltd
HK,12,+852317XXXXX,geographic,New World Telecommunications Ltd
HK,19,+8523901XXXX,geographic,Hutchison Global Communications Ltd
HK,10,+8523059XXXX,geographic,Wharf T&T Ltd
HK,14,+852351XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,1,+852171XXXX,mobile,Hong Kong CSL Ltd
HK,17,+8523722XXXX,geographic,New World Telecommunications Ltd
HK,11,+8523071XXXX,geographic,Wharf T&T Ltd
HK,16,+852367XXXXX,geographic,Wharf T&T Ltd
HK,1,+852173XXXX,mobile,SmarTone Mobile Communications Ltd
HK,1,+852175XXXX,mobile,Hutchison
HK,27,+85259XXXXXX,mobile,
HK,1,+852176XXXX,mobile,Mandarin Communications Ltd
HK,15,+85236XXXXXX,geographic,
HK,10,+8523060XXXX,geographic,Wharf T&T Ltd
HK,18,+8523757XXXX,geographic,Wharf T&T Ltd
HK,1,+852177XXXX,mobile,SmarTone Mobile Communications Ltd
HK,20,+8523909XXXX,geographic,Hutchison Global Communications Ltd
HK,16,+852368XXXXX,geographic,HKC Network
HK,17,+8523723XXXX,geographic,New World Telecommunications Ltd
HK,13,+852318XXXXX,geographic,Wharf T&T Ltd
HK,1,+852178XXXX,mobile,New World PCS Ltd
HK,15,+852360XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,19,+8523902XXXX,geographic,Hutchison Global Communications Ltd
HK,27,+8526XXXXXXX,mobile,
HK,10,+8523061XXXX,geographic,Hutchison Global Communications Ltd
HK,1,+852179XXXX,mobile,Hong Kong CSL Ltd
HK,14,+852352XXXXX,geographic,Hutchison Global Communications Ltd
HK,19,+8523903XXXX,geographic,Hutchison Global Communications Ltd
HK,26,+85255XXXXXX,mobile,
HK,18,+8523758XXXX,geographic,Wharf T&T Ltd
HK,15,+852361XXXXX,geographic,Hong Kong Broadbank Network Ltd
HK,11,+8523072XXXX,geographic,New World Telecommunications Ltd
HK,18,+8523759XXXX,geographic,Wharf T&T Ltd
HK,27,+852600XXXXX,mobile,
HK,11,+8523073XXXX,geographic,Wharf T&T Ltd
HK,13,+852319XXXXX,geographic,PCCW - HKT Telephone Ltd
HK,15,+852362XXXXX,geographic,Wharf T&T Ltd
