Country,Page,Range,Type,Provider
HK,26,8525803XXXX,mobile,1582.HK Ltd
HK,26,8525806XXXX,mobile,Cordia HK Ltd
HK,26,8525808XXXX,mobile,Voxbone NV
HK,26,8525807XXXX,mobile,OWT Asia Ltd
HK,26,8525802XXXX,mobile,PowerTech Worldcom Ltd
HK,28,8526048XXXX,mobile,Hutchison - CDMA
HK,28,8526049XXXX,mobile,Hutchison - CDMA
HK,27,8526042XXXX,mobile,Hutchison Telephone Company Ltd
HK,27,8526043XXXX,mobile,Hutchison Telephone Company Ltd
HK,27,8526040XXXX,mobile,Hutchison Telephone Company Ltd
HK,27,8526041XXXX,mobile,Hutchison Telephone Company Ltd
HK,28,8526046XXXX,mobile,Hutchison - CDMA
HK,28,8526047XXXX,mobile,Hutchison - CDMA
HK,28,8526044XXXX,mobile,Hutchison Telephone Company Ltd
HK,28,8526045XXXX,mobile,Hutchison - CDMA
HK,33,852649XXXXX,mobile,Mandarin Communications Ltd
HK,32,852648XXXXX,mobile,Peoples Telephone Company
HK,32,852645XXXXX,mobile,CITIC Telecom 1616
HK,32,852644XXXXX,mobile,Mandarin Communications Ltd
HK,32,852647XXXXX,mobile,Hutchison Telephone Company Ltd
HK,32,852646XXXXX,mobile,Smartone Mobile Communications Ltd
HK,32,852641XXXXX,mobile,New World PCS Ltd
HK,32,852640XXXXX,mobile,Hutchison Telephone Company Ltd
HK,32,852643XXXXX,mobile,Peoples Telephone Company
HK,32,852642XXXXX,mobile,New World PCS Ltd
HK,31,852638XXXXX,mobile,Sunday 3G (Hong Kong)
HK,31,852637XXXXX,mobile,New World PCS Ltd
HK,32,852639XXXXX,mobile,Hong Kong CSL 3G
HK,31,852634XXXXX,mobile,Hutchison3G
HK,31,852633XXXXX,mobile,Hutchison3G
HK,31,852635XXXXX,mobile,Peoples Telephone Company
HK,31,852630XXXXX,mobile,Mandarin Communications Ltd
HK,31,852632XXXXX,mobile,SmarTone 3G
HK,31,852631XXXXX,mobile,Trident Telecom Ventures Ltd
HK,34,852667XXXXX,mobile,China Mobile Peoples Telephone Company Ltd
HK,34,852665XXXXX,mobile,New World PCS Ltd
HK,34,852660XXXXX,mobile,Mandarin Communications Ltd
HK,34,852659XXXXX,mobile,New World PCS Ltd
HK,33,852656XXXXX,mobile,China Unicom International Ltd
HK,33,852655XXXXX,mobile,China Unicom International Ltd
HK,33,852658XXXXX,mobile,Trident Telecom Ventures Ltd
HK,33,852657XXXXX,mobile,Peoples Telephone Company
HK,33,852652XXXXX,mobile,China Unicom International Ltd
HK,33,852651XXXXX,mobile,China-Hongkong Telecom Ltd
HK,33,852654XXXXX,mobile,New World PCS Ltd
HK,33,852653XXXXX,mobile,New World PCS Ltd
HK,33,852650XXXXX,mobile,Hutchison Telephone Company Ltd
HK,37,852689XXXXX,mobile,Hong Kong CSL Ltd
HK,36,852688XXXXX,mobile,China Unicom International Ltd
HK,36,852683XXXXX,mobile,China Motion Telecom (HK) Ltd
HK,36,852682XXXXX,mobile,New World PCS Ltd
HK,35,852677XXXXX,mobile,Hong Kong CSL Ltd
HK,36,852679XXXXX,mobile,Hutchison Telephone Company Ltd
HK,35,852674XXXXX,mobile,Peoples Telephone Company
HK,35,852673XXXXX,mobile,Peoples Telephone Company
HK,35,852676XXXXX,mobile,China Mobile Peoples Telephone Company Ltd
HK,35,852675XXXXX,mobile,New World PCS Ltd
