Country,Page,Range,Type,Provider
HR,11,38575XXXXXX,universalaccess,
HR,1,385,proper,
HR,11,38576XXXXXX,internetserviceprovider,
HR,1,3851XXXXXXX,geographic,
HR,1,3851XXXXXXX,geographic,
HR,11,38577XXXXXX,internetserviceprovider,
HR,1,38520XXXXXX(X),geographic,
HR,5,38533XXXXXX(X),geographic,
HR,1,38520XXXXXX(X),geographic,
HR,1,38520XXXXXX(X),geographic,
HR,11,385800XXXX(XX),freephone,
HR,4,38523XXXXXX(X),geographic,
HR,11,385801XXXX(XX),freephone,
HR,3,38522XXXXXX(X),geographic,
HR,11,38589XXXXXXXX,freephone,
HR,10,38553XXXXXX(X),geographic,
HR,5,38533XXXXXX(X),geographic,
HR,4,38523XXXXXX(X),geographic,
HR,1,38520XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,10,38553XXXXXX(X),geographic,
HR,3,38522XXXXXX(X),geographic,
HR,7,38548XXXXXX(X),geographic,
HR,1,38521XXXXXX(X),geographic,
HR,10,38553XXXXXX(X),geographic,
HR,12,385970XXXXXX,pager,Bip
HR,5,38534XXXXXX(X),geographic,
HR,6,38542XXXXXX(X),geographic,
HR,1,38521XXXXXX(X),geographic,
HR,10,38560XXXX(XX),premiumrate,
HR,2,38521XXXXXX(X),geographic,
HR,1,38521XXXXXX(X),geographic,
HR,12,3859751XXXXX,pager,Bip
HR,4,38523XXXXXX(X),geographic,
HR,3,38522XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,12,385976XXXXXX,pager,Bip
HR,4,38523XXXXXX(X),geographic,
HR,7,38548XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,5,38534XXXXXX(X),geographic,
HR,6,38543XXXXXX(X),geographic,
HR,12,385977XXXXXX,pager,Bip
HR,3,38522XXXXXX(X),geographic,
HR,4,38523XXXXXX(X),geographic,
HR,10,38561XXXX(XX),premiumrate,
HR,3,38522XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,5,38535XXXXXX(X),geographic,
HR,4,38531XXXXXX(X),geographic,
HR,9,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,10,38562XXXXXX,universalaccess,
HR,7,38548XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,5,38535XXXXXX(X),geographic,
HR,10,38564XXXXXX,premiumrate,
HR,7,38548XXXXXX(X),geographic,
HR,12,385979XXXXXX,pager,Bip
HR,4,38531XXXXXX(X),geographic,
HR,6,38543XXXXXX(X),geographic,
HR,9,38551XXXXXX(X),geographic,
HR,3,38522XXXXXX(X),geographic,
HR,10,38565XXXXXX,premiumrate,
HR,5,38540XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,4,38532XXXXXX(X),geographic,
HR,11,385901XXXXXX,mobile,VipNet
HR,3,38522XXXXXX(X),geographic,
HR,7,38549XXXXXX(X),geographic,
HR,5,38540XXXXXX(X),geographic,
HR,6,38543XXXXXX(X),geographic,
HR,11,38591XXXXXXX,mobile,VipNet
HR,8,38551XXXXXX(X),geographic,
HR,11,38592XXXXXXX,mobile,VipNet
HR,11,38595XXXXXXX,mobile,Tele2
HR,9,38552XXXXXX(X),geographic,
HR,12,3859811XXXXXX(X),voicemail(mobile),T-mobile
HR,12,38598XXXXXX(X),mobile,T-mobile
HR,12,38599XXXXXXX,mobile,T-mobile
HR,6,38544XXXXXX(X),geographic,
HR,4,38532XXXXXX(X),geographic,
HR,9,38552XXXXXX(X),geographic,
HR,10,38569XXXXXX,premiumrate,
HR,9,38552XXXXXX(X),geographic,
HR,7,38549XXXXXX(X),geographic,
HR,4,38532XXXXXX(X),geographic,
HR,6,38544XXXXXX(X),geographic,
HR,7,38549XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,10,38574XXXXXX,universalaccess,
HR,3,38523XXXXXX(X),geographic,
HR,7,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,3,38523XXXXXX(X),geographic,
HR,5,38542XXXXXX(X),geographic,
HR,6,38547XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,7,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,5,38542XXXXXX(X),geographic,
HR,9,38552XXXXXX(X),geographic,
HR,7,38551XXXXXX(X),geographic,
HR,6,38547XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,3,38523XXXXXX(X),geographic,
HR,8,38551XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,9,38552XXXXXX(X),geographic,
HR,6,38547XXXXXX(X),geographic,
HR,6,38548XXXXXX(X),geographic,
HR,2,38521XXXXXX(X),geographic,
HR,9,38553XXXXXX(X),geographic,
HR,9,38553XXXXXX(X),geographic,
HR,9,38553XXXXXX(X),geographic,
