Country,Page,Range,Type,Provider
HT,11,+5092286XXXX,geographic,Natcom S.A.
HT,12,+5092296XXXX,geographic,Natcom S.A.
HT,11,+5092287XXXX,geographic,Natcom S.A.
HT,14,+5092545XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,11,+5092288XXXX,geographic,Natcom S.A.
HT,10,+5092278XXXX,geographic,Natcom S.A.
HT,14,+5092547XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,12,+5092297XXXX,geographic,Natcom S.A.
HT,14,+5092553XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,11,+5092289XXXX,geographic,Natcom S.A.
HT,10,+5092279XXXX,geographic,Natcom S.A.
HT,12,+5092298XXXX,geographic,Natcom S.A.
HT,11,+5092290XXXX,geographic,Natcom S.A.
HT,14,+5092940XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,11,+5092291XXXX,geographic,Natcom S.A.
HT,12,+5092299XXXX,geographic,Natcom S.A.
HT,15,+5092947XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,10,+509228XXXXX,geographic,Natcom S.A.
HT,14,+5092941XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,11,+5092292XXXX,geographic,Natcom S.A.
HT,15,+50930XXXXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,10,+509228XXXXX,geographic,Natcom S.A.
HT,15,+50931XXXXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,15,+50932XXXXXX,mobile,Natcom S.A.
HT,15,+5093300XXXX,mobile,Natcom S.A.
HT,15,+5093301XXXX,mobile,Natcom S.A.
HT,15,+5093302XXXX,mobile,Natcom S.A.
HT,15,+50933XXXXXX,mobile,Natcom S.A.
HT,16,+5093303XXXX,mobile,Natcom S.A.
HT,16,+5093304XXXX,mobile,Natcom S.A.
HT,16,+5093305XXXX,mobile,Natcom S.A.
HT,16,+5093306XXXX,mobile,Natcom S.A.
HT,16,+5093307XXXX,mobile,Natcom S.A.
HT,15,+5092948XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,16,+5093308XXXX,mobile,Natcom S.A.
HT,12,+50925XXXXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,14,+5092942XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,10,+5092280XXXX,geographic,Natcom S.A.
HT,3,+5092215XXXX,geographic,Natcom S.A.
HT,16,+5093309XXXX,mobile,Natcom S.A.
HT,16,+5093310XXXX,mobile,Natcom S.A.
HT,16,+5093311XXXX,mobile,Natcom S.A.
HT,16,+5093312XXXX,mobile,Natcom S.A.
HT,3,+5092216XXXX,geographic,Natcom S.A.
HT,11,+5092293XXXX,geographic,Natcom S.A.
HT,17,+5093313XXXX,mobile,Natcom S.A.
HT,17,+5093314XXXX,mobile,Natcom S.A.
HT,15,+5092949XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,10,+5092281XXXX,geographic,Natcom S.A.
HT,17,+5093315XXXX,mobile,Natcom S.A.
HT,17,+5093316XXXX,mobile,Natcom S.A.
HT,17,+5093317XXXX,mobile,Natcom S.A.
HT,17,+5093318XXXX,mobile,Natcom S.A.
HT,17,+5093319XXXX,mobile,Natcom S.A.
HT,17,+5093320XXXX,mobile,Natcom S.A.
HT,17,+5093321XXXX,mobile,Natcom S.A.
HT,17,+5093322XXXX,mobile,Natcom S.A.
HT,18,+5093323XXXX,mobile,Natcom S.A.
HT,18,+5093324XXXX,mobile,Natcom S.A.
HT,18,+5093325XXXX,mobile,Natcom S.A.
HT,18,+5093326XXXX,mobile,Natcom S.A.
HT,1,509,proper,
HT,14,+5092943XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,10,+5092282XXXX,geographic,Natcom S.A.
HT,18,+5093327XXXX,mobile,Natcom S.A.
HT,18,+5093328XXXX,mobile,Natcom S.A.
HT,1,+5092XXXXXXX,geographic,
HT,13,+5092515XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,18,+5093329XXXX,mobile,Natcom S.A.
HT,18,+5093330XXXX,mobile,Natcom S.A.
HT,18,+5093331XXXX,mobile,Natcom S.A.
HT,18,+5093332XXXX,mobile,Natcom S.A.
HT,19,+5093333XXXX,mobile,Natcom S.A.
HT,19,+5093334XXXX,mobile,Natcom S.A.
HT,19,+5093335XXXX,mobile,Natcom S.A.
HT,19,+5093336XXXX,mobile,Natcom S.A.
HT,19,+5093337XXXX,mobile,Natcom S.A.
HT,19,+5093338XXXX,mobile,Natcom S.A.
HT,13,+5092516XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,14,+5092944XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,3,+5092217XXXX,geographic,Natcom S.A.
HT,19,+5093339XXXX,mobile,Natcom S.A.
HT,19,+5093340XXXX,mobile,Natcom S.A.
HT,10,+5092283XXXX,geographic,Natcom S.A.
HT,11,+5092294XXXX,geographic,Natcom S.A.
HT,19,+5093341XXXX,mobile,Natcom S.A.
HT,19,+5093342XXXX,mobile,Natcom S.A.
HT,20,+5093343XXXX,mobile,Natcom S.A.
HT,20,+5093344XXXX,mobile,Natcom S.A.
HT,20,+5093345XXXX,mobile,Natcom S.A.
HT,20,+5093346XXXX,mobile,Natcom S.A.
HT,20,+5093347XXXX,mobile,Natcom S.A.
HT,12,+5092510XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,20,+5093348XXXX,mobile,Natcom S.A.
HT,20,+5093349XXXX,mobile,Natcom S.A.
HT,20,+5093350XXXX,mobile,Natcom S.A.
HT,20,+5093351XXXX,mobile,Natcom S.A.
HT,20,+5093352XXXX,mobile,Natcom S.A.
HT,1,+50922XXXXXX,geographic,Natcom S.A.
HT,21,+5093353XXXX,mobile,Natcom S.A.
HT,21,+5093354XXXX,mobile,Natcom S.A.
HT,21,+5093355XXXX,mobile,Natcom S.A.
HT,21,+5093356XXXX,mobile,Natcom S.A.
HT,21,+5093357XXXX,mobile,Natcom S.A.
HT,11,+5092295XXXX,geographic,Natcom S.A.
HT,21,+5093358XXXX,mobile,Natcom S.A.
HT,3,+5092218XXXX,geographic,Natcom S.A.
HT,10,+5092284XXXX,geographic,Natcom S.A.
HT,14,+5092945XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,21,+5093359XXXX,mobile,Natcom S.A.
HT,21,+5093360XXXX,mobile,Natcom S.A.
HT,21,+5093361XXXX,mobile,Natcom S.A.
HT,21,+5093362XXXX,mobile,Natcom S.A.
HT,22,+5093363XXXX,mobile,Natcom S.A.
HT,22,+5093364XXXX,mobile,Natcom S.A.
HT,22,+5093365XXXX,mobile,Natcom S.A.
HT,22,+5093366XXXX,mobile,Natcom S.A.
HT,10,+5092285XXXX,geographic,Natcom S.A.
HT,22,+5093367XXXX,mobile,Natcom S.A.
HT,22,+5093368XXXX,mobile,Natcom S.A.
HT,22,+5093369XXXX,mobile,Natcom S.A.
HT,22,+5093370XXXX,mobile,Natcom S.A.
HT,3,+5092219XXXX,geographic,Natcom S.A.
HT,22,+5093371XXXX,mobile,Natcom S.A.
HT,13,+5092517XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,22,+5093372XXXX,mobile,Natcom S.A.
HT,23,+5093373XXXX,mobile,Natcom S.A.
HT,23,+5093374XXXX,mobile,Natcom S.A.
HT,23,+5093375XXXX,mobile,Natcom S.A.
HT,23,+5093376XXXX,mobile,Natcom S.A.
HT,23,+5093377XXXX,mobile,Natcom S.A.
HT,23,+5093378XXXX,mobile,Natcom S.A.
HT,14,+5092946XXXX,wirelessgeographic,Communication Cellulaire d'Haiti S.A. (Voila)
HT,23,+5093379XXXX,mobile,Natcom S.A.
HT,23,+5093380XXXX,mobile,Natcom S.A.
HT,23,+5093381XXXX,mobile,Natcom S.A.
HT,23,+5093382XXXX,mobile,Natcom S.A.
HT,24,+5093383XXXX,mobile,Natcom S.A.
HT,24,+5093384XXXX,mobile,Natcom S.A.
HT,3,+509222XXXXX,geographic,Natcom S.A.
HT,24,+5093385XXXX,mobile,Natcom S.A.
HT,13,+5092518XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,24,+5093386XXXX,mobile,Natcom S.A.
HT,24,+5093387XXXX,mobile,Natcom S.A.
HT,24,+5093388XXXX,mobile,Natcom S.A.
HT,24,+5093389XXXX,mobile,Natcom S.A.
HT,24,+5093390XXXX,mobile,Natcom S.A.
HT,24,+5093391XXXX,mobile,Natcom S.A.
HT,24,+5093392XXXX,mobile,Natcom S.A.
HT,25,+5093393XXXX,mobile,Natcom S.A.
HT,2,+5092207XXXX,geographic,Natcom S.A.
HT,25,+5093394XXXX,mobile,Natcom S.A.
HT,25,+5093395XXXX,mobile,Natcom S.A.
HT,1,+5092200XXXX,geographic,Natcom S.A.
HT,25,+5093396XXXX,mobile,Natcom S.A.
HT,12,+5092511XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,25,+5093397XXXX,mobile,Natcom S.A.
HT,25,+5093398XXXX,mobile,Natcom S.A.
HT,3,+5092220XXXX,geographic,Natcom S.A.
HT,25,+5093399XXXX,mobile,Natcom S.A.
HT,25,+5093400XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,25,+5093401XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,25,+50934XXXXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093402XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093403XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093404XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093405XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093406XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093407XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093408XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093409XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093410XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,26,+5093411XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093412XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,12,+5092512XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,27,+5093413XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093414XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,1,+5092201XXXX,geographic,Natcom S.A.
HT,13,+5092519XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,27,+5093415XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093416XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093417XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093418XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093419XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,3,+5092221XXXX,geographic,Natcom S.A.
HT,27,+5093420XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,27,+5093421XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,12,+5092513XXXX,geographic,Haïti Télécommunication S.A. (HAITEL)
HT,28,+5093422XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093423XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093424XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093425XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093426XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093427XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093428XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093429XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093430XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,28,+5093431XXXX,mobile,Unigestion Holding S.A. (Digicel)
HT,29,+5093432XXXX,mobile,Unigestion Holding S.A. (Digicel)
