Country,Page,Range,Type,Provider
ID,103,62821XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,103,62822XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,103,62823XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,104,62824XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,104,62825XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,104,62826XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,104,62827XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,104,62828XXXXXX,mobile,Komselindo STKB-C (NMT)
ID,104,62829XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,103,62820XXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,102,62810XXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62811XXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62812XXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62813XXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62815XXXXXX,mobile,PT INDOSAT Tbk
ID,103,62816XXXXXX,mobile,PT INDOSAT Tbk
ID,103,62817XXXXXX,mobile,Excelcomindo GSM
ID,103,62818XXXXXX,mobile,Excelcomindo GSM
ID,103,62819XXXXXX,mobile,Excelcomindo GSM
ID,105,62877XXXXXX,mobile,PT. Excelcomindo Pratama (GMPCS)
ID,105,62878XXXXXX,mobile,PT. Excelcomindo Pratama (GMPCS)
ID,102,62810XXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62811XXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62812XXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62813XXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62815XXXXXXX,mobile,PT INDOSAT Tbk
ID,103,62816XXXXXXX,mobile,PT INDOSAT Tbk
ID,103,62817XXXXXXX,mobile,Excelcomindo GSM
ID,103,62818XXXXXXX,mobile,Excelcomindo GSM
ID,103,62819XXXXXXX,mobile,Excelcomindo GSM
ID,105,6288XXXXXXX,mobile,GMPCS
ID,105,6286XXXXXXX,mobile,GMPCS
ID,104,6285XXXXXXX,mobile,DCS
ID,104,6283XXXXXXX,mobile,Komselindo STKB-C (AMPS)
ID,105,6288XXXXXXXX,mobile,GMPCS
ID,105,6286XXXXXXXX,mobile,GMPCS
ID,104,6285XXXXXXXX,mobile,DCS
ID,102,62810XXXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62811XXXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,102,62812XXXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62813XXXXXXXX,mobile,PT Telekomunikasi Selular (Telkomsel)
ID,103,62815XXXXXXXX,mobile,PT INDOSAT Tbk
ID,103,62816XXXXXXXX,mobile,PT INDOSAT Tbk
ID,103,62817XXXXXXXX,mobile,Excelcomindo GSM
ID,103,62818XXXXXXXX,mobile,Excelcomindo GSM
ID,103,62819XXXXXXXX,mobile,Excelcomindo GSM
ID,105,6288XXXXXXXXX,mobile,GMPCS
ID,105,6286XXXXXXXXX,mobile,GMPCS
ID,104,6285XXXXXXXXX,mobile,DCS
