Country,Page,Range,Type,Provider
IE,101,+3531514108XXX,premiumrate,Eircom
IE,100,+3531513999XXX,premiumrate,Opera Telecom Ireland Ltd#comma
IE,101,+3531514109XXX,premiumrate,Eircom
IE,100,+35315141XXX,geographic,envi
IE,104,+3531514138XXX,premiumrate,Eircom
IE,100,+3531514100XXX,premiumrate,Eircom
IE,101,+3531514110XXX,premiumrate,Eircom
IE,100,+3531514101XXX,premiumrate,Eircom
IE,101,+3531514111XXX,premiumrate,Eircom
IE,105,+3531514148XXX,premiumrate,Eircom
IE,10,+35311665XXX,geographic,Eircom
IE,104,+3531514139XXX,premiumrate,Eircom
IE,108,+3531514178XXX,premiumrate,Eircom
IE,105,+3531514149XXX,premiumrate,Eircom
IE,100,+3531514102XXX,premiumrate,Eircom
IE,101,+3531514112XXX,premiumrate,Eircom
IE,10,+35311670XXX,geographic,Eircom
IE,120,+3531514297XXX,premiumrate,Eircom
IE,105,+3531514150XXX,premiumrate,Eircom
IE,117,+3531514267XXX,premiumrate,Eircom
IE,112,+3531514217XXX,premiumrate,Eircom
IE,103,+3531514128XXX,premiumrate,Eircom
IE,108,+3531514179XXX,premiumrate,Eircom
IE,109,+3531514188XXX,premiumrate,Eircom
IE,101,+3531514113XXX,premiumrate,Eircom
IE,100,+3531514103XXX,premiumrate,Eircom
IE,105,+3531514151XXX,premiumrate,Eircom
IE,117,+3531514268XXX,premiumrate,Eircom
IE,104,+3531514140XXX,premiumrate,Eircom
IE,115,+3531514247XXX,premiumrate,Eircom
IE,120,+3531514298XXX,premiumrate,Eircom
IE,102,+3531514118XXX,premiumrate,Eircom
IE,112,+3531514218XXX,premiumrate,Eircom
IE,111,+3531514207XXX,premiumrate,Eircom
IE,105,+3531514152XXX,premiumrate,Eircom
IE,100,+3531514104XXX,premiumrate,Eircom
IE,117,+3531514269XXX,premiumrate,Eircom
IE,103,+3531514129XXX,premiumrate,Eircom
IE,108,+3531514180XXX,premiumrate,Eircom
IE,10,+35311680XXX,geographic,Eircom
IE,120,+3531514299XXX,premiumrate,Eircom
IE,112,+3531514219XXX,premiumrate,Eircom
IE,115,+3531514248XXX,premiumrate,Eircom
IE,105,+3531514153XXX,premiumrate,Eircom
IE,102,+3531514119XXX,premiumrate,Eircom
IE,100,+3531514105XXX,premiumrate,Eircom
IE,116,+3531514257XXX,premiumrate,Eircom
IE,10,+35311681XXX,geographic,Eircom
IE,114,+3531514237XXX,premiumrate,Eircom
IE,107,+3531514168XXX,premiumrate,Eircom
IE,105,+3531514154XXX,premiumrate,Eircom
IE,104,+3531514141XXX,premiumrate,Eircom
IE,111,+3531514208XXX,premiumrate,Eircom
IE,120,+3531514300XXX,premiumrate,Budget Telecom
IE,109,+3531514189XXX,premiumrate,Eircom
IE,101,+3531514114XXX,premiumrate,Eircom
IE,102,+3531514120XXX,premiumrate,Eircom
IE,104,+3531514142XXX,premiumrate,Eircom
IE,100,+3531514106XXX,premiumrate,Eircom
IE,115,+3531514249XXX,premiumrate,Eircom
IE,10,+3531200XXXX,geographic,Eircom
IE,103,+3531514130XXX,premiumrate,Eircom
IE,116,+3531514258XXX,premiumrate,Eircom
IE,117,+3531514270XXX,premiumrate,Eircom
IE,11,+35312015XXX,geographic,Eircom
IE,120,+3531514301XXX,premiumrate,Swiftcall
IE,111,+3531514209XXX,premiumrate,Eircom
IE,105,+3531514155XXX,premiumrate,Eircom
IE,114,+3531514238XXX,premiumrate,Eircom
IE,107,+3531514169XXX,premiumrate,Eircom
IE,104,+3531514143XXX,premiumrate,Eircom
IE,101,+3531514115XXX,premiumrate,Eircom
IE,106,+3531514158XXX,premiumrate,Eircom
IE,108,+3531514181XXX,premiumrate,Eircom
IE,115,+3531514250XXX,premiumrate,Eircom
IE,118,+3531514277XXX,premiumrate,Eircom
IE,10,+35312010XXX,geographic,Eircom
IE,100,+3531514107XXX,premiumrate,Eircom
IE,102,+3531514121XXX,premiumrate,Eircom
IE,109,+3531514190XXX,premiumrate,Eircom
IE,103,+3531514131XXX,premiumrate,Eircom
IE,122,+3531514500XXX,premiumrate,Energis
IE,111,+3531514210XXX,premiumrate,Eircom
IE,107,+3531514170XXX,premiumrate,Eircom
IE,112,+3531514220XXX,premiumrate,Eircom
IE,11,+35312016XXX,geographic,Eircom
IE,114,+3531514239XXX,premiumrate,Eircom
IE,104,+3531514144XXX,premiumrate,Eircom
IE,117,+3531514271XXX,premiumrate,Eircom
IE,116,+3531514259XXX,premiumrate,Eircom
IE,113,+3531514227XXX,premiumrate,Eircom
IE,120,+3531514302XXX,premiumrate,Vartec
IE,101,+3531514116XXX,premiumrate,Eircom
IE,112,+3531514221XXX,premiumrate,Eircom
IE,115,+3531514251XXX,premiumrate,Eircom
IE,109,+3531514191XXX,premiumrate,Eircom
IE,114,+3531514240XXX,premiumrate,Eircom
IE,107,+3531514171XXX,premiumrate,Eircom
IE,10,+35312011XXX,geographic,Eircom
IE,122,+3531514505XXX,premiumrate,Eircom
IE,118,+3531514278XXX,premiumrate,Eircom
IE,111,+3531514211XXX,premiumrate,Eircom
IE,103,+3531514132XXX,premiumrate,Eircom
IE,104,+3531514145XXX,premiumrate,Eircom
IE,119,+3531514287XXX,premiumrate,Eircom
IE,116,+3531514260XXX,premiumrate,Eircom
IE,11,+35312017XXX,geographic,Eircom
IE,117,+3531514272XXX,premiumrate,Eircom
IE,105,+3531514156XXX,premiumrate,Eircom
IE,114,+3531514241XXX,premiumrate,Eircom
IE,116,+3531514261XXX,premiumrate,Eircom
IE,107,+3531514172XXX,premiumrate,Eircom
IE,122,+3531514510XXX,premiumrate,BT Ireland
IE,112,+3531514222XXX,premiumrate,Eircom
IE,11,+35312018XXX,geographic,Eircom
IE,113,+3531514228XXX,premiumrate,Eircom
IE,126,+35315147159XX,premiumrate,Eircom
IE,120,+3531514303XXX,premiumrate,BT Ireland
IE,109,+3531514192XXX,premiumrate,Eircom
IE,115,+3531514252XXX,premiumrate,Eircom
IE,127,+35315147179XX,premiumrate,BT Ireland
IE,105,+3531514157XXX,premiumrate,Eircom
IE,103,+3531514133XXX,premiumrate,Eircom
IE,102,+3531514122XXX,premiumrate,Eircom
IE,111,+3531514212XXX,premiumrate,Eircom
IE,121,+3531514345XXX,premiumrate,Eircom
IE,110,+3531514198XXX,premiumrate,Eircom
IE,108,+3531514182XXX,premiumrate,Eircom
IE,114,+3531514242XXX,premiumrate,Eircom
IE,125,+35315147123XX,premiumrate,Eircom
IE,101,+3531514117XXX,premiumrate,Eircom
IE,118,+3531514279XXX,premiumrate,Eircom
IE,111,+3531514213XXX,premiumrate,Eircom
IE,113,+3531514229XXX,premiumrate,Eircom
IE,121,+3531514346XXX,premiumrate,Eircom
IE,130,+3531515115XXX,premiumrate,Eircom
IE,122,+3531514511XXX,premiumrate,Eircom
IE,125,+35315147124XX,premiumrate,Eircom
IE,116,+3531514262XXX,premiumrate,Eircom
IE,103,+3531514134XXX,premiumrate,Eircom
IE,111,+3531514214XXX,premiumrate,Eircom
IE,123,+3531514606XXX,premiumrate,BT Ireland
IE,10,+35312012XXX,geographic,Eircom
IE,118,+3531514280XXX,premiumrate,Eircom
