Country,Page,Range,Type,Provider
IE,872,3538750999XXX,mobile,Vodafone Ireland PLC
IE,847,3538555709XXX,mobile,Meteor
IE,883,353875993XXX,mobile,Vodafone Ireland PLC
IE,883,353875992XXX,mobile,Vodafone Ireland PLC
IE,882,353875991XXX,mobile,Vodafone Ireland PLC
IE,882,353875990XXX,mobile,Vodafone Ireland PLC
IE,884,353875997XXX,mobile,Vodafone Ireland PLC
IE,883,353875996XXX,mobile,Vodafone Ireland PLC
IE,883,353875995XXX,mobile,Vodafone Ireland PLC
IE,883,353875994XXX,mobile,Vodafone Ireland PLC
IE,884,353875998XXX,mobile,Vodafone Ireland PLC
IE,878,3538755992XXX,mobile,Vodafone Ireland PLC
IE,878,3538755991XXX,mobile,Vodafone Ireland PLC
IE,878,3538755994XXX,mobile,Vodafone Ireland PLC
IE,878,3538755993XXX,mobile,Vodafone Ireland PLC
IE,877,3538755990XXX,mobile,Vodafone Ireland PLC
IE,878,3538755996XXX,mobile,Vodafone Ireland PLC
IE,878,3538755995XXX,mobile,Vodafone Ireland PLC
IE,878,3538755998XXX,mobile,Vodafone Ireland PLC
IE,878,3538755997XXX,mobile,Vodafone Ireland PLC
IE,849,353855709XXX,mobile,Meteor
IE,858,353865204XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865203XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865206XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865205XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865200XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865202XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865201XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865208XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865207XXXX,mobile,O2 Communications (Ireland) Ltd
IE,858,353865209XXXX,mobile,O2 Communications (Ireland) Ltd
IE,861,353865508XXXX,mobile,O2 Communications (Ireland) Ltd
IE,861,353865516XXXX,mobile,O2 Communications (Ireland) Ltd
IE,861,353865515XXXX,mobile,O2 Communications (Ireland) Ltd
IE,861,353865517XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865534XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865533XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865536XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865535XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865532XXXX,mobile,O2 Communications (Ireland) Ltd
IE,861,353865531XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865538XXXX,mobile,O2 Communications (Ireland) Ltd
IE,862,353865537XXXX,mobile,O2 Communications (Ireland) Ltd
IE,863,353865809XXXX,mobile,O2 Communications (Ireland) Ltd
