Country,Page,Range,Type,Provider
IL,98,97250XXXXXXX,mobile,Pelephone Communicarions Ltd
IL,99,97251XXXXXXX,mobile,Marathon 018 Xphone Ltd
IL,102,9727XXXXXXXX,nationalgeographic,
IL,99,97252XXXXXXX,mobile,Cellcom Israel Ltd
IL,103,972747XXXXXX,localrate,Partner Communications Co. Ltd (Orange)
IL,102,972718XXXXXX,VoIPtelephony,Exphone 018
IL,99,97253XXXXXXX,mobile,Mirs Communications Ltd (HOT mobile)
IL,103,972765XXXXXX,VoIPtelephony,B.I.P.
IL,106,9728XXXXXXX,geographic,
IL,103,9727680XXXXX,localrate,Bezeq
IL,106,9728XXXXXXX,geographic,
IL,102,972722XXXXXX,VoIPtelephony,012 Telecom
IL,103,9727688XXXXX,localrate,Bezeq
IL,99,97254XXXXXXX,mobile,Partner Communications Co. Ltd (Orange)
IL,106,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,103,97277XXXXXXX,VoIPtelephony,HOT Telecom
IL,99,9725522XXXXX,mobile,Home Cellular Ltd (MVNO)
IL,104,972797XXXXXX,VoIPtelephony,Cellact Communication Ltd
IL,99,9725523XXXXX,mobile,Home Cellular Ltd (MVNO)
IL,102,972723XXXXXX,VoIPtelephony,012 Telecom
IL,102,972732XXXXXX,localrate,Cellcom Israel Ltd
IL,106,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,103,972782XXXXXX,VoIPtelephony,Golan Telecom Ltd
IL,104,972798XXXXXX,VoIPtelephony,LB Annatel Ltd
IL,99,9725524XXXXX,mobile,Telzar International Communications Services Ltd
IL,106,9728XXXXXXX,geographic,
IL,103,97278555XXXX,VoIPtelephony,Sipme.me
IL,99,9725525XXXXX,mobile,Telzar International Communications Services Ltd
IL,107,9728XXXXXXX,geographic,
IL,102,972733XXXXXX,localrate,Cellcom Israel Ltd
IL,107,9728XXXXXXX,geographic,
IL,102,972737XXXXXX,VoIPtelephony,Veidan
IL,103,972792XXXXXX,VoIPtelephony,Free Telecom
IL,106,9728XXXXXXX,geographic,
IL,104,972799XXXXXX,VoIPtelephony,Telzar International Communications Services Ltd
IL,99,9725532XXXXX,mobile,Free Telecom (MVNO)
IL,102,97274414XXXX,localrate,Bezeq
IL,99,9725533XXXXX,mobile,Free Telecom (MVNO)
IL,106,9728XXXXXXX,geographic,
IL,104,9728XXXXXXX,geographic,
IL,103,972793XXXXXX,VoIPtelephony,Binat Business Ltd
IL,113,9728XXXXXXX,geographic,
IL,100,9725550XXXXX,mobile,LB Annatel Ltd
IL,100,9725551XXXXX,mobile,LB Annatel Ltd
IL,106,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,113,9728XXXXXXX,geographic,
IL,103,972795XXXXXX,VoIPtelephony,Hashikma a NGN International Communications 015 Ltd
IL,104,9728XXXXXXX,geographic,
IL,100,9725566XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,117,9728XXXXXXX,geographic,
IL,113,9728XXXXXXX,geographic,
IL,100,9725567XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,107,9728XXXXXXX,geographic,
IL,106,9728XXXXXXX,geographic,
IL,104,9728XXXXXXX,geographic,
IL,100,9725568XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,100,9725570XXXXX,mobile,Celact (MVNO)
IL,113,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,104,9728XXXXXXX,geographic,
IL,105,9728XXXXXXX,geographic,
IL,106,9728XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,100,9725571XXXXX,mobile,Celact (MVNO)
IL,112,9728XXXXXXX,geographic,
IL,110,9728XXXXXXX,geographic,
IL,100,9725572XXXXX,mobile,Cellact Communication Ltd
IL,104,9728XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,100,9725587XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,113,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,111,9728XXXXXXX,geographic,
IL,108,9728XXXXXXX,geographic,
IL,10,9722XXXXXXX,geographic,
IL,113,9728XXXXXXX,geographic,
IL,100,9725588XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,104,9728XXXXXXX,geographic,
IL,110,9728XXXXXXX,geographic,
IL,105,9728XXXXXXX,geographic,
IL,115,9728XXXXXXX,geographic,
IL,10,9722XXXXXXX,geographic,
IL,119,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,101,9725589XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,117,9728XXXXXXX,geographic,
IL,108,9728XXXXXXX,geographic,
IL,119,9728XXXXXXX,geographic,
IL,10,9722XXXXXXX,geographic,
IL,118,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,112,9728XXXXXXX,geographic,
IL,119,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,126,9728XXXXXXX,geographic,
IL,128,9728XXXXXXX,geographic,
IL,111,9728XXXXXXX,geographic,
IL,110,9728XXXXXXX,geographic,
IL,113,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,118,9728XXXXXXX,geographic,
IL,108,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,107,9728XXXXXXX,geographic,
IL,126,9728XXXXXXX,geographic,
IL,112,9728XXXXXXX,geographic,
IL,111,9728XXXXXXX,geographic,
IL,12,9722XXXXXXX,geographic,
IL,129,9728XXXXXXX,geographic,
IL,119,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,104,9728XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,121,9728XXXXXXX,geographic,
IL,109,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,123,9728XXXXXXX,geographic,
IL,128,9728XXXXXXX,geographic,
IL,118,9728XXXXXXX,geographic,
IL,105,9728XXXXXXX,geographic,
IL,113,9728XXXXXXX,geographic,
IL,10,9722XXXXXXX,geographic,
IL,111,9728XXXXXXX,geographic,
IL,108,9728XXXXXXX,geographic,
IL,129,9728XXXXXXX,geographic,
IL,116,9728XXXXXXX,geographic,
IL,123,9728XXXXXXX,geographic,
IL,109,9728XXXXXXX,geographic,
IL,114,9728XXXXXXX,geographic,
IL,125,9728XXXXXXX,geographic,
IL,12,9722XXXXXXX,geographic,
IL,117,9728XXXXXXX,geographic,
IL,126,9728XXXXXXX,geographic,
IL,121,9728XXXXXXX,geographic,
IL,119,9728XXXXXXX,geographic,
IL,120,9728XXXXXXX,geographic,
IL,125,9728XXXXXXX,geographic,
IL,111,9728XXXXXXX,geographic,
IL,131,9728XXXXXXX,geographic,
IL,128,9728XXXXXXX,geographic,
IL,112,9728XXXXXXX,geographic,
