Country,Page,Range,Type,Provider
IL,101,9725599XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725598XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725591XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725593XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725592XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725595XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725594XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725597XXXXX,mobile,Telzar International Communications Services Ltd
IL,101,9725596XXXXX,mobile,Telzar International Communications Services Ltd
IL,100,9725571XXXXX,mobile,Celact (MVNO)
IL,100,9725570XXXXX,mobile,Celact (MVNO)
IL,100,9725572XXXXX,mobile,Cellact Communication Ltd
IL,100,9725588XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,100,9725587XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,101,9725589XXXXX,mobile,Alon Cellular Ltd (Youphone) (MVNO)
IL,100,9725550XXXXX,mobile,LB Annatel Ltd
IL,100,9725566XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,100,9725568XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,100,9725567XXXXX,mobile,Rami Levi Ltd (MVNO)
IL,99,9725533XXXXX,mobile,Free Telecom (MVNO)
IL,99,9725532XXXXX,mobile,Free Telecom (MVNO)
IL,99,9725522XXXXX,mobile,Home Cellular Ltd (MVNO)
IL,99,9725524XXXXX,mobile,Telzar International Communications Services Ltd
IL,99,9725523XXXXX,mobile,Home Cellular Ltd (MVNO)
IL,99,9725525XXXXX,mobile,Telzar International Communications Services Ltd
IL,102,97258XXXXXXX,mobile,Golan Telecom Ltd
IL,99,97251XXXXXXX,mobile,Marathon 018 Xphone Ltd
IL,98,97250XXXXXXX,mobile,Pelephone Communicarions Ltd
IL,99,97253XXXXXXX,mobile,Mirs Communications Ltd (HOT mobile)
IL,99,97252XXXXXXX,mobile,Cellcom Israel Ltd
