Country,Page,Range,Type,Provider
IM,3,+44162484XXXX,geographic,Manx Telecom Trading Limited
IM,3,+44162485XXXX,geographic,Manx Telecom Trading Limited
IM,3,+44162486XXXX,geographic,Manx Telecom Trading Limited
IM,3,+44162487XXXX,geographic,Manx Telecom Trading Limited
IM,3,+44162488XXXX,geographic,Manx Telecom Trading Limited
IM,2,+44162469XXXX,geographic,Manx Telecom Trading Limited
IM,3,+44162489XXXX,geographic,Manx Telecom Trading Limited
IM,5,+4476241XXXXX,pager,Manx Telecom Trading Limited
IM,5,+4476242XXXXX,pager,Sure (Isle of Man) Limited
IM,2,+441624707XXX,geographic,Wi-Manx Limited
IM,5,+4476243XXXXX,pager,Manx Telecom Trading Limited
IM,3,+44560061XXXX,electronic/faxservices,Manx Telecom Trading Limited
IM,2,+44162471XXXX,geographic,Manx Telecom Trading Limited
IM,7,+44900624XXXX,premiumrate,Manx Telecom Trading Limited
IM,5,+4476244XXXXX,pager,Manx Telecom Trading Limited
IM,3,+44560081XXXX,electronic/faxservices,Manx Telecom Trading Limited
IM,1,+441624XXXXXX,geographic,
IM,2,+44162472XXXX,geographic,Manx Telecom Trading Limited
IM,1,+44162460XXXX,geographic,Manx Telecom Trading Limited
IM,7,+44901624XXXX,premiumrate,Manx Telecom Trading Limited
IM,5,+4476246XXXXX,pager,Manx Telecom Trading Limited
IM,3,+44560082XXXX,electronic/faxservices,Manx Telecom Trading Limited
IM,1,+44162461XXXX,geographic,Manx Telecom Trading Limited
IM,5,+4476248XXXXX,pager,Manx Telecom Trading Limited
IM,3,+4474184XXXXX,mobile,Manx Telecom Trading Limited
IM,4,+4474520XXXXX,mobile,Manx Telecom Trading Limited
IM,5,+4476249XXXXX,pager,Manx Telecom Trading Limited
IM,1,+44162462XXXX,geographic,Manx Telecom Trading Limited
IM,4,+4474521XXXXX,mobile,Manx Telecom Trading Limited
IM,4,+4474522XXXXX,mobile,Manx Telecom Trading Limited
IM,4,+4474523XXXXX,mobile,Manx Telecom Trading Limited
IM,4,+4474524XXXXX,mobile,Manx Telecom Trading Limited
IM,7,+44906624XXXX,premiumrate,Manx Telecom Trading Limited
IM,2,+441624770XXX,geographic,Sure (Isle of Man) Limited
IM,4,+4474525XXXXX,mobile,Manx Telecom Trading Limited
IM,1,+44162463XXXX,geographic,Manx Telecom Trading Limited
IM,4,+4474526XXXXX,mobile,Manx Telecom Trading Limited
IM,2,+441624777XXX,geographic,Sure (Isle of Man) Limited
IM,7,+44907624XXXX,premiumrate,Manx Telecom Trading Limited
IM,4,+4474576XXXXX,mobile,Sure (Isle of Man) Limited
IM,2,+44162480XXXX,geographic,Manx Telecom Trading Limited
IM,4,+4474576XXXXX,mobile,Sure (Isle of Man) Limited
IM,5,+4479240XXXXX,mobile,Manx Telecom Trading Limited
IM,1,+44162464XXXX,geographic,Manx Telecom Trading Limited
IM,5,+4479241XXXXX,mobile,Manx Telecom Trading Limited
IM,5,+4479242XXXXX,mobile,Manx Telecom Trading Limited
IM,6,+4479243XXXXX,mobile,Manx Telecom Trading Limited
IM,1,+44162465XXXX,geographic,Manx Telecom Trading Limited
IM,6,+4479244XXXXX,mobile,Manx Telecom Trading Limited
IM,6,+4479246XXXXX,mobile,Manx Telecom Trading Limited
IM,1,+44162466XXXX,geographic,Manx Telecom Trading Limited
IM,2,+44162481XXXX,geographic,Manx Telecom Trading Limited
IM,6,+4479247XXXXX,mobile,Manx Telecom Trading Limited
IM,4,+4476240XXXXX,pager,Manx Telecom Trading Limited
IM,1,+44162467XXXX,geographic,Manx Telecom Trading Limited
IM,6,+4479248XXXXX,mobile,Manx Telecom Trading Limited
IM,2,+44162482XXXX,geographic,Manx Telecom Trading Limited
IM,6,+4479249XXXXX,mobile,Manx Telecom Trading Limited
IM,2,+44162483XXXX,geographic,Manx Telecom Trading Limited
IM,1,+44162468XXXX,geographic,Manx Telecom Trading Limited
IM,6,+44808162XXXX,freephone,Manx Telecom Trading Limited
IM,6,+448440406XXX,internetserviceprovider,Manx Telecom Trading Limited
IM,6,+448440906XXX,internetserviceprovider,Manx Telecom Trading Limited
IM,6,+44899963XXXX,routingcode,Manx Telecom Trading Limited
