Country,Page,Range,Type,Provider
IM,3,4474184XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474525XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474526XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474520XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474523XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474524XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474521XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474522XXXXX,mobile,Manx Telecom Trading Limited
IM,4,4474576XXXXX,mobile,Sure (Isle of Man) Limited
IM,6,4479243XXXXX,mobile,Manx Telecom Trading Limited
IM,6,4479244XXXXX,mobile,Manx Telecom Trading Limited
IM,6,4479246XXXXX,mobile,Manx Telecom Trading Limited
IM,5,4479240XXXXX,mobile,Manx Telecom Trading Limited
IM,5,4479241XXXXX,mobile,Manx Telecom Trading Limited
IM,5,4479242XXXXX,mobile,Manx Telecom Trading Limited
IM,6,4479247XXXXX,mobile,Manx Telecom Trading Limited
IM,6,4479248XXXXX,mobile,Manx Telecom Trading Limited
IM,6,4479249XXXXX,mobile,Manx Telecom Trading Limited
