Country,Page,Range,Type,Provider
IN,1902,9168692XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1900,9168674XXXXX,geographic,Bharti Airtel Ltd
IN,1902,9168693XXXXX,geographic,Reliance Communications Ltd
IN,1900,9168675XXXXX,geographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1906,917103791XXX,wirelessgeographic,Videocon Telecom
IN,1902,9168694XXXXX,geographic,Bharti Airtel Ltd
IN,1900,9168676XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1902,9168695XXXXX,geographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1906,917103792XXX,wirelessgeographic,Videocon Telecom
IN,1910,9171094XXXXX,geographic,Bharti Airtel Ltd
IN,1902,9168696XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1904,917100793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1906,917103793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1900,91686771XXXX,wirelessgeographic,Vodafone India Ltd
IN,1902,91686971XXXX,wirelessgeographic,Vodafone India Ltd
IN,1901,9168683XXXXX,geographic,Reliance Communications Ltd
IN,1910,9171095XXXXX,geographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1904,917100794XXX,wirelessgeographic,Aircel Ltd
IN,1909,9171065XXXXX,geographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1901,9168684XXXXX,geographic,Bharti Airtel Ltd
IN,1902,916869791XXX,wirelessgeographic,Videocon Telecom
IN,1900,916867791XXX,wirelessgeographic,Videocon Telecom
IN,1904,917102XXXXXX,geographic,
IN,1914,917114794XXX,wirelessgeographic,Aircel Ltd
IN,1902,916869792XXX,wirelessgeographic,Videocon Telecom
IN,1905,917102792XXX,wirelessgeographic,Videocon Telecom
IN,1901,9168685XXXXX,geographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1906,917103794XXX,wirelessgeographic,Aircel Ltd
IN,1910,9171096XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1909,9171066XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1900,916867792XXX,wirelessgeographic,Videocon Telecom
IN,1905,917102793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1914,917115XXXXXX,geographic,
IN,1906,917104XXXXXX,geographic,
IN,1903,917100XXXXXX,geographic,
IN,1901,9168686XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1902,916869793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1909,91710671XXXX,wirelessgeographic,Vodafone India Ltd
IN,1910,91710971XXXX,wirelessgeographic,Vodafone India Ltd
IN,1904,9171022XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1906,9171042XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1914,9171152XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1901,91686871XXXX,wirelessgeographic,Vodafone India Ltd
IN,1905,917102794XXX,wirelessgeographic,Aircel Ltd
IN,1900,916867793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1903,9171002XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1908,9171056XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1910,917109791XXX,wirelessgeographic,Videocon Telecom
IN,1901,916868791XXX,wirelessgeographic,Videocon Telecom
IN,1904,9171023XXXXX,geographic,Reliance Communications Ltd
IN,1909,917106791XXX,wirelessgeographic,Videocon Telecom
IN,1908,91710571XXXX,wirelessgeographic,Vodafone India Ltd
IN,1913,917114XXXXXX,geographic,
IN,1914,9171153XXXXX,geographic,Reliance Communications Ltd
IN,1900,916867794XXX,wirelessgeographic,Aircel Ltd
IN,1910,917109792XXX,wirelessgeographic,Videocon Telecom
IN,1906,9171043XXXXX,geographic,Reliance Communications Ltd
IN,1919,9171316XXXXX,geographic,Tata Teleservices Ltd (TTSL)
IN,1904,9171024XXXXX,geographic,Bharti Airtel Ltd
IN,1909,917106792XXX,wirelessgeographic,Videocon Telecom
IN,1910,917109793XXX,wirelessgeographic,Sistema Shyam TeleServices Ltd (MTS)
IN,1902,916869794XXX,wirelessgeographic,Aircel Ltd
IN,1903,9171003XXXXX,geographic,Reliance Communications Ltd
IN,1905,917103XXXXXX,geographic,
IN,1914,9171154XXXXX,geographic,Bharti Airtel Ltd
IN,1913,9171142XXXXX,geographic,Bharat Sanchar Nigam Ltd (BSNL)
IN,1919,91713171XXXX,wirelessgeographic,Vodafone India Ltd
IN,1908,917105791XXX,wirelessgeographic,Videocon Telecom
IN,1906,9171044XXXXX,geographic,Bharti Airtel Ltd
