Country,Page,Range,Type,Provider
IN,3093,9189660XXXXX,mobile,Idea Cellular Ltd - MP
IN,3094,9189669XXXXX,mobile,Idea Cellular Ltd - MP
IN,3094,9189668XXXXX,mobile,Idea Cellular Ltd - MP
IN,3092,9189650XXXXX,mobile,Idea Cellular Ltd - MP
IN,3093,9189659XXXXX,mobile,Idea Cellular Ltd - MP
IN,3093,9189658XXXXX,mobile,Idea Cellular Ltd - MP
IN,2963,9187100XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2964,9187108XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2964,9187109XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2971,9187180XXXXX,mobile,Idea Cellular Ltd - MP
IN,2972,9187188XXXXX,mobile,Idea Cellular Ltd - MP
IN,2972,9187189XXXXX,mobile,Idea Cellular Ltd - MP
IN,2970,9187170XXXXX,mobile,Vodafone India Ltd - JK
IN,2971,9187178XXXXX,mobile,Idea Cellular Ltd - MP
IN,2971,9187179XXXXX,mobile,Idea Cellular Ltd - MP
IN,2968,9187160XXXXX,mobile,Vodafone India Ltd - JK
IN,2970,9187169XXXXX,mobile,Vodafone India Ltd - JK
IN,2970,9187168XXXXX,mobile,Vodafone India Ltd - JK
IN,2967,9187150XXXXX,mobile,Vodafone India Ltd - JK
IN,2968,9187158XXXXX,mobile,Vodafone India Ltd - JK
IN,2968,9187159XXXXX,mobile,Vodafone India Ltd - JK
IN,2966,9187130XXXXX,mobile,Vodafone India Ltd - JK
IN,2967,9187138XXXXX,mobile,Vodafone India Ltd - JK
IN,2967,9187139XXXXX,mobile,Vodafone India Ltd - JK
IN,2964,9187110XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2965,9187118XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2965,9187119XXXXX,mobile,Sistema Shyam TeleServices Ltd (MTS) - KN
IN,2973,9187190XXXXX,mobile,Idea Cellular Ltd - MP
IN,2974,9187198XXXXX,mobile,Idea Cellular Ltd - MP
IN,2974,9187199XXXXX,mobile,Idea Cellular Ltd - MP
IN,3044,9188550XXXXX,mobile,Telenor Unitech Ltd (Uninor) - MH
IN,3046,9188559XXXXX,mobile,Telenor Unitech Ltd (Uninor) - MH
IN,3045,9188558XXXXX,mobile,Telenor Unitech Ltd (Uninor) - MH
IN,3043,9188540XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
IN,2975,9187210XXXXX,mobile,Vodafone India Ltd - AS
IN,3044,9188548XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
IN,2977,9187218XXXXX,mobile,Vodafone India Ltd - AS
IN,3044,9188549XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
IN,2977,9187219XXXXX,mobile,Vodafone India Ltd - AS
IN,2974,9187200XXXXX,mobile,Idea Cellular Ltd - MP
IN,2975,9187208XXXXX,mobile,Idea Cellular Ltd - MP
IN,2975,9187209XXXXX,mobile,Vodafone India Ltd - AS
IN,3041,9188520XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
IN,3043,9188528XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
IN,3043,9188529XXXXX,mobile,TATA Teleservices Ltd (Docomo) - RJ
