Country,Page,Range,Type,Provider
IQ,1,964,proper,
IQ,1,9641XXXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,1,96421XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,3,96462725XXX,geographic,Allai Newroz Telecom
IQ,1,96423XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,3,9646276XXXX,wirelessgeographic,Allai Newroz Telecom
IQ,8,9647495XXXXXX,wirelessgeographic,IraqTel
IQ,1,96424XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,3,96462766XXX,geographic,Allai Newroz Telecom
IQ,1,96425XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,4,9647XXXXXXXXX,mobile,
IQ,8,9647496XXXXXX,wirelessgeographic,IraqTel
IQ,3,9646277XXXX,wirelessgeographic,Allai Newroz Telecom
IQ,4,96471XXXXXXXX,mobile,
IQ,1,96430XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,1,96432XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,3,9646278XXXX,wirelessgeographic,Allai Newroz Telecom
IQ,2,96437XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,4,9647100XXXXXX,mobile,Iraqi Telecommunications & Post Company (Al-Nakheel)
IQ,2,96440XXXXXX,geographic,Iraqi Telecommunications & Post Company (ITPC)
IQ,4,9647101XXXXXX,mobile,Iraqi Telecommunications & Post Company (Al-Nakheel)
IQ,4,9647120XXXXXX,mobile,Iraqi Telecommunications & Post Company (IraqCell)
IQ,4,9647121XXXXXX,mobile,Iraqi Telecommunications & Post Company (IraqCell)
IQ,4,9647200XXXXXX,mobile,Iraqi Telecommunications & Post Company (Al-Mazaya)
IQ,4,9647201XXXXXX,mobile,Iraqi Telecommunications & Post Company (Al-Mazaya)
IQ,4,9647225XXXXXX,mobile,Iraqi Telecommunications & Post Company (Sader Al-Iraq)
IQ,5,9647226XXXXXX,mobile,Iraqi Telecommunications & Post Company (Sader Al-Iraq)
IQ,5,9647230XXXXXX,mobile,Iraqi Telecommunications & Post Company (Emaar Al-Basrah)
IQ,5,9647231XXXXXX,mobile,Iraqi Telecommunications & Post Company (Emaar Al-Basrah)
IQ,5,9647235XXXXXX,mobile,Iraqi Telecommunications & Post Company (Anwar Yagoot Al Khaleej)
IQ,5,9647236XXXXXX,mobile,Iraqi Telecommunications & Post Company (Anwar Yagoot Al Khaleej)
