Country,Page,Range,Type,Provider
IQ,6,9647310XXXXXX,mobile,Iraqi Telecommunications & Post Company (Shally)
IQ,6,9647311XXXXXX,mobile,Iraqi Telecommunications & Post Company (Shally)
IQ,7,9647444XXXXXX,mobile,Mobitel
IQ,11,9647830XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,9647831XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,9647834XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,9647835XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,9647832XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,9647833XXXXXX,mobile,ZAIN (formerly Atheer)
IQ,12,9647904XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,12,9647905XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,12,9647902XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,12,9647903XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,12,9647906XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,12,9647901XXXXXX,mobile,ZAIN (formerly IRAQNA)
IQ,8,9647517XXXXXX,mobile,Korek Telecom Ltd
IQ,9,9647518XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647511XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647512XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647515XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647516XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647513XXXXXX,mobile,Korek Telecom Ltd
IQ,8,9647514XXXXXX,mobile,Korek Telecom Ltd
IQ,9,9647607XXXXXX,mobile,Moutiny
IQ,9,9647608XXXXXX,mobile,Moutiny
IQ,9,9647605XXXXXX,mobile,Mobitel
IQ,9,9647606XXXXXX,mobile,Moutiny
IQ,10,9647609XXXXXX,mobile,Moutiny
IQ,9,9647600XXXXXX,mobile,Moutiny
IQ,9,9647603XXXXXX,mobile,Moutiny
IQ,9,9647604XXXXXX,mobile,Moutiny
IQ,9,9647601XXXXXX,mobile,Moutiny
IQ,9,9647602XXXXXX,mobile,Moutiny
IQ,10,9647731XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,9647732XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,9647730XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,9647735XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,11,9647736XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,9647733XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,9647734XXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,964771XXXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,964770XXXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,10,964772XXXXXXX,mobile,Asia Cell Telecommunications Company Ltd
IQ,11,964780XXXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,964782XXXXXXX,mobile,ZAIN (formerly Atheer)
IQ,11,964781XXXXXXX,mobile,ZAIN (formerly Atheer)
IQ,8,964750XXXXXXX,mobile,Korek Telecom Ltd
