Country,Page,Range,Type,Provider
IS,30,354869XXXX,mobile,Síminn hf
IS,30,354867XXXX,mobile,Síminn hf
IS,30,354868XXXX,mobile,Síminn hf
IS,30,354865XXXX,mobile,Síminn hf
IS,30,354866XXXX,mobile,Síminn hf
IS,30,354863XXXX,mobile,Síminn hf
IS,30,354864XXXX,mobile,Síminn hf
IS,30,354861XXXX,mobile,Síminn hf
IS,30,354862XXXX,mobile,Síminn hf
IS,29,354860XXXX,mobile,Síminn hf
IS,32,354898XXXX,mobile,Síminn hf
IS,32,354899XXXX,mobile,Síminn hf
IS,32,354896XXXX,mobile,Síminn hf
IS,32,354897XXXX,mobile,Síminn hf
IS,32,354894XXXX,mobile,Síminn hf
IS,32,354895XXXX,mobile,Síminn hf
IS,31,354892XXXX,mobile,Síminn hf
IS,32,354893XXXX,mobile,Síminn hf
IS,31,354890XXXX,mobile,Síminn hf
IS,31,354891XXXX,mobile,Síminn hf
IS,31,354888XXXX,mobile,Síminn hf
IS,31,354882XXXX,mobile,Síminn hf
IS,27,354838XXXX,mobile,Síminn hf
IS,27,354839XXXX,mobile,Síminn hf
IS,27,354836XXXX,mobile,Síminn hf
IS,27,354837XXXX,mobile,Síminn hf
IS,27,354834XXXX,mobile,Síminn hf
IS,27,354835XXXX,mobile,Síminn hf
IS,27,354832XXXX,mobile,Síminn hf
IS,27,354833XXXX,mobile,Síminn hf
IS,27,354830XXXX,mobile,Síminn hf
IS,27,354831XXXX,mobile,Síminn hf
IS,26,354825XXXX,mobile,Fjarskipti / Vodafone ehf
IS,26,354823XXXX,mobile,Fjarskipti / Vodafone ehf
IS,26,354824XXXX,mobile,Fjarskipti / Vodafone ehf
IS,26,354821XXXX,mobile,Fjarskipti / Vodafone ehf
IS,26,354822XXXX,mobile,Fjarskipti / Vodafone ehf
IS,26,354820XXXX,mobile,Fjarskipti / Vodafone ehf
IS,29,354858XXXX,mobile,Síminn hf
IS,29,354859XXXX,mobile,Síminn hf
IS,29,354856XXXX,mobile,Síminn hf
IS,29,354857XXXX,mobile,Síminn hf
IS,29,354854XXXX,mobile,Síminn hf
IS,29,354855XXXX,mobile,Síminn hf
IS,29,354852XXXX,mobile,Síminn hf
IS,29,354853XXXX,mobile,Síminn hf
IS,29,354851XXXX,mobile,Síminn hf
IS,28,354849XXXX,mobile,Síminn hf
IS,28,354847XXXX,mobile,Síminn hf
IS,28,354848XXXX,mobile,Síminn hf
IS,28,354845XXXX,mobile,Síminn hf
IS,28,354846XXXX,mobile,Síminn hf
IS,28,354843XXXX,mobile,Síminn hf
IS,28,354844XXXX,mobile,Síminn hf
IS,28,354841XXXX,mobile,Síminn hf
IS,28,354842XXXX,mobile,Síminn hf
IS,28,354840XXXX,mobile,Síminn hf
IS,23,354779XXXX,mobile,Nova ehf
IS,22,354777XXXX,mobile,Nova ehf
IS,23,354778XXXX,mobile,Nova ehf
IS,22,354775XXXX,mobile,Nova ehf
IS,22,354776XXXX,mobile,Nova ehf
IS,22,354773XXXX,mobile,Nova ehf
IS,22,354774XXXX,mobile,Nova ehf
IS,22,354771XXXX,mobile,Nova ehf
IS,22,354772XXXX,mobile,Nova ehf
IS,22,354770XXXX,mobile,Nova ehf
IS,22,354768XXXX,mobile,Nova ehf
IS,22,354769XXXX,mobile,Nova ehf
IS,21,354766XXXX,mobile,Nova ehf
IS,21,354767XXXX,mobile,Nova ehf
IS,21,354764XXXX,mobile,Nova ehf
IS,21,354765XXXX,mobile,Nova ehf
IS,21,354762XXXX,mobile,Nova ehf
IS,21,354763XXXX,mobile,Nova ehf
IS,21,354760XXXX,mobile,Nova ehf
IS,21,354761XXXX,mobile,Nova ehf
IS,24,354790XXXX,mobile,Nova ehf
IS,24,354793XXXX,mobile,Nova ehf
IS,24,354791XXXX,mobile,Nova ehf
IS,24,354792XXXX,mobile,Nova ehf
IS,24,354788XXXX,mobile,Nova ehf
IS,24,354789XXXX,mobile,Nova ehf
IS,23,354786XXXX,mobile,Nova ehf
IS,23,354787XXXX,mobile,Nova ehf
IS,23,354784XXXX,mobile,Nova ehf
IS,23,354785XXXX,mobile,Nova ehf
IS,23,354782XXXX,mobile,Nova ehf
IS,23,354783XXXX,mobile,Nova ehf
IS,23,354780XXXX,mobile,Nova ehf
IS,23,354781XXXX,mobile,Nova ehf
IS,17,354632XXXX,mobile,Tismi BV
IS,17,354630XXXX,mobile,IMC Islande ehf (Viking)
IS,16,354625XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354626XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354623XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354624XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354621XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354622XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354620XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354659XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354655XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354650XXXX,mobile,IMC Islande ehf (Viking)
IS,18,354651XXXX,mobile,IMC Islande ehf (Viking)
IS,18,354649XXXX,mobile,Fjarskipti / Vodafone ehf
IS,17,354647XXXX,mobile,IMC Islande ehf (Viking)
IS,17,354646XXXX,mobile,IMC Islande ehf (Viking)
IS,17,354644XXXX,mobile,Nova ehf
IS,16,354618XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354616XXXX,mobile,Fjarskipti / Vodafone ehf
IS,16,354617XXXX,mobile,Fjarskipti / Vodafone ehf
IS,15,354614XXXX,mobile,365 miðlar hf
IS,15,354615XXXX,mobile,Fjarskipti / Vodafone ehf
IS,15,354612XXXX,mobile,365 miðlar hf
IS,15,354613XXXX,mobile,365 miðlar hf
IS,15,354611XXXX,mobile,365 miðlar hf
IS,19,354670XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354669XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354665XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354666XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354663XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354664XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354661XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354662XXXX,mobile,Fjarskipti / Vodafone ehf
IS,18,354660XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354690XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354691XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354698XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354699XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354696XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354697XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354694XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354695XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354692XXXX,mobile,Fjarskipti / Vodafone ehf
IS,20,354693XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354680XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354687XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354688XXXX,mobile,Fjarskipti / Vodafone ehf
IS,19,354686XXXX,mobile,Fjarskipti / Vodafone ehf
