Country,Page,Range,Type,Provider
IT,5198,3933991711X,mobile,Telecom Italia S.p.A.
IT,5197,39335969XXX,mobile,Telecom Italia S.p.A.
IT,5194,3931104XXXXX,mobile,SMS Italia S.r.l
IT,5194,3931105XXXXX,mobile,Compatel Limited
IT,5194,3931102XXXXX,mobile,Ubiquity S.r.l
IT,5194,3931206XXXXX,mobile,Agile
IT,5201,393711XXXXX,mobile,PosteMobile S.p.A.
IT,5196,393352XXXXX,mobile,Telecom Italia S.p.A.
IT,5196,393353XXXXX,mobile,Telecom Italia S.p.A.
IT,5197,393354XXXXX,mobile,Telecom Italia S.p.A.
IT,5197,3933601XXXXXX,mobile,Telecom Italia S.p.A.
IT,5197,3933701XXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,393710XXXXXX,mobile,BT Italia
IT,5201,393711XXXXXX,mobile,PosteMobile S.p.A.
IT,5202,393755XXXXXX,mobile,Fastweb S.p.A.
IT,5195,3933001XXXXXX,mobile,Telecom Italia S.p.A.
IT,5195,39330XXXXXX,mobile,Telecom Italia S.p.A.
IT,5197,39336XXXXXX,mobile,Telecom Italia S.p.A.
IT,5197,39337XXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39368XXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39370XXXXXX,mobile,Telecom Italia S.p.A.
IT,5200,39360XXXXXX,mobile,Telecom Italia S.p.A.
IT,5200,393512XXXXXX,mobile,Lycamobile S.r.l.
IT,5200,393510XXXXXX,mobile,Lycamobile S.r.l.
IT,5200,393511XXXXXX,mobile,Lycamobile S.r.l.
IT,5200,393505XXXXXX,mobile,NÃ²verca Italia S.r.l.
IT,5199,393440XXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,393441XXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,393442XXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,393443XXXXXX,mobile,Vodafone Omnitel N.V.
IT,5197,3933555XXXXXX,mobile,Telecom Italia S.p.A.
IT,5195,39329XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5195,39328XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5194,39320XXXXXXX,mobile,Wind Telecomunicazioni S.p.A. 
IT,5195,39323XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5195,39322XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5195,39324XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5195,39327XXXXXXX,mobile,Wind Telecomunicazioni S.p.A. 
IT,5198,39339XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5195,39331XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5196,39334XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5195,39333XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5196,39335XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5198,39338XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5199,39341XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5198,39340XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5194,39310XXXXXXX,mobile,Elsacom
IT,5194,39313XXXXXXX,mobile,Rete Ferroviaria Italiana (RFI) S.p.A.
IT,5201,39366XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39368XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39370XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5202,39373XXXXXXX,mobile,H3G S.p.A.
IT,5202,39377XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5202,39381XXXXXXX,mobile,NÃ²verca Italia S.r.l.
IT,5202,39380XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5202,39383XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5202,39382XXXXXXX,mobile,Lycamobile S.r.l.
IT,5202,39385XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5199,39343XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,39342XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,39345XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,39347XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5199,39346XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5200,39349XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5200,39348XXXXXXX,mobile,Vodafone Omnitel N.V.
IT,5200,39355XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5200,39361XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5200,39360XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39363XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5201,39362XXXXXXX,mobile,Telecom Italia S.p.A.
IT,5202,39389XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5202,39388XXXXXXX,mobile,Wind Telecomunicazioni S.p.A.
IT,5203,39390XXXXXXX,mobile,H3G S.p.A.
IT,5203,39392XXXXXXX,mobile,H3G S.p.A.
IT,5203,39391XXXXXXX,mobile,H3G S.p.A.
IT,5203,39393XXXXXXX,mobile,H3G S.p.A.
IT,5203,39397XXXXXXX,mobile,H3G S.p.A.
