Country,Page,Range,Type,Provider
JE,5,+44153487XXXX,geographic,JT (Jersey) Limited
JE,5,+44153488XXXX,geographic,JT (Jersey) Limited
JE,5,+44701511XXXX,personal,JT (Jersey) Limited
JE,1,+441534XXXXXX,geographic,
JE,1,+44153400XXXX,geographic,JT (Jersey) Limited
JE,4,+44153474XXXX,geographic,JT (Jersey) Limited
JE,8,+44800735XXXX,freephone,JT (Jersey) Limited
JE,2,+44153450XXXX,geographic,JT (Jersey) Limited
JE,3,+44153463XXXX,geographic,JT (Jersey) Limited
JE,1,+44153410XXXX,geographic,Marathon Telecom Limited
JE,2,+44153451XXXX,geographic,JT (Jersey) Limited
JE,3,+44153464XXXX,geographic,JT (Jersey) Limited
JE,8,+44900665XXXX,premiumrate,JT (Jersey) Limited
JE,1,+44153428XXXX,geographic,JT (Jersey) Limited
JE,2,+44153452XXXX,geographic,Jersey Airtel  Limited
JE,4,+44153475XXXX,geographic,JT (Jersey) Limited
JE,3,+44153465XXXX,geographic,JT (Jersey) Limited
JE,2,+44153453XXXX,geographic,Jersey Airtel  Limited
JE,8,+44900666XXXX,premiumrate,JT (Jersey) Limited
JE,4,+44153476XXXX,geographic,JT (Jersey) Limited
JE,2,+44153455XXXX,geographic,JT (Jersey) Limited
JE,8,+44900669XXXX,premiumrate,JT (Jersey) Limited
JE,4,+44153478XXXX,geographic,JT (Jersey) Limited
JE,2,+44153456XXXX,geographic,Newtel Limited
JE,1,+44153429XXXX,geographic,JT (Jersey) Limited
JE,3,+44153466XXXX,geographic,Newtel Limited
JE,8,+44901810XXXX,premiumrate,JT (Jersey) Limited
JE,2,+44153457XXXX,geographic,JT (Jersey) Limited
JE,3,+44153467XXXX,geographic,JT (Jersey) Limited
JE,1,+44153440XXXX,geographic,Marathon Telecom Limited
JE,4,+44153481XXXX,geographic,JT (Jersey) Limited
JE,1,+44153443XXXX,geographic,Gamma Telecom Holdings Ltd
JE,8,+44905629XXXX,premiumrate,JT (Jersey) Limited
JE,3,+44153468XXXX,geographic,Sure (Jersey) Limited
JE,4,+44153482XXXX,geographic,JT (Jersey) Limited
JE,5,+4475090XXXXX,mobile,JT (Jersey) Limited
JE,9,+44907107XXXX,premiumrate,JT (Jersey) Limited
JE,5,+4475091XXXXX,mobile,JT (Jersey) Limited
JE,2,+44153460XXXX,geographic,JT (Jersey) Limited
JE,5,+4475092XXXXX,mobile,JT (Jersey) Limited
JE,5,+4475093XXXXX,mobile,JT (Jersey) Limited
JE,5,+4475094XXXXX,mobile,JT (Jersey) Limited
JE,5,+4475095XXXXX,mobile,JT (Jersey) Limited
JE,5,+4475096XXXXX,mobile,JT (Jersey) Limited
JE,1,+44153444XXXX,geographic,JT (Jersey) Limited
JE,6,+4475097XXXXX,mobile,JT (Jersey) Limited
JE,6,+4477003XXXXX,mobile,Sure (Jersey) Limited
JE,8,+44905807XXXX,premiumrate,JT (Jersey) Limited
JE,6,+4477003XXXXX,mobile,Sure (Jersey) Limited
JE,6,+4477007XXXXX,mobile,Sure (Jersey) Limited
JE,2,+44153461XXXX,geographic,JT (Jersey) Limited
JE,9,+44907155XXXX,premiumrate,JT (Jersey) Limited
JE,6,+4477007XXXXX,mobile,Sure (Jersey) Limited
JE,6,+4477008XXXXX,mobile,Sure (Jersey) Limited
JE,4,+44153483XXXX,geographic,JT (Jersey) Limited
JE,1,+44153448XXXX,geographic,JT (Jersey) Limited
JE,3,+44153470XXXX,geographic,JT (Jersey) Limited
JE,6,+4477008XXXXX,mobile,Sure (Jersey) Limited
JE,6,+4477977XXXXX,mobile,JT (Jersey) Limited
JE,6,+4477978XXXXX,mobile,JT (Jersey) Limited
JE,1,+44153449XXXX,geographic,JT (Jersey) Limited
JE,6,+4477979XXXXX,mobile,JT (Jersey) Limited
JE,2,+44153462XXXX,geographic,JT (Jersey) Limited
JE,7,+4478297XXXXX,mobile,Jersey Airtel  Limited
JE,7,+4478298XXXXX,mobile,Jersey Airtel  Limited
JE,7,+4478299XXXXX,mobile,Jersey Airtel  Limited
JE,4,+44153484XXXX,geographic,JT (Jersey) Limited
JE,7,+4479370XXXXX,mobile,JT (Jersey) Limited
JE,7,+4479371XXXXX,mobile,JT (Jersey) Limited
JE,7,+4479372XXXXX,mobile,JT (Jersey) Limited
JE,7,+4479373XXXXX,mobile,JT (Jersey) Limited
JE,3,+44153471XXXX,geographic,JT (Jersey) Limited
JE,7,+4479374XXXXX,mobile,JT (Jersey) Limited
JE,7,+4479375XXXXX,mobile,JT (Jersey) Limited
JE,7,+4479376XXXXX,mobile,JT (Jersey) Limited
JE,4,+44153485XXXX,geographic,JT (Jersey) Limited
JE,8,+4479377XXXXX,mobile,JT (Jersey) Limited
JE,8,+4479378XXXXX,mobile,JT (Jersey) Limited
JE,8,+4479379XXXXX,mobile,JT (Jersey) Limited
JE,4,+44153486XXXX,geographic,JT (Jersey) Limited
JE,3,+44153472XXXX,geographic,JT (Jersey) Limited
JE,3,+44153473XXXX,geographic,JT (Jersey) Limited
