Country,Page,Range,Type,Provider
JE,7,4479375XXXXX,mobile,JT (Jersey) Limited
JE,7,4479376XXXXX,mobile,JT (Jersey) Limited
JE,8,4479377XXXXX,mobile,JT (Jersey) Limited
JE,8,4479378XXXXX,mobile,JT (Jersey) Limited
JE,7,4479371XXXXX,mobile,JT (Jersey) Limited
JE,7,4479372XXXXX,mobile,JT (Jersey) Limited
JE,7,4479373XXXXX,mobile,JT (Jersey) Limited
JE,7,4479374XXXXX,mobile,JT (Jersey) Limited
JE,8,4479379XXXXX,mobile,JT (Jersey) Limited
JE,7,4479370XXXXX,mobile,JT (Jersey) Limited
JE,6,4477003XXXXX,mobile,Sure (Jersey) Limited
JE,6,4477008XXXXX,mobile,Sure (Jersey) Limited
JE,6,4477007XXXXX,mobile,Sure (Jersey) Limited
JE,7,4478299XXXXX,mobile,Jersey Airtel  Limited
JE,7,4478298XXXXX,mobile,Jersey Airtel  Limited
JE,7,4478297XXXXX,mobile,Jersey Airtel  Limited
JE,6,4477979XXXXX,mobile,JT (Jersey) Limited
JE,6,4477978XXXXX,mobile,JT (Jersey) Limited
JE,6,4477977XXXXX,mobile,JT (Jersey) Limited
JE,5,4475094XXXXX,mobile,JT (Jersey) Limited
JE,5,4475095XXXXX,mobile,JT (Jersey) Limited
JE,5,4475092XXXXX,mobile,JT (Jersey) Limited
JE,5,4475093XXXXX,mobile,JT (Jersey) Limited
JE,5,4475096XXXXX,mobile,JT (Jersey) Limited
JE,6,4475097XXXXX,mobile,JT (Jersey) Limited
JE,5,4475090XXXXX,mobile,JT (Jersey) Limited
JE,5,4475091XXXXX,mobile,JT (Jersey) Limited
