Country,Page,Range,Type,Provider
JM,117,1876880XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876873XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876872XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876871XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876870XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876877XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876875XXXX,mobile,Digicel (Jamaica) Ltd
JM,116,1876874XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876879XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876878XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876891XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876890XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876884XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876883XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876882XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876881XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876887XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876886XXXX,mobile,Digicel (Jamaica) Ltd
JM,117,1876885XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876889XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876895XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876894XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876893XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876892XXXX,mobile,Digicel (Jamaica) Ltd
JM,119,1876899XXXX,mobile,Digicel (Jamaica) Ltd
JM,119,1876898XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876897XXXX,mobile,Digicel (Jamaica) Ltd
JM,118,1876896XXXX,mobile,Digicel (Jamaica) Ltd
JM,112,1876833XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,112,1876832XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,112,1876831XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,112,1876830XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,113,1876837XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,113,1876836XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,112,1876835XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,112,1876834XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,113,1876839XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,113,1876838XXXX,mobile,Cable & Wireless Jamaica Ltd
JM,113,1876840XXXX,mobile,Digicel (Jamaica) Ltd
JM,113,1876844XXXX,mobile,Digicel (Jamaica) Ltd
JM,113,1876843XXXX,mobile,Digicel (Jamaica) Ltd
JM,113,1876842XXXX,mobile,Digicel (Jamaica) Ltd
JM,113,1876841XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876848XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876847XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876846XXXX,mobile,Digicel (Jamaica) Ltd
JM,113,1876845XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876849XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876851XXXX,mobile,Digicel (Jamaica) Ltd
JM,114,1876850XXXX,mobile,Digicel (Jamaica) Ltd
