Country,Page,Range,Type,Provider
JP,103,+8175XXXXXXX,geographic,
JP,103,+8175XXXXXXX,geographic,
JP,103,+8175XXXXXXX,geographic,
JP,105,+81761XXXXXX,geographic,
JP,100,+81744XXXXXX,geographic,
JP,103,+8175XXXXXXX,geographic,
JP,108,+81770XXXXXX,geographic,
JP,100,+81744XXXXXX,geographic,
JP,105,+81763XXXXXX,geographic,
JP,101,+81745XXXXXX,geographic,
JP,107,+81768XXXXXX,geographic,
JP,102,+81748XXXXXX,geographic,
JP,103,+8175XXXXXXX,geographic,
JP,108,+81770XXXXXX,geographic,
JP,102,+81748XXXXXX,geographic,
JP,107,+81768XXXXXX,geographic,
JP,101,+81745XXXXXX,geographic,
JP,105,+81763XXXXXX,geographic,
JP,110,+81774XXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,100,+81744XXXXXX,geographic,
JP,103,+8175XXXXXXX,geographic,
JP,109,+81772XXXXXX,geographic,
JP,102,+81749XXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,110,+81774XXXXXX,geographic,
JP,105,+81763XXXXXX,geographic,
JP,108,+81770XXXXXX,geographic,
JP,101,+81746XXXXXX,geographic,
JP,102,+81749XXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,103,+8176XXXXXXX,geographic,
JP,100,+81745XXXXXX,geographic,
JP,109,+81772XXXXXX,geographic,
JP,107,+81768XXXXXX,geographic,
JP,108,+81770XXXXXX,geographic,
JP,110,+81774XXXXXX,geographic,
JP,104,+8176XXXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,113,+81790XXXXXX,geographic,
JP,100,+81745XXXXXX,geographic,
JP,101,+817468XXXXX,geographic,
JP,111,+81778XXXXXX,geographic,
JP,102,+81749XXXXXX,geographic,
JP,109,+81772XXXXXX,geographic,
JP,113,+81791XXXXXX,geographic,
JP,103,+8176XXXXXXX,geographic,
JP,101,+81747XXXXXX,geographic,
JP,107,+8177XXXXXXX,geographic,
JP,100,+81745XXXXXX,geographic,
JP,104,+8176XXXXXXX,geographic,
JP,105,+81763XXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,111,+81778XXXXXX,geographic,
JP,110,+81774XXXXXX,geographic,
JP,102,+81749XXXXXX,geographic,
JP,116,+81801XXXXXXX,mobile,NTT DoCoMo#comma Inc
JP,101,+81747XXXXXX,geographic,
JP,107,+8177XXXXXXX,geographic,
JP,111,+81778XXXXXX,geographic,
JP,103,+8176XXXXXXX,geographic,
JP,10,+811547XXXXX,geographic,
JP,108,+81770XXXXXX,geographic,
JP,113,+81791XXXXXX,geographic,
JP,104,+8176XXXXXXX,geographic,
JP,116,+81802XXXXXXX,mobile,NTT DoCoMo#comma Inc
JP,102,+81749XXXXXX,geographic,
JP,100,+81745XXXXXX,geographic,
JP,106,+81766XXXXXX,geographic,
JP,101,+81748XXXXXX,geographic,
JP,109,+81773XXXXXX,geographic,
JP,116,+818080XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,114,+81794XXXXXX,geographic,
JP,105,+81765XXXXXX,geographic,
JP,107,+8177XXXXXXX,geographic,
JP,10,+81155XXXXXX,geographic,
JP,113,+81791XXXXXX,geographic,
JP,103,+8176XXXXXXX,geographic,
JP,102,+81749XXXXXX,geographic,
JP,116,+818081XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,108,+81771XXXXXX,geographic,
JP,106,+81767XXXXXX,geographic,
JP,104,+8176XXXXXXX,geographic,
JP,119,+81820XXXXXX,geographic,
