Country,Page,Range,Type,Provider
JP,148,8190881XXXXX,mobile,NTT DoCoMo#comma Inc
JP,148,8190882XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,148,8190880XXXXX,mobile,NTT DoCoMo#comma Inc
JP,148,8190883XXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,148,8190884XXXXX,mobile,NTT DoCoMo#comma Inc
JP,148,8190892XXXXX,mobile,NTT DoCoMo Tohoku#comma Inc
JP,148,8190893XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,148,8190890XXXXX,mobile,NTT DoCoMo Hokkaido#comma Inc
JP,148,8190891XXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,149,8190898XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,149,8190899XXXXX,mobile,NTT DoCoMo Chugoku#comma Inc
JP,149,8190896XXXXX,mobile,NTT DoCoMo Hokuriku#comma Inc
JP,149,8190897XXXXX,mobile,NTT DoCoMo Shikoku#comma Inc
JP,149,8190894XXXXX,mobile,NTT DoCoMo#comma Inc
JP,149,8190895XXXXX,mobile,NTT DoCoMo Tokai#comma Inc
JP,144,8190406XXXXX,mobile,NTT DoCoMo#comma Inc
JP,144,8190403XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,144,8190404XXXXX,mobile,NTT DoCoMo#comma Inc
JP,144,8190401XXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,144,8190402XXXXX,mobile,NTT DoCoMo#comma Inc
JP,145,8190409XXXXX,mobile,NTT DoCoMo#comma Inc
JP,144,8190408XXXXX,mobile,NTT DoCoMo#comma Inc
JP,145,8190449XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,145,8190447XXXXX,mobile,NTT DoCoMo#comma Inc
JP,145,8190448XXXXX,mobile,NTT DoCoMo Tokai#comma Inc
JP,145,8190445XXXXX,mobile,KDDI
JP,145,8190443XXXXX,mobile,KDDI
JP,145,8190444XXXXX,mobile,KDDI
JP,146,8190450XXXXX,mobile,KDDI
JP,146,8190459XXXXX,mobile,KDDI
JP,146,8190469XXXXX,mobile,KDDI
JP,146,8190468XXXXX,mobile,KDDI
JP,146,8190474XXXXX,mobile,KDDI
JP,146,8190475XXXXX,mobile,KDDI
JP,146,8190472XXXXX,mobile,KDDI
JP,146,8190473XXXXX,mobile,KDDI
JP,146,8190470XXXXX,mobile,KDDI
JP,146,8190471XXXXX,mobile,KDDI
JP,147,8190478XXXXX,mobile,KDDI
JP,147,8190479XXXXX,mobile,KDDI
JP,147,8190476XXXXX,mobile,KDDI
JP,147,8190477XXXXX,mobile,KDDI
JP,142,8190306XXXXX,mobile,NTT DoCoMo#comma Inc
JP,142,8190304XXXXX,mobile,NTT DoCoMo#comma Inc
JP,142,8190302XXXXX,mobile,NTT DoCoMo#comma Inc
JP,142,8190303XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,142,8190301XXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,142,8190308XXXXX,mobile,NTT DoCoMo#comma Inc
JP,142,8190309XXXXX,mobile,NTT DoCoMo#comma Inc
JP,143,8190343XXXXX,mobile,KDDI
JP,143,8190348XXXXX,mobile,NTT DoCoMo Tokai#comma Inc
JP,143,8190349XXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,143,8190347XXXXX,mobile,NTT DoCoMo#comma Inc
JP,143,8190344XXXXX,mobile,KDDI
JP,143,8190345XXXXX,mobile,KDDI
JP,143,8190350XXXXX,mobile,KDDI
JP,143,8190359XXXXX,mobile,KDDI
JP,144,8190368XXXXX,mobile,KDDI
JP,144,8190369XXXXX,mobile,KDDI
JP,142,819031XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,143,819032XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,143,819033XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,144,819037XXXXXX,mobile,KDDI
JP,145,819041XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,145,819042XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,145,819043XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,147,819080XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,147,819081XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,147,819082XXXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,147,819083XXXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,148,819084XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,150,819096XXXXXX,mobile,NTT DoCoMo Hokuriku#comma Inc
JP,150,819097XXXXXX,mobile,NTT DoCoMo Shikoku#comma Inc
JP,150,819098XXXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,150,819099XXXXXX,mobile,NTT DoCoMo Chugoku#comma Inc
JP,149,819090XXXXXX,mobile,NTT DoCoMo Hokkaido#comma Inc
JP,149,819091XXXXXX,mobile,NTT DoCoMo Kyushu#comma Inc
JP,149,819092XXXXXX,mobile,NTT DoCoMo Tohoku#comma Inc
JP,149,819093XXXXXX,mobile,NTT DoCoMo Kansai#comma Inc
JP,150,819094XXXXXX,mobile,NTT DoCoMo#comma Inc
JP,150,819095XXXXXX,mobile,NTT DoCoMo Tokai#comma Inc
JP,116,8180XXXXXXXX,mobile,NTT DoCoMo#comma Inc
