Country,Page,Range,Type,Provider
KE,53,254751XXXXXX,mobile,Econet Wireless Kenya Ltd
KE,53,254750XXXXXX,mobile,Econet Wireless Kenya Ltd
KE,53,254752XXXXXX,mobile,Econet Wireless Kenya Ltd
KE,53,254760XXXXXX,mobile,Mobile Pay
KE,53,254764XXXXXX,mobile,Finserve
KE,53,254763XXXXXX,mobile,Finserve
KE,53,254766XXXXXX,mobile,Finserve
KE,53,254765XXXXXX,mobile,Finserve
KE,53,254767XXXXXX,mobile,Sema Mobile
KE,54,254770XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254773XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254772XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254777XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254776XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254779XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254778XXXXXX,mobile,Telkom Kenya Ltd (Orange)
KE,54,254791XXXXXX,mobile,Safaricom Ltd
KE,54,254790XXXXXX,mobile,Safaricom Ltd
KE,55,254793XXXXXX,mobile,Safaricom Ltd
KE,54,254792XXXXXX,mobile,Safaricom Ltd
KE,55,254795XXXXXX,mobile,Safaricom Ltd
KE,55,254794XXXXXX,mobile,Safaricom Ltd
KE,55,254797XXXXXX,mobile,Safaricom Ltd
KE,55,254796XXXXXX,mobile,Safaricom Ltd
KE,55,254799XXXXXX,mobile,Safaricom Ltd
KE,55,254798XXXXXX,mobile,Safaricom Ltd
KE,49,254711XXXXXX,mobile,Safaricom Ltd
KE,49,254710XXXXXX,mobile,Safaricom Ltd
KE,50,254713XXXXXX,mobile,Safaricom Ltd
KE,50,254712XXXXXX,mobile,Safaricom Ltd
KE,50,254715XXXXXX,mobile,Safaricom Ltd
KE,50,254714XXXXXX,mobile,Safaricom Ltd
KE,50,254720XXXXXX,mobile,Safaricom Ltd
KE,50,254722XXXXXX,mobile,Safaricom Ltd
KE,50,254721XXXXXX,mobile,Safaricom Ltd
KE,50,254724XXXXXX,mobile,Safaricom Ltd
KE,50,254723XXXXXX,mobile,Safaricom Ltd
KE,51,254726XXXXXX,mobile,Safaricom Ltd
KE,50,254725XXXXXX,mobile,Safaricom Ltd
KE,51,254728XXXXXX,mobile,Safaricom Ltd
KE,51,254727XXXXXX,mobile,Safaricom Ltd
KE,51,254729XXXXXX,mobile,Safaricom Ltd
KE,51,254733XXXXXX,mobile,Celtel Kenya Ltd
KE,51,254732XXXXXX,mobile,Celtel Kenya Ltd
KE,51,254735XXXXXX,mobile,Celtel Kenya Ltd
KE,51,254734XXXXXX,mobile,Celtel Kenya Ltd
KE,51,254737XXXXXX,mobile,Celtel Kenya Ltd
KE,51,254736XXXXXX,mobile,Celtel Kenya Ltd
KE,52,254738XXXXXX,mobile,Celtel Kenya Ltd
KE,52,254740XXXXXX,mobile,Safaricom Ltd
KE,52,254742XXXXXX,mobile,Safaricom Ltd
KE,52,254741XXXXXX,mobile,Safaricom Ltd
KE,52,254744XXXXXX,mobile,Homeland Media Group
KE,52,254743XXXXXX,mobile,Safaricom Ltd
KE,52,254746XXXXXX,mobile,Safaricom Ltd
KE,52,254748XXXXXX,mobile,Safaricom Ltd
KE,52,254747XXXXXX,mobile,Jamii Telecom Ltd for Kenya
KE,52,254749XXXXXX,mobile,WiAfrica Kenya Ltd
