Country,Page,Range,Type,Provider
KG,10,+9963535XXXXX,geographic,
KG,15,+9963941XXXXX,geographic,
KG,10,+9963536XXXXX,geographic,
KG,10,+9963537XXXXX,geographic,
KG,11,+9963565XXXXX,wirelessgeographic,KyrgyzTelecom
KG,12,+9963663XXXXX,wirelessgeographic,KyrgyzTelecom
KG,11,+9963622XXXXX,geographic,
KG,15,+9963942XXXXX,geographic,
KG,16,+9963962XXXXX,wirelessgeographic,KyrgyzTelecom
KG,10,+9963559XXXXX,geographic,
KG,12,+9963722XXXXX,geographic,
KG,13,+9963746XXXXX,geographic,
KG,11,+9963653XXXXX,geographic,
KG,15,+9963943XXXXX,geographic,
KG,10,+996356XXXXXX,wirelessgeographic,
KG,11,+9963655XXXXX,geographic,
KG,13,+9963747XXXXX,geographic,
KG,12,+9963734XXXXX,geographic,
KG,10,+99635602XXXX,wirelessgeographic,KyrgyzTelecom
KG,11,+9963656XXXXX,geographic,
KG,16,+9963963XXXXX,wirelessgeographic,KyrgyzTelecom
KG,13,+9963748XXXXX,geographic,
KG,19,+996623XXXXXX,geographic,Asiainfo
KG,10,+9963561XXXXX,wirelessgeographic,KyrgyzTelecom
KG,12,+9963736XXXXX,geographic,
KG,17,+9965227XXXXX,satellite,Ay Sat Systems
KG,14,+9963765XXXXX,wirelessgeographic,KyrgyzTelecom
KG,11,+9963657XXXXX,geographic,
KG,16,+9963964XXXXX,wirelessgeographic,KyrgyzTelecom
KG,13,+9963759XXXXX,geographic,
KG,12,+9963738XXXXX,geographic,
KG,15,+9963944XXXXX,geographic,
KG,10,+9963562XXXXX,wirelessgeographic,KyrgyzTelecom
KG,14,+9963766XXXXX,wirelessgeographic,KyrgyzTelecom
KG,19,+996624XXXXXX,geographic,KiterraCom
KG,11,+996366XXXXXX,wirelessgeographic,
KG,16,+9963965XXXXX,wirelessgeographic,KyrgyzTelecom
KG,17,+9965228XXXXX,satellite,Ay Sat Systems
KG,13,+996376XXXXXX,wirelessgeographic,
KG,14,+9963767XXXXX,wirelessgeographic,KyrgyzTelecom
KG,1,996,proper,
KG,15,+9963945XXXXX,geographic,
KG,6,+9963152XXXXX,wirelessgeographic,KyrgyzTelecom
KG,13,+99637602XXXX,wirelessgeographic,KyrgyzTelecom
KG,15,+9963946XXXXX,geographic,
KG,14,+9963768XXXXX,wirelessgeographic,KyrgyzTelecom
KG,1,+996200XXXXXX,mobile,AkTel (Fonex)
