Country,Page,Range,Type,Provider
KH,26,8555337XXXX,mobile,Mfone Co Ltd (NMT450)
KH,25,8555234XXXX,mobile,Mfone Co Ltd (NMT450)
KH,27,8555434XXXX,mobile,Mfone Co Ltd (NMT450)
KH,27,8555534XXXX,mobile,Mfone Co Ltd (NMT450)
KH,32,8557234XXXX,mobile,Mfone Co Ltd (NMT450)
KH,33,8557334XXXX,mobile,Mfone Co Ltd (NMT450)
KH,28,8556234XXXX,mobile,Mfone Co Ltd (NMT450)
KH,30,8556434XXXX,mobile,Mfone Co Ltd (NMT450)
KH,29,8556338XXXX,mobile,Mfone Co Ltd (NMT450)
KH,31,8556534XXXX,mobile,Mfone Co Ltd (NMT450)
KH,34,8557434XXXX,mobile,Mfone Co Ltd (NMT450)
KH,34,8557534XXXX,mobile,Mfone Co Ltd (NMT450)
KH,17,8552634XXXX,mobile,Mfone Co Ltd (NMT450)
KH,15,8552336XXXX,mobile,Mfone Co Ltd (NMT450)
KH,15,8552434XXXX,mobile,Mfone Co Ltd (NMT450)
KH,16,8552534XXXX,mobile,Mfone Co Ltd (NMT450)
KH,18,8553234XXXX,mobile,Mfone Co Ltd (NMT450)
KH,19,8553334XXXX,mobile,Mfone Co Ltd (NMT450)
KH,19,8553432XXXX,mobile,Mfone Co Ltd (NMT450)
KH,20,8553534XXXX,mobile,Mfone Co Ltd (NMT450)
KH,21,8553634XXXX,mobile,Mfone Co Ltd (NMT450)
KH,24,8554434XXXX,mobile,Mfone Co Ltd (NMT450)
KH,22,8554234XXXX,mobile,Mfone Co Ltd (NMT450)
KH,23,8554334XXXX,mobile,Mfone Co Ltd (NMT450)
KH,36,855918XXXXX,mobile,TCOM (Trunk Radio)
KH,36,85589XXXXXX,mobile,Mobitel
KH,36,85585XXXXXX,mobile,Mfone Co Ltd
KH,36,85583XXXXXX,mobile,Cad Com
KH,36,85584XXXXXX,mobile,Cad Com / TrueMove
KH,35,85581XXXXXX,mobile,Hello Axiata Co Ltd
KH,35,85580XXXXXX,mobile,Cad Com
KH,42,85598XXXXXX,mobile,Applifone Co Ltd (StarCell)
KH,42,85599XXXXXX,mobile,Mfone Co Ltd (CDMA)
KH,42,85597XXXXXX,mobile,Viettel Cambodia Pte Ltd (Metfone)
KH,39,85594XXXXXX,mobile,Maritime Radio
KH,39,85595XXXXXX,mobile,Mobitel
KH,36,85592XXXXXX,mobile,Mobitel
KH,39,85593XXXXXX,mobile,Latelz Co Ltd (Smart)
KH,36,85590XXXXXX,mobile,Sotelco Ltd (Beeline)
KH,31,85567XXXXXX,mobile,Sotelco Ltd (Beeline)
KH,31,85568XXXXXX,mobile,Sotelco Ltd (Beeline)
KH,31,85566XXXXXX,mobile,Sotelco Ltd (Beeline)
KH,28,85560XXXXXX,mobile,Sotelco Ltd (Beeline)
KH,32,85569XXXXXX,mobile,Latelz Co Ltd (Smart)
KH,35,85578XXXXXX,mobile,Mobitel
KH,35,85579XXXXXX,mobile,Mobitel
KH,35,85577XXXXXX,mobile,Mobitel
KH,32,85570XXXXXX,mobile,Latelz Co Ltd (Smart)
KH,3,85512XXXXXX,mobile,Mobitel
KH,6,85513XXXXXX,mobile,Cad Com
KH,1,85510XXXXXX,mobile,Latelz Co Ltd (Smart)
KH,1,85511XXXXXX,mobile,Mfone Co Ltd
KH,11,85518XXXXXX,mobile,Camtel (AMPS)
KH,9,85516XXXXXX,mobile,Hello Axiata Co Ltd
KH,11,85517XXXXXX,mobile,Mobitel
KH,6,85515XXXXXX,mobile,Hello Axiata Co Ltd (NMT)
