Country,Page,Range,Type,Provider
KI,8,68675229XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,8,68675300XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,1,686,proper,
KI,8,68675381XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,1,6863000XXXX,audiotext,Epcatem Telecom
KI,8,68675400XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,1,6863001XXXX,audiotext,Phonegroup S.A.
KI,2,686301218XX,audiotext,Concerotel
KI,1,686301211XX,audiotext,Concerotel
KI,8,686780XXXXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,2,686301219XX,audiotext,Concerotel
KI,1,686301212XX,audiotext,Concerotel
KI,2,686301220XX,audiotext,Concerotel
KI,3,68665022XXX,geographic,Ocean Link Ltd
KI,1,686301213XX,audiotext,Concerotel
KI,2,6865XXXX,wirelessgeographic,Ocean Link Ltd
KI,3,68665125XXX,geographic,Ocean Link Ltd
KI,5,68673100XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,1,686301214XX,audiotext,Concerotel
KI,2,6866300XXXX,mobile,Ocean Link Ltd
KI,2,6866301XXXX,mobile,Ocean Link Ltd
KI,3,68665126XXX,geographic,Ocean Link Ltd
KI,2,6866XXXX,mobile,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,1,686301215XX,audiotext,Concerotel
KI,3,686720XXXXX,mobile,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,2,68662000XXX,geographic,Ocean Link Ltd
KI,4,686721XXXXX,mobile,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,4,686722XXXXX,mobile,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,7,68675021XXX,geographic,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,4,686723XXXXX,mobile,Amalgamating Telecommunication Holdings Kiribati Ltd (ARHKL)
KI,3,68665228XXX,geographic,Ocean Link Ltd
