Country,Page,Range,Type,Provider
KM,1,269,proper,
KM,7,269774XXXX,geographic,Comores Télécom
KM,7,269775XXXX,geographic,Comores Télécom
KM,9,2697788XXX,geographic,Comores Télécom
KM,4,269767XXXX,wirelessgeographic,Comores Télécom
KM,10,2697798XXX,geographic,Comores Télécom
KM,7,269777XXXX,geographic,Comores Télécom
KM,9,2697789XXX,geographic,Comores Télécom
KM,4,2697672XXX,wirelessgeographic,Comores Télécom
KM,3,26976XXXXX,wirelessgeographic,Comores Télécom
KM,5,2697705XXX,geographic,Comores Télécom
KM,2,2693909XXX,premiumrate,WIAIR SARL
KM,9,269779XXXX,geographic,Comores Télécom
KM,10,2697799XXX,geographic,Comores Télécom
KM,5,2697709XXX,geographic,Comores Télécom
KM,3,26976XXXXX,geographic,Comores Télécom
KM,7,2697770XXX,geographic,Comores Télécom
KM,4,269768XXXX,wirelessgeographic,Comores Télécom
KM,5,269771XXXX,geographic,Comores Télécom
KM,11,269910XXXX,premiumrate,
KM,7,2697771XXX,geographic,Comores Télécom
KM,2,269391XXXX,premiumrate,
KM,10,2698XXXXXX,premiumrate,
KM,6,2697720XXX,geographic,Comores Télécom
KM,9,2697790XXX,geographic,Comores Télécom
KM,4,2697681XXX,wirelessgeographic,Comores Télécom
KM,5,2697710XXX,geographic,Comores Télécom
KM,3,269760XXXX,wirelessgeographic,Comores Télécom
KM,6,2697721XXX,geographic,Comores Télécom
KM,11,2699105XXX,premiumrate,WIAIR SARL
KM,4,269769XXXX,wirelessgeographic,Comores Télécom
KM,7,2697773XXX,geographic,Comores Télécom
KM,10,269800XXXXXXX,freephone,Toll-free Global269
KM,2,2693910XXX,premiumrate,WIAIR SARL
KM,6,2697722XXX,geographic,Comores Télécom
KM,9,2697791XXX,geographic,Comores Télécom
KM,2,2693911XXX,premiumrate,WIAIR SARL
KM,4,2697692XXX,wirelessgeographic,Comores Télécom
KM,10,269900XXXX,premiumrate,
KM,11,2699106XXX,premiumrate,WIAIR SARL
KM,1,269390XXXX,premiumrate,
KM,7,2697774XXX,geographic,Comores Télécom
KM,5,2697711XXX,geographic,Comores Télécom
KM,3,2697609XXX,wirelessgeographic,Comores Télécom
KM,6,2697723XXX,geographic,Comores Télécom
KM,1,26932XXXXX,mobile,Comores Télécom (HURI)
KM,1,2693905XXX,premiumrate,WIAIR SARL
KM,11,2699107XXX,premiumrate,WIAIR SARL
KM,1,26933XXXXX,mobile,Comores Télécom (HURI)
KM,10,2699000XXX,premiumrate,WIAIR SARL
KM,8,2697778XXX,geographic,Comores Télécom
KM,1,26934XXXXX,mobile,Comores Télécom (HURI)
KM,2,2693912XXX,premiumrate,WIAIR SARL
KM,3,269761XXXX,wirelessgeographic,Comores Télécom
KM,9,2697793XXX,geographic,Comores Télécom
KM,11,2699108XXX,premiumrate,WIAIR SARL
KM,1,2693XXXXXX,mobile,Comores Télécom (HURI)
KM,7,2697775XXX,geographic,Comores Télécom
KM,2,2693913XXX,premiumrate,WIAIR SARL
KM,3,2697611XXX,wirelessgeographic,Comores Télécom
KM,1,2693906XXX,premiumrate,WIAIR SARL
KM,2,2694XXXXXX,mobile,TELCO
KM,9,2697794XXX,geographic,Comores Télécom
KM,8,2697779XXX,geographic,Comores Télécom
KM,2,2693914XXX,premiumrate,WIAIR SARL
KM,10,2699001XXX,premiumrate,WIAIR SARL
KM,3,269762XXXX,wirelessgeographic,Comores Télécom
KM,8,269778XXXX,geographic,Comores Télécom
KM,7,2697776XXX,geographic,Comores Télécom
KM,9,2697795XXX,geographic,Comores Télécom
KM,4,26977XXXXX,geographic,Comores Télécom
KM,1,2693907XXX,premiumrate,WIAIR SARL
KM,6,2697725XXX,geographic,Comores Télécom
KM,5,2697712XXX,geographic,Comores Télécom
KM,3,2697624XXX,wirelessgeographic,Comores Télécom
KM,7,2697777XXX,geographic,Comores Télécom
KM,11,2699109XXX,premiumrate,WIAIR SARL
KM,1,2693908XXX,premiumrate,WIAIR SARL
KM,10,2699002XXX,premiumrate,WIAIR SARL
KM,5,2697713XXX,geographic,Comores Télécom
KM,8,2697780XXX,geographic,Comores Télécom
KM,9,2697796XXX,geographic,Comores Télécom
KM,4,26977XXXXX,geographic,Comores Télécom
KM,6,2697726XXX,geographic,Comores Télécom
KM,3,269763XXXX,wirelessgeographic,Comores Télécom
KM,8,2697782XXX,geographic,Comores Télécom
KM,3,269763XXXX,geographic,Comores Télécom
KM,9,2697797XXX,geographic,Comores Télécom
KM,10,2699003XXX,premiumrate,WIAIR SARL
KM,5,2697716XXX,geographic,Comores Télécom
KM,4,269770XXXX,geographic,Comores Télécom
KM,8,2697783XXX,geographic,Comores Télécom
KM,6,2697727XXX,geographic,Comores Télécom
KM,2,26974XXXXX,geographic,TELCO
KM,5,2697718XXX,geographic,Comores Télécom
KM,10,2699004XXX,premiumrate,WIAIR SARL
KM,6,2697728XXX,geographic,Comores Télécom
KM,4,2697704XXX,geographic,Comores Télécom
KM,2,26975XXXXX,geographic,TELCO
KM,8,2697784XXX,geographic,Comores Télécom
KM,6,2697729XXX,geographic,Comores Télécom
KM,5,269772XXXX,geographic,Comores Télécom
KM,8,2697785XXX,geographic,Comores Télécom
KM,6,269773XXXX,geographic,Comores Télécom
KM,8,2697786XXX,geographic,Comores Télécom
KM,8,2697787XXX,geographic,Comores Télécom
