Country,Page,Range,Type,Provider
KN,1,1,proper,
KN,1,+1869XXXXXXX,geographic,
KN,2,+1869556XXXX,mobile,UTS CariGlobe
KN,2,+1869557XXXX,mobile,UTS CariGlobe
KN,2,+1869558XXXX,mobile,UTS CariGlobe
KN,2,+1869565XXXX,mobile,Cable & Wireless
KN,2,+1869566XXXX,mobile,Cable & Wireless
KN,2,+1869567XXXX,mobile,Cable & Wireless
KN,2,+1869662XXXX,mobile,Cable & Wireless
KN,2,+1869663XXXX,mobile,Cable & Wireless
KN,2,+1869664XXXX,mobile,Cable & Wireless
KN,2,+1869665XXXX,mobile,Cable & Wireless
KN,1,+1869229XXXX,geographic,Cable & Wireless
KN,3,+1869667XXXX,mobile,Cable & Wireless
KN,3,+1869668XXXX,mobile,Cable & Wireless
KN,3,+1869669XXXX,mobile,Cable & Wireless
KN,3,+1869762XXXX,mobile,Wireless Ventures Kitts-Nevis Ltd (Digicel)
KN,3,+1869763XXXX,mobile,Wireless Ventures Kitts-Nevis Ltd (Digicel)
KN,3,+1869764XXXX,mobile,Wireless Ventures Kitts-Nevis Ltd (Digicel)
KN,3,+1869765XXXX,mobile,Wireless Ventures Kitts-Nevis Ltd (Digicel)
KN,1,+1869236XXXX,geographic,Cable & Wireless
KN,1,+1869465XXXX,geographic,Cable & Wireless
KN,1,+1869466XXXX,geographic,Cable & Wireless
KN,1,+1869467XXXX,geographic,Cable & Wireless
KN,1,+1869468XXXX,geographic,Cable & Wireless
KN,1,+1869469XXXX,geographic,Cable & Wireless
KN,1,+1869470XXXX,geographic,Cable & Wireless
