Country,Page,Range,Type,Provider
KP,1,850,proper,
KP,3,85057XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,3,85061XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,3,85067XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,3,85073XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85031XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,1,8502XXXXX(XXXX),geographic,
KP,3,85079XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85039XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,1,850191XXXXXXX,mobile,CHEO Technical Joint Venture Company (Koryolink)
KP,1,850192XXXXXXX,mobile,CHEO Technical Joint Venture Company (Koryolink)
KP,1,850193XXXXXXX,mobile,SunNet
KP,1,850218XXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,1,8502381XXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85041XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,3,8508529XXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85045XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,1,8502771XXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85049XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,1,8502772XXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
KP,2,85053XXXXXX,geographic,Korea Post and Telecommunications Corporation (KPTC)
