Country,Page,Range,Type,Provider
KR,5,821071XXXXXX,mobile,SK Telecom Co Ltd
KR,5,821072XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,4,821064XXXXXX,mobile,SK Telecom Co Ltd
KR,4,821065XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,4,821062XXXXXX,mobile,SK Telecom Co Ltd
KR,4,821063XXXXXX,mobile,SK Telecom Co Ltd
KR,5,821068XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,4,821066XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,5,821067XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,6,821082XXXXXX,mobile,LG Uplus Corporation
KR,6,821083XXXXXX,mobile,LG Uplus Corporation
KR,6,821080XXXXXX,mobile,LG Uplus Corporation
KR,6,821081XXXXXX,mobile,LG Uplus Corporation
KR,5,821075XXXXXX,mobile,LG Uplus Corporation
KR,5,821076XXXXXX,mobile,LG Uplus Corporation
KR,5,821073XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,5,821074XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,5,821079XXXXXX,mobile,LG Uplus Corporation
KR,5,821077XXXXXX,mobile,LG Uplus Corporation
KR,7,821090XXXXXX,mobile,SK Telecom Co Ltd
KR,7,821093XXXXXX,mobile,SK Telecom Co Ltd
KR,7,821094XXXXXX,mobile,SK Telecom Co Ltd
KR,7,821091XXXXXX,mobile,SK Telecom Co Ltd
KR,7,821092XXXXXX,mobile,SK Telecom Co Ltd
KR,6,821086XXXXXX,mobile,SK Telecom Co Ltd
KR,6,821087XXXXXX,mobile,SK Telecom Co Ltd
KR,6,821084XXXXXX,mobile,LG Uplus Corporation
KR,6,821085XXXXXX,mobile,SK Telecom Co Ltd
KR,6,821088XXXXXX,mobile,SK Telecom Co Ltd
KR,6,821089XXXXXX,mobile,SK Telecom Co Ltd
KR,7,821097XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,7,821098XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,7,821095XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,7,821096XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,7,821099XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,1,821020XXXXXX,mobile,SK Telecom Co Ltd
KR,1,821021XXXXXX,mobile,LG Uplus Corporation
KR,1,821024XXXXXX,mobile,LG Uplus Corporation
KR,1,821025XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,1,821022XXXXXX,mobile,LG Uplus Corporation
KR,1,821023XXXXXX,mobile,LG Uplus Corporation
KR,2,821028XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821029XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821026XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821027XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821032XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821035XXXXXX,mobile,SK Telecom Co Ltd
KR,2,821036XXXXXX,mobile,SK Telecom Co Ltd
KR,2,821033XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821034XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,2,821037XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821038XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821042XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,3,821043XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,3,821046XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821047XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821044XXXXXX,mobile,KT (Korea Telecom) Corporation
KR,3,821045XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821048XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821053XXXXXX,mobile,SK Telecom Co Ltd
KR,4,821054XXXXXX,mobile,SK Telecom Co Ltd
KR,3,821052XXXXXX,mobile,SK Telecom Co Ltd
KR,4,821057XXXXXX,mobile,LG Uplus Corporation
KR,4,821058XXXXXX,mobile,LG Uplus Corporation
KR,4,821055XXXXXX,mobile,LG Uplus Corporation
KR,4,821056XXXXXX,mobile,LG Uplus Corporation
KR,1,82101XXXXXX,mobile,Data Communications Corporation of Korea (DACOM)
KR,8,8211XXXXXXX,mobile,SK Telecom Co Ltd
KR,10,8216XXXXXXXX,mobile,KT (Korea Telecom) Corporation
KR,10,8217XXXXXXXX,mobile,SK Telecom Co Ltd
KR,10,8218XXXXXXXX,mobile,KT (Korea Telecom) Corporation
KR,10,8219XXXXXXXX,mobile,LG Uplus Corporation
KR,8,8211XXXXXXXX,mobile,SK Telecom Co Ltd
