Country,Page,Range,Type,Provider
KW,54,9659110XXXX,mobile,Zain / Mobile Telecommunication Company (MTC)
KW,54,9659111XXXX,mobile,Zain / Mobile Telecommunication Company (MTC)
KW,55,9659702XXXX,mobile,Zain / Mobile Telecommunication Company (MTC)
KW,50,9656222XXXX,mobile,Ooredoo Kuwait
KW,53,9656709XXXX,mobile,Ooredoo Kuwait
KW,53,9656708XXXX,mobile,Ooredoo Kuwait
KW,53,9656707XXXX,mobile,Ooredoo Kuwait
KW,53,9656706XXXX,mobile,Ooredoo Kuwait
KW,52,9656705XXXX,mobile,Ooredoo Kuwait
KW,52,9656704XXXX,mobile,Ooredoo Kuwait
KW,52,9656703XXXX,mobile,Ooredoo Kuwait
KW,52,9656701XXXX,mobile,Ooredoo Kuwait
KW,52,9656700XXXX,mobile,Ooredoo Kuwait
KW,48,9655222XXXX,mobile,VIVA
KW,48,9655255XXXX,mobile,VIVA
KW,53,965690XXXXX,mobile,Ooredoo Kuwait
KW,53,965696XXXXX,mobile,Ooredoo Kuwait
KW,53,965699XXXXX,mobile,Ooredoo Kuwait
KW,50,965650XXXXX,mobile,Ooredoo Kuwait
KW,50,965651XXXXX,mobile,Ooredoo Kuwait
KW,51,965656XXXXX,mobile,Ooredoo Kuwait
KW,51,965657XXXXX,mobile,Ooredoo Kuwait
KW,50,965655XXXXX,mobile,Ooredoo Kuwait
KW,51,965658XXXXX,mobile,Ooredoo Kuwait
KW,51,965659XXXXX,mobile,Ooredoo Kuwait
KW,51,965660XXXXX,mobile,Ooredoo Kuwait
KW,51,965663XXXXX,mobile,Ooredoo Kuwait
KW,51,965664XXXXX,mobile,Ooredoo Kuwait
KW,51,965661XXXXX,mobile,Ooredoo Kuwait
KW,51,965662XXXXX,mobile,Ooredoo Kuwait
KW,52,965667XXXXX,mobile,Ooredoo Kuwait
KW,52,965668XXXXX,mobile,Ooredoo Kuwait
KW,52,965665XXXXX,mobile,Ooredoo Kuwait
KW,52,965666XXXXX,mobile,Ooredoo Kuwait
KW,52,965669XXXXX,mobile,Ooredoo Kuwait
KW,53,965676XXXXX,mobile,Ooredoo Kuwait
KW,53,965677XXXXX,mobile,Ooredoo Kuwait
KW,50,965600XXXXX,mobile,Ooredoo Kuwait
KW,50,965606XXXXX,mobile,Ooredoo Kuwait
KW,50,965603XXXXX,mobile,Ooredoo Kuwait
KW,50,965604XXXXX,mobile,Ooredoo Kuwait
KW,50,965609XXXXX,mobile,Ooredoo Kuwait
KW,50,965607XXXXX,mobile,Ooredoo Kuwait
KW,47,965502XXXXX,mobile,VIVA
KW,47,965500XXXXX,mobile,VIVA
KW,47,965501XXXXX,mobile,VIVA
