Country,Page,Range,Type,Provider
KY,7,1345936XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME)
KY,7,1345938XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA)
KY,7,1345939XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME)
KY,6,1345922XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (prepaid)
KY,6,1345923XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (prepaid)
KY,6,1345924XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME)
KY,6,1345925XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME)
KY,6,1345926XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA)
KY,6,1345927XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA) (prepaid)
KY,6,1345928XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA) (prepaid)
KY,6,1345929XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (prepaid)
KY,5,1345916XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA)
KY,6,1345917XXXX,mobile,Cable & Wireless Cayman Islands Ltd (LIME) (TDMA)
KY,1,1345321XXXX,mobile,Digicel Cayman Ltd
KY,1,1345322XXXX,mobile,Digicel Cayman Ltd
KY,1,1345323XXXX,mobile,Digicel Cayman Ltd
KY,1,1345324XXXX,mobile,Digicel Cayman Ltd
KY,2,1345325XXXX,mobile,Digicel Cayman Ltd
KY,2,1345326XXXX,mobile,Digicel Cayman Ltd
KY,2,1345327XXXX,mobile,Digicel Cayman Ltd (prepaid)
KY,2,1345328XXXX,mobile,Digicel Cayman Ltd
KY,2,1345329XXXX,mobile,Digicel Cayman Ltd
KY,3,1345546XXXX,mobile,Digicel Cayman Ltd
KY,3,1345547XXXX,mobile,Digicel Cayman Ltd
KY,3,1345548XXXX,mobile,Digicel Cayman Ltd
KY,3,1345549XXXX,mobile,Digicel Cayman Ltd
KY,2,1345525XXXX,mobile,Digicel Cayman Ltd
KY,2,1345526XXXX,mobile,Digicel Cayman Ltd
KY,3,1345527XXXX,mobile,Digicel Cayman Ltd
KY,2,1345516XXXX,mobile,Digicel Cayman Ltd
KY,2,1345517XXXX,mobile,Digicel Cayman Ltd
