Country,Page,Range,Type,Provider
KZ,14,+771630XXXXX,geographic,Kazakhtelecom
KZ,14,+771631XXXXX,geographic,Kazakhtelecom
KZ,12,+771531XXXXX,geographic,Kazakhtelecom
KZ,11,+771453XXXXX,geographic,Kazakhtelecom
KZ,14,+771632XXXXX,geographic,Kazakhtelecom
KZ,12,+771532XXXXX,geographic,Kazakhtelecom
KZ,11,+771454XXXXX,geographic,Kazakhtelecom
KZ,10,+771439XXXXX,geographic,Kazakhtelecom
KZ,13,+771543XXXXX,geographic,Kazakhtelecom
KZ,16,+771651XXXXX,geographic,Kazakhtelecom
KZ,12,+771533XXXXX,geographic,Kazakhtelecom
KZ,14,+771633XXXXX,geographic,Kazakhtelecom
KZ,13,+771544XXXXX,geographic,Kazakhtelecom
KZ,15,+771640XXXXX,geographic,Kazakhtelecom
KZ,11,+771455XXXXX,geographic,Kazakhtelecom
KZ,10,+771440XXXXX,geographic,Kazakhtelecom
KZ,12,+771534XXXXX,geographic,Kazakhtelecom
KZ,16,+771659XXXXX,satellite,Kazakhtelecom
KZ,14,+771634XXXXX,geographic,Kazakhtelecom
KZ,17,+771833XXXXX,geographic,Kazakhtelecom
KZ,16,+7717XXXXXXX,geographic,
KZ,15,+771641XXXXX,geographic,Kazakhtelecom
KZ,10,+771441XXXXX,geographic,Kazakhtelecom
KZ,12,+771535XXXXX,geographic,Kazakhtelecom
KZ,13,+771545XXXXX,satellite,Kazakhtelecom
KZ,14,+771635XXXXX,geographic,Kazakhtelecom
KZ,16,+77172XXXXXX,geographic,Kazakhtelecom
KZ,17,+771834XXXXX,geographic,Kazakhtelecom
KZ,21,+772251XXXXX,geographic,Kazakhtelecom
KZ,11,+771456XXXXX,geographic,Kazakhtelecom
KZ,15,+771642XXXXX,geographic,Kazakhtelecom
KZ,14,+771636XXXXX,geographic,Kazakhtelecom
KZ,13,+771546XXXXX,geographic,Kazakhtelecom
KZ,15,+771643XXXXX,geographic,Kazakhtelecom
KZ,21,+772252XXXXX,geographic,Kazakhtelecom
KZ,10,+771442XXXXX,geographic,Kazakhtelecom
KZ,12,+771536XXXXX,geographic,Kazakhtelecom
KZ,18,+771843XXXXX,satellite,Kazakhtelecom
KZ,11,+771457XXXXX,satellite,Kazakhtelecom
KZ,17,+771835XXXXX,geographic,Kazakhtelecom
KZ,20,+772159XXXXX,satellite,Kazakhtelecom
KZ,19,+772138XXXXX,geographic,Kazakhtelecom
KZ,14,+771637XXXXX,geographic,Kazakhtelecom
KZ,23,+772341XXXXX,geographic,Kazakhtelecom
KZ,10,+771443XXXXX,geographic,Kazakhtelecom
KZ,15,+771644XXXXX,geographic,Kazakhtelecom
KZ,21,+772256XXXXX,geographic,Kazakhtelecom
KZ,18,+771844XXXXX,satellite,Kazakhtelecom
KZ,1,7,proper,
KZ,22,+772333XXXXX,geographic,Kazakhtelecom
KZ,13,+771547XXXXX,satellite,Kazakhtelecom
KZ,11,+771459XXXXX,satellite,Kazakhtelecom
KZ,12,+771537XXXXX,geographic,Kazakhtelecom
KZ,17,+771836XXXXX,geographic,Kazakhtelecom
KZ,23,+772342XXXXX,geographic,Kazakhtelecom
KZ,12,+771538XXXXX,geographic,Kazakhtelecom
KZ,22,+772334XXXXX,geographic,Kazakhtelecom
KZ,10,+771444XXXXX,geographic,Kazakhtelecom
KZ,15,+771645XXXXX,geographic,Kazakhtelecom
KZ,22,+772335XXXXX,geographic,Kazakhtelecom
KZ,21,+772257XXXXX,geographic,Kazakhtelecom
KZ,28,+772631XXXXX,geographic,Kazakhtelecom
KZ,17,+771837XXXXX,geographic,Kazakhtelecom
KZ,12,+771541XXXXX,geographic,Kazakhtelecom
KZ,23,+772343XXXXX,geographic,Kazakhtelecom
KZ,10,+771445XXXXX,geographic,Kazakhtelecom
KZ,19,+7721394XXXX,geographic,Kazakhtelecom
KZ,14,+771638XXXXX,geographic,Kazakhtelecom
KZ,21,+772259XXXXX,satellite,Kazakhtelecom
KZ,13,+771559XXXXX,satellite,Kazakhtelecom
KZ,1,+7700XXXXXXX,mobile,Altel (CDMA)
KZ,16,+7718XXXXXXX,geographic,
KZ,22,+772336XXXXX,geographic,Kazakhtelecom
KZ,28,+772632XXXXX,geographic,Kazakhtelecom
KZ,1,+7701XXXXXXX,mobile,K-Cell
KZ,10,+771448XXXXX,geographic,Kazakhtelecom
KZ,15,+771646XXXXX,geographic,Kazakhtelecom
KZ,19,+772144XXXXX,geographic,Kazakhtelecom
KZ,17,+771838XXXXX,geographic,Kazakhtelecom
KZ,21,+7723XXXXXXX,geographic,
KZ,12,+771542XXXXX,geographic,Kazakhtelecom
KZ,1,+7702XXXXXXX,mobile,K-Cell
KZ,30,+772740XXXXX,satellite,Kazakhtelecom
KZ,1,+7705XXXXXXX,mobile,Beeline (K-mobile)
KZ,23,+772344XXXXX,geographic,Kazakhtelecom
KZ,20,+7722XXXXXXX,geographic,
