Country,Page,Range,Type,Provider
KZ,31,772790XXXXX,mobile,Altel
KZ,1,7708XXXXXXX,mobile,Altel (CDMA)
KZ,1,7707XXXXXXX,mobile,Tele2
KZ,1,7705XXXXXXX,mobile,Beeline (K-mobile)
KZ,1,7702XXXXXXX,mobile,K-Cell
KZ,1,7701XXXXXXX,mobile,K-Cell
KZ,1,7700XXXXXXX,mobile,Altel (CDMA)
KZ,35,7771XXXXXXX,mobile,Beeline (K-mobile)
KZ,36,7778XXXXXXX,mobile,K-Cell
KZ,35,7777XXXXXXX,mobile,Beeline (K-mobile)
KZ,35,7776XXXXXXX,mobile,Beeline (K-mobile)
KZ,35,7775XXXXXXX,mobile,K-Cell
KZ,35,7762XXXXXXX,mobile,Nusat
KZ,34,7760XXXXXXX,mobile,Kazakhtelekom
KZ,35,7764XXXXXXX,mobile,2Day Telecom
KZ,35,7763XXXXXXX,mobile,Arna
KZ,34,7747XXXXXXX,mobile,Tele2
