Country,Page,Range,Type,Provider
LA,101,856,proper,
LA,101,85620XXXXXXXX,mobile,
LA,100,856,proper,
LA,102,856,proper,
LA,102,85620XXXXXXXX,mobile,
LA,103,856,proper,
LA,100,85620XXXXXXXX,mobile,
LA,114,856,proper,
LA,103,85620XXXXXXXX,mobile,
LA,1,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,114,85620XXXXXXXX,mobile,
LA,107,856,proper,
LA,1,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,1,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,1,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,1,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,1,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,104,856,proper,
LA,105,856,proper,
LA,106,856,proper,
LA,1,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,112,856,proper,
LA,106,85620XXXXXXXX,mobile,
LA,107,85620XXXXXXXX,mobile,
LA,108,856,proper,
LA,111,856,proper,
LA,10,856,proper,
LA,105,85620XXXXXXXX,mobile,
LA,1,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,2,856205551XXXX,mobile,Lao Telecom (ETC)
LA,109,856,proper,
LA,2,856205552XXXX,mobile,Lao Telecom (ETC)
LA,104,85620XXXXXXXX,mobile,
LA,2,856205553XXXX,mobile,Lao Telecom (ETC)
LA,108,85620XXXXXXXX,mobile,
LA,112,85620XXXXXXXX,mobile,
LA,117,856,proper,
LA,2,856205554XXXX,mobile,Lao Telecom (ETC)
LA,2,856205555XXXX,mobile,Lao Telecom (ETC)
LA,2,856205557XXXX,mobile,Lao Telecom (ETC)
LA,111,85620XXXXXXXX,mobile,
LA,10,85620XXXXXXXX,mobile,
LA,2,856205558XXXX,mobile,Lao Telecom (ETC)
LA,2,85620556XXXXX,mobile,Lao Telecom (ETC)
LA,2,8562056XXXXXX,mobile,Lao Telecom (ETC)
LA,109,85620XXXXXXXX,mobile,
LA,117,85620XXXXXXXX,mobile,
LA,2,8562077XXXXXX,mobile,Tango (MLL)
LA,3,85620776XXXXX,mobile,Tango (MLL)
LA,113,856,proper,
LA,3,85620777XXXXX,mobile,Tango (MLL)
LA,3,85620778XXXXX,mobile,Tango (MLL)
LA,3,8562098XXXXXX,mobile,Star Telecom Company Ltd (STL)
LA,3,85620999XXXXX,mobile,Star Telecom Company Ltd (STL)
LA,3,8562099XXXXXX,mobile,Star Telecom Company Ltd (STL)
LA,8,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,8,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,8,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,8,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,8,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,8,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,8,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,8,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,123,856,proper,
LA,9,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,9,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,9,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,9,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,122,856,proper,
LA,9,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,9,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,113,85620XXXXXXXX,mobile,
LA,9,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,9,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,10,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,10,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,10,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,10,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,115,856,proper,
LA,10,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,118,856,proper,
LA,10,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,115,85620XXXXXXXX,mobile,
LA,10,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,123,85620XXXXXXXX,mobile,
LA,122,85620XXXXXXXX,mobile,
LA,10,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,11,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,118,85620XXXXXXXX,mobile,
LA,11,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,110,856,proper,
LA,11,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,116,856,proper,
LA,11,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,11,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,11,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,11,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,119,856,proper,
LA,11,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,12,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,12,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,12,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,12,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,119,85620XXXXXXXX,mobile,
LA,12,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,12,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,116,85620XXXXXXXX,mobile,
LA,121,856,proper,
LA,12,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,12,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,13,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,110,85620XXXXXXXX,mobile,
LA,13,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,13,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,13,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,13,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,13,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,13,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,13,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,14,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,14,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,14,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,14,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,14,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,124,856,proper,
LA,14,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,121,85620XXXXXXXX,mobile,
LA,14,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,14,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,15,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,15,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,15,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,15,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,15,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,15,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,15,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,15,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,16,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,16,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,16,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,127,856,proper,
LA,16,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,16,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,16,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,16,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,127,85620XXXXXXXX,mobile,
LA,16,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,120,856,proper,
LA,17,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,17,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,125,856,proper,
LA,17,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,17,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,17,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,17,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,17,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,126,856,proper,
LA,12,856,proper,
LA,17,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,18,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,18,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,18,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,18,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,18,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,18,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,120,85620XXXXXXXX,mobile,
LA,18,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,18,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,130,856,proper,
LA,19,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,19,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,19,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,19,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,19,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,12,85620XXXXXXXX,mobile,
LA,19,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,124,85620XXXXXXXX,mobile,
LA,19,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,19,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,130,85620XXXXXXXX,mobile,
LA,20,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,20,85620223XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,20,8562022XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,13,856,proper,
LA,20,8562023XXXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
LA,20,8562054XXXXXX,mobile,Lao Telecom (ETC)
LA,19,856,proper,
LA,20,85620554XXXXX,mobile,Lao Telecom (ETC)
LA,20,85620555XXXXX,mobile,Lao Telecom (ETC)
LA,20,8562055XXXXXX,mobile,Lao Telecom (ETC)
LA,21,85620222XXXXX,mobile,Enterprise of Telecommunications Lao (ETL)
