Country,Page,Range,Type,Provider
LB,16,961810XXXXX,mobile,MTC Touch
LB,16,961811XXXXX,mobile,Alfa
LB,16,961812XXXXX,mobile,Alfa
LB,16,961813XXXXX,mobile,Alfa
LB,16,961814XXXXX,mobile,Alfa
LB,16,961815XXXXX,mobile,Alfa
LB,16,961816XXXXX,mobile,MTC Touch
LB,16,961817XXXXX,mobile,MTC Touch
LB,16,961818XXXXX,mobile,MTC Touch
LB,17,961819XXXXX,mobile,MTC Touch
LB,14,961788XXXXX,mobile,MTC Touch
LB,14,961789XXXXX,mobile,MTC Touch
LB,14,961791XXXXX,mobile,Alfa
LB,14,961793XXXXX,mobile,Alfa
LB,3,96136XXXXX,mobile,MTC Touch
LB,3,96137XXXXX,mobile,MTC Touch
LB,3,96138XXXXX,mobile,MTC Touch
LB,3,96139XXXXX,mobile,MTC Touch
LB,2,96132XXXXX,mobile,Alfa
LB,2,96133XXXXX,mobile,Alfa
LB,3,96134XXXXX,mobile,Alfa
LB,3,96135XXXXX,mobile,Alfa
LB,2,96130XXXXX,mobile,MTC Touch
LB,2,96131XXXXX,mobile,Alfa
LB,11,961700XXXXX,mobile,MTC Touch
LB,11,961701XXXXX,mobile,Alfa
LB,11,961702XXXXX,mobile,Alfa
LB,11,961703XXXXX,mobile,Alfa
LB,12,961705XXXXX,mobile,Alfa
LB,12,961706XXXXX,mobile,MTC Touch
LB,12,961707XXXXX,mobile,MTC Touch
LB,12,961708XXXXX,mobile,MTC Touch
LB,12,961709XXXXX,mobile,MTC Touch
LB,12,961710XXXXX,mobile,Alfa
LB,12,961711XXXXX,mobile,MTC Touch
LB,12,961712XXXXX,mobile,MTC Touch
LB,12,961713XXXXX,mobile,MTC Touch
LB,12,961714XXXXX,mobile,MTC Touch
LB,13,961715XXXXX,mobile,MTC Touch
LB,13,961760XXXXX,mobile,MTC Touch
LB,13,961761XXXXX,mobile,Alfa
LB,13,961763XXXXX,mobile,Alfa
LB,13,961764XXXXX,mobile,Alfa
LB,13,961765XXXXX,mobile,Alfa
LB,13,961766XXXXX,mobile,MTC Touch
LB,13,961767XXXXX,mobile,MTC Touch
LB,13,961768XXXXX,mobile,Alfa
LB,14,961769XXXXX,mobile,Alfa
