Country,Page,Range,Type,Provider
LI,10,423756XXXX,mobile,Orange (Liechtenstein) AG
LI,6,4236510XXXXX,mobile,Cubic Aktiengesellschaft
LI,6,4236511XXXXX,mobile,Cubic Aktiengesellschaft
LI,6,4236512XXXXX,mobile,Cubic Aktiengesellschaft
LI,6,4236513XXXXX,mobile,Cubic Aktiengesellschaft
LI,7,4236514XXXXX,mobile,Cubic Aktiengesellschaft
LI,7,4236515XXXXX,mobile,Cubic Aktiengesellschaft
LI,7,4236610XXXXX,mobile,White Label Mobile AG
LI,8,4236628XXXXX,mobile,Datamobile AG
LI,8,4236629XXXXX,mobile,Datamobile AG
LI,8,4236620XXXXX,mobile,First Mobile AG
LI,8,4236626XXXXX,mobile,Datamobile AG
LI,8,4236627XXXXX,mobile,Datamobile AG
LI,7,4236600XXXXX,mobile,mobilkom liechtenstein AG
LI,7,4236601XXXXX,mobile,mobilkom liechtenstein AG
LI,7,4236602XXXXX,mobile,mobilkom liechtenstein AG
LI,7,4236603XXXXX,mobile,mobilkom liechtenstein AG
LI,7,4236604XXXXX,mobile,mobilkom liechtenstein AG
LI,11,42379XXXXX,mobile,mobilkom liechtenstein AG
LI,11,42377XXXXX,mobile,Swisscom (Schweiz) AG
LI,11,42378XXXXX,mobile,Orange (Liechtenstein) AG
