Country,Page,Range,Type,Provider
LK,12,94242XXXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,11,94234XXXXXX,wirelessgeographic,Suntel Ltd
LK,10,94215XXXXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,11,94234598XXX,wirelessgeographic,Suntel Ltd
LK,13,9424995XXXX,payphone,Lanka Bell (Pvt) Ltd
LK,1,94,proper,
LK,10,9421585XXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,11,94235XXXXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,1,9411XXXXXXX,geographic,
LK,11,9423583XXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,10,94217XXXXXX,wirelessgeographic,Dialog Broadband (Pvt) Ltd (CDMA)
LK,1,94112XXXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,18,9431994XXXX,payphone,Suntel Ltd
LK,16,942722XXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,19,943299XXXXX,payphone,
LK,13,9425XXXXXXX,geographic,
LK,18,9431995XXXX,payphone,Lanka Bell (Pvt) Ltd
LK,1,941123XXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,20,94335XXXXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,15,94264597XXX,wirelessgeographic,Suntel Ltd
LK,16,94274XXXXXX,wirelessgeographic,Suntel Ltd
LK,11,94237XXXXXX,wirelessgeographic,Dialog Broadband (Pvt) Ltd (CDMA)
LK,17,9431XXXXXXX,geographic,
LK,19,9432992XXXX,payphone,Sri Lanka Telecom Ltd (SLTL)
LK,13,94252XXXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,12,942422XXXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
LK,10,942199XXXXX,payphone,
LK,25,94365XXXXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,14,942599XXXXX,payphone,
LK,16,94274599XXX,wirelessgeographic,Suntel Ltd
LK,20,9433522XXXX,wirelessgeographic,Lanka Bell (Pvt) Ltd
LK,22,9434226XXXX,geographic,Sri Lanka Telecom Ltd (SLTL)
