Country,Page,Range,Type,Provider
LR,1,231555XXXXXX,mobile,Comium Liberia Inc (NOVAFONE)
LR,1,231,proper,
LR,1,231770XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,1,231330XXXXXX,wirelessgeographic,West Africa Telecoms Incorporated (WAT)
LR,1,231775XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,1,2313323XXXXX,premiumrate,K-Tel Enterprise
LR,1,231776XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,1,23177XXXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,1,2313324XXXXX,premiumrate,K-Tel Enterprise
LR,2,231777XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,2,231778XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,1,23133333XXXX,geographic,K3-Telecoms Liberia Inc
LR,2,231779XXXXXX,mobile,Cellcom Telecommunications Inc (Orange)
LR,2,231880XXXXXX,mobile,Lonestar Cell MTN
LR,2,231881XXXXXX,mobile,Lonestar Cell MTN
LR,2,2318840XXXXX,mobile,Lonestar Cell MTN
LR,2,2318841XXXXX,mobile,Lonestar Cell MTN
LR,2,2318864XXXXX,mobile,Lonestar Cell MTN
LR,2,231886XXXXXX,mobile,Lonestar Cell MTN
LR,2,23188XXXXXXX,mobile,Lonestar Cell MTN
LR,3,2318865XXXXX,mobile,Lonestar Cell MTN
LR,3,2318866XXXXX,mobile,Lonestar Cell MTN
LR,3,2318867XXXXX,mobile,Lonestar Cell MTN
LR,3,2318868XXXXX,mobile,Lonestar Cell MTN
LR,3,2318869XXXXX,mobile,Lonestar Cell MTN
LR,3,231888XXXXXX,mobile,Lonestar Cell MTN
LR,3,2319946XXXXX,mobile,Atlantic Wireless Liberia Inc (Libercell)
LR,3,2319947XXXXX,mobile,Atlantic Wireless Liberia Inc (Libercell)
