Country,Page,Range,Type,Provider
LT,110,370387355XX,geographic,AB Lietuvos telekomas
LT,110,370387356XX,geographic,AB Lietuvos telekomas
LT,103,3703862081X,geographic,AB Lietuvos radijo ir televizijos centras
LT,110,370387357XX,geographic,AB Lietuvos telekomas
LT,103,3703862082X,geographic,AB Lietuvos radijo ir televizijos centras
LT,106,370386399XX,geographic,AB Lietuvos telekomas
LT,105,37038637XXX,geographic,AB Lietuvos telekomas
LT,102,370386XXXXX,geographic,
LT,105,370386390XX,geographic,AB Lietuvos telekomas
LT,110,370387358XX,geographic,AB Lietuvos telekomas
LT,111,37038746XXX,geographic,AB Lietuvos telekomas
LT,109,370387204XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,105,370386391XX,geographic,AB Lietuvos telekomas
LT,102,370386200XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,106,37038641XXX,geographic,AB Lietuvos telekomas
LT,110,370387359XX,geographic,AB Lietuvos telekomas
LT,105,370386392XX,geographic,AB Lietuvos telekomas
LT,109,370387205XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,106,37038642XXX,geographic,AB Lietuvos telekomas
LT,102,370386201XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,111,37038747XXX,geographic,AB Lietuvos telekomas
LT,108,37038671XXX,geographic,AB Lietuvos telekomas
LT,109,37038731XXX,geographic,AB Lietuvos telekomas
LT,105,370386393XX,geographic,AB Lietuvos telekomas
LT,11,37031857XXX,geographic,AB Lietuvos telekomas
LT,104,37038625XXX,geographic,AB Lietuvos telekomas
LT,103,3703862083X,geographic,AB Lietuvos radijo ir televizijos centras
LT,106,37038643XXX,geographic,AB Lietuvos telekomas
LT,109,37038732XXX,geographic,AB Lietuvos telekomas
LT,101,37038547XXX,geographic,AB Lietuvos telekomas
LT,110,37038741XXX,geographic,AB Lietuvos telekomas
LT,102,370386202XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,111,37038748XXX,geographic,AB Lietuvos telekomas
LT,109,37038733XXX,geographic,AB Lietuvos telekomas
LT,11,37031858XXX,geographic,AB Lietuvos telekomas
LT,108,37038672XXX,geographic,AB Lietuvos telekomas
LT,103,3703862084X,geographic,AB Lietuvos radijo ir televizijos centras
LT,102,370386203XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,105,370386394XX,geographic,AB Lietuvos telekomas
LT,108,37038673XXX,geographic,AB Lietuvos telekomas
LT,110,37038742XXX,geographic,AB Lietuvos telekomas
LT,106,37038645XXX,geographic,AB Lietuvos telekomas
LT,11,37031859XXX,geographic,AB Lietuvos telekomas
LT,113,3703892001X,geographic,AB Lietuvos radijo ir televizijos centras
LT,121,370413866XX,geographic,AB Lietuvos telekomas
LT,100,370385369XX,geographic,AB Lietuvos telekomas
LT,102,370386204XX,geographic,AB Lietuvos geleÅ¾inkeliai
LT,105,370386395XX,geographic,AB Lietuvos telekomas
LT,107,37038651XXX,geographic,AB Lietuvos telekomas
LT,110,37038743XXX,geographic,AB Lietuvos telekomas
LT,111,37038749XXX,geographic,AB Lietuvos telekomas
LT,109,370387350XX,geographic,AB Lietuvos telekomas
LT,100,37038537XXX,geographic,AB Lietuvos telekomas
LT,11,370318660XX,geographic,AB Lietuvos telekomas
LT,104,37038628XXX,geographic,AB Lietuvos telekomas
LT,103,3703862085X,geographic,AB Lietuvos radijo ir televizijos centras
LT,121,370413867XX,geographic,AB Lietuvos telekomas
LT,108,37038674XXX,geographic,AB Lietuvos telekomas
LT,105,370386396XX,geographic,AB Lietuvos telekomas
LT,107,37038652XXX,geographic,AB Lietuvos telekomas
LT,118,3704121100X,geographic,AB Lietuvos radijo ir televizijos centras
LT,109,370387351XX,geographic,AB Lietuvos telekomas
LT,101,37038551XXX,geographic,AB Lietuvos telekomas
LT,115,3703894XXXX,geographic,AB Lietuvos telekomas
LT,113,3703892002X,geographic,AB Lietuvos radijo ir televizijos centras
LT,110,37038744XXX,geographic,AB Lietuvos telekomas
LT,103,3703862086X,geographic,AB Lietuvos radijo ir televizijos centras
LT,117,370412100XX,geographic,UAB Eurocom
LT,104,37038629XXX,geographic,AB Lietuvos telekomas
LT,121,370413868XX,geographic,AB Lietuvos telekomas
LT,110,37038745XXX,geographic,AB Lietuvos telekomas
LT,106,37038646XXX,geographic,AB Lietuvos telekomas
LT,100,37038538XXX,geographic,AB Lietuvos telekomas
LT,122,370413886XX,geographic,AB Lietuvos telekomas
LT,105,370386397XX,geographic,AB Lietuvos telekomas
LT,111,37038750XXX,geographic,AB Lietuvos telekomas
LT,107,37038653XXX,geographic,AB Lietuvos telekomas
LT,108,37038675XXX,geographic,AB Lietuvos telekomas
LT,104,37038630XXX,geographic,AB Lietuvos telekomas
LT,11,370318661XX,geographic,AB Lietuvos telekomas
LT,123,370413906XX,geographic,AB Lietuvos telekomas
LT,117,370412101XX,geographic,UAB Eurocom
LT,105,370386398XX,geographic,AB Lietuvos telekomas
LT,112,37038760XXX,geographic,AB Lietuvos telekomas
LT,100,37038539XXX,geographic,AB Lietuvos telekomas
LT,113,3703892003X,geographic,AB Lietuvos radijo ir televizijos centras
