Country,Page,Range,Type,Provider
LU,10,+3522350(XXXX),geographic,EPT
LU,10,+3522351(XXXX),geographic,EPT
LU,19,+352264X(XXXXXXX),geographic,EPT
LU,19,+352265X(XXXXXXX),geographic,EPT
LU,19,+352266X(XXXXXXX),geographic,EPT
LU,10,+3522352(XXXX),geographic,EPT
LU,13,+3522381(XXXX),geographic,EPT
LU,19,+352267X(XXXXXXX),geographic,EPT
LU,12,+3522371(XXXX),geographic,EPT
LU,10,+3522353(XXXX),geographic,EPT
LU,13,+3522383(XXXX),geographic,EPT
LU,15,+3522452(XXXXXXX),geographic,EPT
LU,10,+3522354(XXXX),geographic,EPT
LU,19,+352268X(XXXXXXX),geographic,EPT
LU,16,+3522462XXXX,geographic,EPT
LU,12,+3522372(XXXX),geographic,EPT
LU,10,+3522355(XXXX),geographic,EPT
LU,19,+352269X(XXXXXXX),geographic,EPT
LU,15,+3522453(XXXXXXX),geographic,EPT
LU,13,+3522384(XXXX),geographic,EPT
LU,16,+3522463(XXXXXXX),geographic,EPT
LU,12,+3522373(XXXX),geographic,EPT
LU,18,+3522486(XXXXXXX),geographic,EPT
LU,15,+3522454XXXX,geographic,EPT
LU,22,+3522727(XXXXXX),geographic,Telenet Solutions S.A.
LU,13,+3522385(XXXX),geographic,EPT
LU,19,+35227XX(XXXXXX),geographic,
LU,10,+3522356(XXXX),geographic,EPT
LU,12,+3522374(XXXX),geographic,EPT
LU,15,+3522455(XXXXXXX),geographic,EPT
LU,10,+3522357(XXXX),geographic,EPT
LU,19,+3522700(XXXXXX),geographic,Verizon Belgium Luxembourg S.A.
LU,22,+3522728(XXXXXX),geographic,Coditel S.à r.l.
LU,15,+3522456(XXXXXXX),geographic,EPT
LU,12,+3522375(XXXX),geographic,EPT
LU,20,+3522703(XXXXXX),geographic,EPT
LU,16,+3522464(XXXXXXX),geographic,EPT
LU,22,+3522729(XXXXXX),geographic,Coditel S.à r.l.
LU,10,+3522358(XXXX),geographic,EPT
LU,13,+3522386(XXXX),geographic,EPT
LU,22,+3522730(XXXXXX),geographic,Orange Business Luxembourg S.A.
LU,12,+3522376(XXXX),geographic,EPT
LU,20,+3522704(XXXXXX),geographic,EPT
LU,10,+3522359(XXXX),geographic,EPT
LU,14,+3522393(XXXX),geographic,EPT
LU,16,+3522464(XXXXXXX),geographic,EPT
LU,19,+3522701(XXXXXX),geographic,Verizon Belgium Luxembourg S.A.
LU,17,+3522476(XXXXXXX),geographic,EPT
LU,11,+3522360(XXXX),geographic,EPT
LU,13,+3522387(XXXX),geographic,EPT
LU,18,+3522487XXXX,geographic,EPT
LU,14,+3522394(XXXX),geographic,EPT
LU,22,+3522731(XXXXXX),geographic,EPT
