Country,Page,Range,Type,Provider
LV,1,+371200XXXXX,mobile,Tele2
LV,1,+3712010XXXX,mobile,BITE Latvija
LV,1,+3712011XXXX,mobile,Tivi
LV,1,+3712012XXXX,mobile,Tivi
LV,1,+3712013XXXX,mobile,Tivi
LV,1,+3712014XXXX,mobile,Tivi
LV,1,+3712015XXXX,mobile,Tivi
LV,1,+3712016XXXX,mobile,Tivi
LV,2,+3712017XXXX,mobile,Tivi
LV,2,+3712018XXXX,mobile,Radio Telecommunication Network
LV,2,+3712019XXXX,mobile,BITE Latvija
LV,2,+3712020XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712021XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712022XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712023XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712024XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712025XXXX,mobile,Latvijas Mobilais Telefons
LV,2,+3712026XXXX,mobile,Latvijas Mobilais Telefons
LV,3,+3712027XXXX,mobile,Latvijas Mobilais Telefons
LV,3,+3712028XXXX,mobile,Latvijas Mobilais Telefons
LV,3,+3712029XXXX,mobile,Latvijas Mobilais Telefons
LV,3,+3712030XXXX,mobile,Tele2
LV,3,+3712031XXXX,mobile,Tele2
LV,3,+3712032XXXX,mobile,Tele2
LV,3,+3712033XXXX,mobile,Tele2
LV,3,+3712034XXXX,mobile,Tele2
LV,3,+3712035XXXX,mobile,Tele2
LV,3,+3712036XXXX,mobile,Tele2
LV,4,+3712037XXXX,mobile,Tele2
LV,4,+3712038XXXX,mobile,Tele2
LV,4,+3712039XXXX,mobile,Tele2
LV,4,+3712040XXXX,mobile,Tele2
LV,4,+3712041XXXX,mobile,Tele2
LV,4,+3712042XXXX,mobile,Tele2
LV,4,+3712043XXXX,mobile,Tele2
LV,4,+3712044XXXX,mobile,Tele2
LV,4,+3712045XXXX,mobile,Tele2
LV,4,+3712046XXXX,mobile,Tele2
LV,5,+3712047XXXX,mobile,Tele2
LV,5,+3712048XXXX,mobile,Tele2
LV,5,+3712049XXXX,mobile,Tele2
LV,5,+3712050XXXX,mobile,Tele2
LV,5,+3712051XXXX,mobile,Tele2
LV,5,+3712052XXXX,mobile,Tele2
LV,5,+3712053XXXX,mobile,Tele2
LV,5,+3712054XXXX,mobile,Tele2
LV,5,+3712055XXXX,mobile,Tele2
LV,5,+3712056XXXX,mobile,Tele2
LV,6,+3712057XXXX,mobile,Tele2
LV,6,+3712058XXXX,mobile,Tele2
LV,6,+3712059XXXX,mobile,Tele2
LV,6,+3712060XXXX,mobile,BITE Latvija
LV,6,+3712061XXXX,mobile,BITE Latvija
LV,6,+3712062XXXX,mobile,BITE Latvija
LV,6,+3712063XXXX,mobile,BITE Latvija
LV,6,+3712064XXXX,mobile,BITE Latvija
LV,6,+3712065XXXX,mobile,BITE Latvija
LV,128,+371638XXXXX,geographic,
LV,6,+3712066XXXX,mobile,BITE Latvija
LV,7,+3712067XXXX,mobile,BITE Latvija
LV,7,+3712068XXXX,mobile,BITE Latvija
LV,7,+3712069XXXX,mobile,BITE Latvija
LV,7,+3712070XXXX,mobile,BITE Latvija
LV,7,+3712071XXXX,mobile,BITE Latvija
LV,7,+3712072XXXX,mobile,BITE Latvija
LV,7,+3712073XXXX,mobile,BITE Latvija
LV,7,+3712074XXXX,mobile,BITE Latvija
LV,7,+3712075XXXX,mobile,BITE Latvija
LV,7,+3712076XXXX,mobile,BITE Latvija
LV,8,+3712077XXXX,mobile,BITE Latvija
LV,8,+3712078XXXX,mobile,BITE Latvija
LV,8,+3712079XXXX,mobile,BITE Latvija
LV,8,+3712080XXXX,mobile,BITE Latvija
LV,8,+3712081XXXX,mobile,BITE Latvija
LV,8,+3712082XXXX,mobile,BITE Latvija
LV,8,+3712083XXXX,mobile,BITE Latvija
LV,8,+3712084XXXX,mobile,BITE Latvija
LV,8,+3712085XXXX,mobile,BITE Latvija
LV,8,+3712086XXXX,mobile,BITE Latvija
LV,9,+3712087XXXX,mobile,BITE Latvija
LV,9,+3712088XXXX,mobile,BITE Latvija
LV,9,+3712089XXXX,mobile,Wireless Communications
LV,9,+3712091XXXX,mobile,FirstNet
LV,9,+3712094XXXX,mobile,AS Telekom Baltija
LV,9,+3712095XXXX,mobile,IMX
LV,9,+3712096XXXX,mobile,Nevertel UAB Latvia
LV,9,+3712097XXXX,mobile,IMX
LV,9,+3712098XXXX,mobile,Free Call
LV,9,+3712100XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,10,+37121000XXX,mobile,Camel Mobile
LV,10,+37121010XXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,10,+3712101XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,10,+37121020XXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,10,+3712102XXXX,mobile,Camel Mobile
LV,10,+3712103XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,10,+3712104XXXX,mobile,Camel Mobile
LV,10,+3712105XXXX,mobile,Camel Mobile
LV,10,+3712106XXXX,mobile,Camel Mobile
LV,10,+3712107XXXX,mobile,Camel Mobile
LV,11,+3712108XXXX,mobile,Camel Mobile
LV,11,+3712109XXXX,mobile,Camel Mobile
LV,129,+371648XXXXX,geographic,
LV,11,+3712110XXXX,mobile,Camel Mobile
LV,11,+3712111XXXX,mobile,Camel Mobile
LV,11,+3712112XXXX,mobile,Camel Mobile
LV,11,+3712113XXXX,mobile,Camel Mobile
LV,11,+3712114XXXX,mobile,Camel Mobile
LV,11,+3712115XXXX,mobile,Camel Mobile
LV,128,+371639XXXXX,geographic,
LV,11,+3712116XXXX,mobile,Camel Mobile
LV,11,+3712117XXXX,mobile,Camel Mobile
LV,12,+3712118XXXX,mobile,Camel Mobile
LV,12,+3712119XXXX,mobile,Camel Mobile
LV,12,+3712120XXXX,mobile,Camel Mobile
LV,12,+3712121XXXX,mobile,Camel Mobile
LV,12,+3712122XXXX,mobile,Camel Mobile
LV,12,+3712123XXXX,mobile,Camel Mobile
LV,12,+3712124XXXX,mobile,Camel Mobile
LV,12,+3712125XXXX,mobile,Camel Mobile
LV,12,+3712126XXXX,mobile,Camel Mobile
LV,12,+3712127XXXX,mobile,Camel Mobile
LV,13,+3712128XXXX,mobile,Camel Mobile
LV,13,+3712129XXXX,mobile,Camel Mobile
LV,13,+3712130XXXX,mobile,Camel Mobile
LV,13,+3712131XXXX,mobile,Camel Mobile
LV,13,+3712132XXXX,mobile,Camel Mobile
LV,13,+3712133XXXX,mobile,Camel Mobile
LV,13,+3712134XXXX,mobile,Camel Mobile
LV,13,+3712135XXXX,mobile,Camel Mobile
LV,13,+3712136XXXX,mobile,Camel Mobile
LV,128,+371640XXXXX,geographic,
LV,129,+371650XXXXX,geographic,
LV,13,+3712137XXXX,mobile,Camel Mobile
LV,14,+3712138XXXX,mobile,Camel Mobile
LV,14,+3712139XXXX,mobile,Camel Mobile
LV,14,+3712140XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,14,+3712141XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,14,+3712142XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,14,+3712143XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,14,+3712144XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,14,+3712145XXXX,mobile,Camel Mobile
LV,14,+3712146XXXX,mobile,Camel Mobile
LV,14,+3712147XXXX,mobile,Camel Mobile
LV,15,+3712148XXXX,mobile,Camel Mobile
LV,15,+3712149XXXX,mobile,Camel Mobile
LV,15,+3712150XXXX,mobile,Camel Mobile
LV,15,+3712151XXXX,mobile,Camel Mobile
LV,15,+3712152XXXX,mobile,Camel Mobile
LV,15,+3712153XXXX,mobile,Camel Mobile
LV,15,+3712154XXXX,mobile,Camel Mobile
LV,15,+3712155XXXX,mobile,Camel Mobile
LV,15,+3712156XXXX,mobile,Camel Mobile
LV,15,+3712157XXXX,mobile,Camel Mobile
LV,16,+3712158XXXX,mobile,Camel Mobile
LV,16,+3712159XXXX,mobile,Camel Mobile
LV,16,+3712160XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,16,+3712161XXXX,mobile,Camel Mobile
LV,16,+3712162XXXX,mobile,Camel Mobile
LV,16,+3712163XXXX,mobile,Camel Mobile
LV,16,+3712164XXXX,mobile,Camel Mobile
LV,128,+371641XXXXX,geographic,
LV,16,+3712165XXXX,mobile,Camel Mobile
LV,16,+3712166XXXX,mobile,Camel Mobile
LV,16,+3712167XXXX,mobile,Camel Mobile
LV,17,+3712168XXXX,mobile,Camel Mobile
LV,17,+3712169XXXX,mobile,Camel Mobile
LV,17,+3712170XXXX,mobile,Camel Mobile
LV,17,+3712171XXXX,mobile,Camel Mobile
LV,17,+3712172XXXX,mobile,Camel Mobile
LV,17,+3712173XXXX,mobile,Camel Mobile
LV,131,+3718080XXXX,freephone,
LV,17,+3712174XXXX,mobile,Camel Mobile
LV,17,+3712175XXXX,mobile,Camel Mobile
LV,17,+3712176XXXX,mobile,Camel Mobile
LV,129,+371651XXXXX,geographic,
LV,17,+3712177XXXX,mobile,Camel Mobile
LV,18,+3712178XXXX,mobile,Camel Mobile
LV,127,+3716XXXXXXX,geographic,
LV,18,+3712179XXXX,mobile,Camel Mobile
LV,18,+3712180XXXX,mobile,Camel Mobile
LV,18,+3712181XXXX,mobile,Camel Mobile
LV,18,+3712182XXXX,mobile,Camel Mobile
LV,18,+3712183XXXX,mobile,Camel Mobile
LV,128,+371642XXXXX,geographic,
LV,18,+3712184XXXX,mobile,Camel Mobile
LV,18,+3712185XXXX,mobile,Camel Mobile
LV,18,+3712186XXXX,mobile,Camel Mobile
LV,18,+3712187XXXX,mobile,Camel Mobile
LV,19,+3712188XXXX,mobile,Camel Mobile
LV,130,+371685XXXXX,virtualprivatenetwork,
LV,19,+3712189XXXX,mobile,Camel Mobile
LV,19,+3712190XXXX,mobile,Camel Mobile
LV,19,+3712191XXXX,mobile,Camel Mobile
LV,19,+3712192XXXX,mobile,Camel Mobile
LV,19,+3712193XXXX,mobile,Camel Mobile
LV,19,+3712194XXXX,mobile,Camel Mobile
LV,19,+3712195XXXX,mobile,Camel Mobile
LV,19,+3712196XXXX,mobile,Camel Mobile
LV,127,+371630XXXXX,geographic,
LV,19,+3712197XXXX,mobile,Camel Mobile
LV,20,+3712198XXXX,mobile,Camel Mobile
LV,20,+3712199XXXX,mobile,Camel Mobile
LV,20,+37122000XXX,mobile,Latvijas Mobilais Telefons
LV,20,+37122001XXX,mobile,Latvijas Mobilais Telefons
LV,20,+37122002XXX,mobile,Latvijas Mobilais Telefons
LV,130,+371689XXXXX,payphone,
LV,20,+37122003XXX,mobile,Latvijas Mobilais Telefons
LV,20,+37122004XXX,mobile,Latvijas Mobilais Telefons
LV,20,+37122005XXX,mobile,Latvijas Mobilais Telefons
LV,20,+37122006XXX,mobile,Latvijas Mobilais Telefons
LV,131,+3718090XXXX,freephone,
LV,129,+371652XXXXX,geographic,
LV,20,+371220XXXXX,mobile,BITE Latvija
LV,128,+371643XXXXX,geographic,
LV,21,+37122007XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122008XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122009XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122010XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122011XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122012XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122013XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122014XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122015XXX,mobile,Latvijas Mobilais Telefons
LV,21,+37122016XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122017XXX,mobile,Latvijas Mobilais Telefons
LV,127,+371631XXXXX,geographic,
LV,22,+37122018XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122019XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122020XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122021XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122022XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122023XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122024XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122025XXX,mobile,Latvijas Mobilais Telefons
LV,22,+37122026XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122027XXX,mobile,Latvijas Mobilais Telefons
LV,130,+3718000XXXX,freephone,
LV,23,+37122028XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122029XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122030XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122031XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122032XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122033XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122034XXX,mobile,Latvijas Mobilais Telefons
LV,131,+371810XXXXX,sharedcost,
LV,1,371,proper,
LV,23,+37122035XXX,mobile,Latvijas Mobilais Telefons
LV,23,+37122036XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122037XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122038XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122039XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122040XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122041XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122042XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122043XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122044XXX,mobile,Latvijas Mobilais Telefons
LV,24,+37122045XXX,mobile,Latvijas Mobilais Telefons
LV,127,+371632XXXXX,geographic,
LV,24,+37122046XXX,mobile,Latvijas Mobilais Telefons
LV,25,+37122047XXX,mobile,Latvijas Mobilais Telefons
LV,25,+37122048XXX,mobile,Latvijas Mobilais Telefons
LV,25,+37122049XXX,mobile,Latvijas Mobilais Telefons
LV,25,+37122050XXX,mobile,BITE Latvija
LV,25,+37122051XXX,mobile,BITE Latvija
LV,25,+37122052XXX,mobile,BITE Latvija
LV,132,+3719030XXXX,premiumrate,
LV,25,+37122053XXX,mobile,BITE Latvija
LV,25,+37122054XXX,mobile,BITE Latvija
LV,25,+37122055XXX,mobile,BITE Latvija
LV,25,+37122056XXX,mobile,BITE Latvija
LV,26,+37122057XXX,mobile,BITE Latvija
LV,26,+37122058XXX,mobile,BITE Latvija
LV,26,+37122059XXX,mobile,BITE Latvija
LV,131,+37182XXX,premiumrate,
LV,26,+37122060XXX,mobile,BITE Latvija
LV,26,+37122061XXX,mobile,BITE Latvija
LV,26,+37122062XXX,mobile,BITE Latvija
LV,130,+3718010XXXX,freephone,
LV,26,+37122063XXX,mobile,BITE Latvija
LV,26,+37122064XXX,mobile,BITE Latvija
LV,26,+37122065XXX,mobile,BITE Latvija
LV,26,+37122066XXX,mobile,BITE Latvija
LV,128,+371644XXXXX,geographic,
LV,27,+37122067XXX,mobile,BITE Latvija
LV,27,+37122068XXX,mobile,BITE Latvija
LV,129,+371653XXXXX,geographic,
LV,27,+37122069XXX,mobile,BITE Latvija
LV,27,+3712210XXXX,mobile,BITE Latvija
LV,27,+3712211XXXX,mobile,BITE Latvija
LV,127,+371633XXXXX,geographic,
LV,27,+3712212XXXX,mobile,BITE Latvija
LV,27,+3712213XXXX,mobile,BITE Latvija
LV,132,+3719040XXXX,premiumrate,
LV,27,+3712214XXXX,mobile,BITE Latvija
LV,27,+3712215XXXX,mobile,BITE Latvija
LV,27,+3712216XXXX,mobile,BITE Latvija
LV,28,+3712217XXXX,mobile,BITE Latvija
LV,28,+3712218XXXX,mobile,BITE Latvija
LV,131,+37188XX,premiumrate,
LV,129,+371654XXXXX,geographic,
LV,28,+3712219XXXX,mobile,BITE Latvija
LV,28,+3712220XXXX,mobile,Camel Mobile
LV,128,+371645XXXXX,geographic,
LV,28,+3712221XXXX,mobile,Camel Mobile
LV,28,+3712222XXXX,mobile,Camel Mobile
LV,127,+371634XXXXX,geographic,
LV,28,+3712223XXXX,mobile,Camel Mobile
LV,28,+3712224XXXX,mobile,Camel Mobile
LV,28,+3712225XXXX,mobile,Camel Mobile
LV,28,+3712226XXXX,mobile,Camel Mobile
LV,29,+3712227XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,29,+3712228XXXX,mobile,Neutrino Telecom (iepr. Ployo Electronics)
LV,29,+3712229XXXX,mobile,Camel Mobile
