Country,Page,Range,Type,Provider
LY,4,+218423XXXXX,geographic,
LY,4,+218425XXXXX,geographic,
LY,6,+218554XXXXX,geographic,
LY,6,+218555XXXXX,geographic,
LY,1,218,proper,
LY,4,+218427XXXXX,geographic,
LY,2,+21825XXXXXX,geographic,
LY,10,+21881XXXXXX,geographic,
LY,2,+218252XXXXX,geographic,
LY,4,+218452XXXXX,geographic,
LY,3,+218282XXXXX,geographic,
LY,10,+21882XXXXXX,geographic,
LY,2,+21826XXXXXX,geographic,
LY,4,+218453XXXXX,geographic,
LY,6,+21857XXXXXX,geographic,
LY,8,+218657XXXXX,geographic,
LY,6,+218581XXXXX,geographic,
LY,1,+218205XXXXX,geographic,
LY,10,+218821XXXXX,geographic,
LY,2,+218271XXXXX,geographic,
LY,3,+218284XXXXX,geographic,
LY,10,+21884XXXXXX,geographic,
LY,8,+21867XXXXXX,geographic,
LY,4,+218454XXXXX,geographic,
LY,6,+218582XXXXX,geographic,
LY,8,+218681XXXXX,geographic,
LY,4,+21847XXXXXX,geographic,
LY,2,+218272XXXXX,geographic,
LY,3,+21831XXXXXX,geographic,
LY,1,+218206XXXXX,geographic,
LY,10,+218851XXXXX,geographic,
LY,6,+218583XXXXX,geographic,
LY,4,+218481XXXXX,geographic,
LY,8,+218682XXXXX,geographic,
LY,1,+21821XXXXXXX,geographic,
LY,4,+218482XXXXX,geographic,
LY,5,+21851XXXXXX,geographic,
LY,8,+218683XXXXX,geographic,
LY,3,+218322XXXXX,geographic,
LY,7,+218625XXXXX,geographic,
LY,10,+218852XXXXX,geographic,
LY,4,+218484XXXXX,geographic,
LY,2,+218274XXXXX,geographic,
LY,5,+218521XXXXX,geographic,
LY,10,+218854XXXXX,geographic,
LY,3,+218323XXXXX,geographic,
LY,1,+21822XXXXXX,geographic,
LY,5,+218522XXXXX,geographic,
LY,2,+218275XXXXX,geographic,
LY,10,+21887XXXXXX,geographic,
LY,7,+218626XXXXX,geographic,
LY,8,+218684XXXXX,geographic,
LY,1,+21822XXXXXX,geographic,
LY,3,+218325XXXXX,geographic,
LY,6,+218584XXXXX,geographic,
LY,9,+218724XXXXX,geographic,
LY,2,+218277XXXXX,geographic,
LY,7,+218627XXXXX,geographic,
LY,8,+218685XXXXX,geographic,
LY,10,+218884XXXXX,geographic,
LY,9,+218725XXXXX,geographic,
LY,2,+218279XXXXX,geographic,
LY,8,+21871XXXXXX,geographic,
LY,9,+218726XXXXX,geographic,
LY,7,+218628XXXXX,geographic,
LY,6,+21861XXXXXX,geographic,
LY,5,+218523XXXXX,geographic,
LY,3,+218326XXXXX,geographic,
LY,2,+218281XXXXX,geographic,
LY,9,+218727XXXXX,geographic,
LY,8,+218721XXXXX,geographic,
LY,6,+218623XXXXX,geographic,
LY,5,+218524XXXXX,geographic,
LY,3,+21841XXXXXX,geographic,
LY,9,+218729XXXXX,geographic,
LY,7,+218629XXXXX,geographic,
LY,8,+218723XXXXX,geographic,
LY,10,+21891XXXXXXX,mobile,Almadar Aljadeed
LY,5,+218526XXXXX,geographic,
LY,11,+21892XXXXXXX,mobile,Libyana
LY,6,+218624XXXXX,geographic,
LY,1,+218224XXXXX,geographic,
LY,5,+218529XXXXX,geographic,
LY,3,+218421XXXXX,geographic,
LY,9,+21873XXXXXX,geographic,
LY,5,+21854XXXXXX,geographic,
LY,9,+218731XXXXX,geographic,
LY,3,+218422XXXXX,geographic,
LY,5,+218551XXXXX,geographic,
LY,7,+21863XXXXXX,geographic,
LY,9,+218732XXXXX,geographic,
LY,5,+218553XXXXX,geographic,
LY,7,+218652XXXXX,geographic,
LY,9,+218733XXXXX,geographic,
LY,1,+21823XXXXXX,geographic,
LY,9,+218734XXXXX,geographic,
LY,7,+218653XXXXX,geographic,
LY,1,+21823XXXXXX,geographic,
LY,1,+21824XXXXXX,geographic,
LY,7,+218654XXXXX,geographic,
LY,7,+218655XXXXX,geographic,
